,https://roic.ai/company/GHSI,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,112811,141029,437349,942153,902937,1889844,7233118
2,COGS,50072,75702,175470,398179,341315,1946635,4122684
3,Gross Profit,62739,65327,261879,543974,561622,-56791,3110434
4,Gross Profit Ratio,0.5561,0.4632,0.5988,0.5774,0.6220,-0.0301,0.4300
5,Research and Development Exp.,401909,64026,259463,231847,194311,160978,64358
6,General and Administrative Exp.,5610830,3308144,4683932,4934986,7425827,6834309,11204885
7,Selling and Marketing Exp.,180133,389111,599926,1520862,1874901,1450205,2324569
8,"Selling, General and Administrative Exp.",5790963,3697255,5283858,6455848,9300728,8284514,13529454
9,Other Expenses,- -,- -,- -,- -,- -,- -,14263428
10,Operating Expenses,6192872,3761281,5543321,6687695,9495039,8445492,27857240
11,COGS and Expenses,6242944,3836983,5718791,7085874,9836354,10392127,31979924
12,Interest Income ,- -,- -,- -,- -,- -,- -,1797
13,Interest Expense (Gain),752948,1104557,23727,2289,258365,7271,- -
14,Depreciation and Amortization,53741,60129,118821,295672,625786,219600,782920
15,EBITDA,-8034607,-4583711,-5162621,-7469446,-9994157,-8344786,-23962089
16,EBITDA ratio,-71.2218,-32.5019,-11.8044,-7.9281,-11.0685,-4.4156,-3.3128
17,Operating Income,-6388739,-3945693,-5281442,-6143721,-10496937,-8551731,-24746806
18,Operating Income ratio,-56.6322,-27.9779,-12.0760,-6.5209,-11.6253,-4.5251,-3.4213
19,Total Other Income Expenses (Gains),-2452557,-1802704,-23727,-1623686,-381371,-19926,1797
20,Income Before Tax,-8841296,-5748397,-5305169,-7767407,-10878308,-8571657,-24745009
21,Income Before Tax Ratio,-78.3726,-40.7604,-12.1303,-8.2443,-12.0477,-4.5356,-3.4211
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,-8841296,-5748397,-5305169,-7767407,-10878308,-8571657,-24745009
24,Net Income ratio,-78.3726,-40.7604,-12.1303,-8.2443,-12.0477,-4.5356,-3.4211
25,EPS,-2.42,-1.79,-1.70,-2.12,-1.80,-0.60,-1.74
26,EPS Diluted,-2.42,-1.79,-1.70,-2.12,-1.80,-0.60,-1.74
27,Weighted Average Shares Outstanding,3653902,3653902,3653902,3653902,6078025,14256855,14256855
28,Weighted Average Shares Outstanding Diluted,3653902,3653902,3653902,3653902,6078025,14256855,14256855
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1642375/000114420418011242/0001144204-18-011242-index.htm,https://www.sec.gov/Archives/edgar/data/1642375/000114420419007374/0001144204-19-007374-index.htm,https://www.sec.gov/Archives/edgar/data/1642375/000149315220005000/0001493152-20-005000-index.htm,https://www.sec.gov/Archives/edgar/data/1642375/000149315221006883/0001493152-21-006883-index.htm,https://www.sec.gov/Archives/edgar/data/1642375/000149315222008581/0001493152-22-008581-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,13850,62520,4735230,670948,11115502,8518732,4093927
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,4995623
33,Cash and Short-Term Investments,13850,62520,4735230,670948,11115502,8518732,9089550
34,Net Receivables,1136,1673,72771,28203,78337,11248,1411567
35,Inventory,30563,43999,154730,357997,310941,384972,367691
36,Other Current Assets,18950,29363,117164,47773,362938,179931,1200376
37,Total Current Assets,64499,137555,5079895,1104921,11867718,9094883,12069184
38,PP&E,170795,114020,95597,274804,947352,704266,135635
39,Goodwill,- -,- -,1563520,1563520,- -,- -,- -
40,Intangible Assets,- -,- -,620741,456104,50000,50000,11255833
41,Intangible Assets,- -,- -,2184261,2019624,50000,50000,11255833
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10470,10470,10470,281751,11751,11751,- -
45,Total Non-Current Assets,181265,124490,2290328,2576179,1009103,766017,11391468
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,245764,262045,7370223,3681100,12876821,9860900,23460652
48,Accounts Payable,271863,356467,311236,413925,129132,608313,241347
49,Short-Term Debt,254955,71379,30535,- -,151568,162845,22221
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,429921,179773,158176,81412,129534,302573,895477
53,Total Current Liabilities,956739,607619,499947,495337,410234,1073731,1159045
54,Long-Term Debt,516575,- -,- -,- -,- -,- -,3807
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,434747,271903,- -
58,Total Non-Current Liabilities,516575,- -,- -,- -,434747,271903,3807
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,586315,434748,- -
61,Total Liabilities,1473314,607619,499947,495337,844981,1345634,1162852
62,Preferred Stock,- -,1705,- -,- -,- -,- -,- -
63,Common Stock,21911,25046,40183,20564,74983,15171,24427
64,Retained Earnings,-14106781,-20650207,-26865956,-34633363,-45511671,-54083328,-78802072
65,Other Comprehensive Income/Loss,-103030,-163159,-228320,-309355,-380598,- -,- -
66,Other Total Stockholders Equity,12960350,20441041,33924369,38107917,57849126,62583423,101075445
67,Total Stockholders Equity,-1227550,-345574,6870276,3185763,12031840,8515266,22297800
68,Total Liabilities And Stockholders Equity,245764,262045,7370223,3681100,12876821,9860900,23460652
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,245764,262045,7370223,3681100,12876821,9860900,23460652
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1642375/000114420418011242/0001144204-18-011242-index.htm,https://www.sec.gov/Archives/edgar/data/1642375/000114420419007374/0001144204-19-007374-index.htm,https://www.sec.gov/Archives/edgar/data/1642375/000149315220005000/0001493152-20-005000-index.htm,https://www.sec.gov/Archives/edgar/data/1642375/000149315221006883/0001493152-21-006883-index.htm,https://www.sec.gov/Archives/edgar/data/1642375/000149315222008581/0001493152-22-008581-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-8841296,-5748397,-5305169,-7767407,-10878308,-8571657,-24745009
74,Depreciation and Amortization,53741,60129,118821,295672,625786,219600,782920
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,4885589,1770530,2115319,1595037,2717732,544127,- -
77,Change in Working Capital,43052,422176,5050012,-3970364,10847900,-3436332,2888987
78,Accounts Receivable,-97,-537,-20993,44568,-50135,67089,20695
79,Inventory,-6335,-13436,-17439,-203267,47056,-728801,179222
80,Accounts Payable,76112,84605,-121919,102689,-14244,479181,-680697
81,Other Working Capital,-892240,-470064,4579948,609584,11457484,8021152,10910139
82,Other Non-Cash Items,2719156,1841988,-5382679,5673231,-9343114,3230333,10428686
83,Cash Provided by Operating Activities,-1139758,-1653574,-3403696,-4173831,-6030004,-8013929,-10644416
84,CAPEX,-2162,-3354,-37280,-310243,-171076,-40733,-74592
85,Acquisitions Net,- -,- -,4895,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-50000,- -,6000,-30936809
89,Cash Used for Investing Activites,-2162,-3354,-32385,-310243,-171076,-34733,-31011401
90,Debt Repayment,- -,-151000,-150860,-30535,-100548,- -,- -
91,Common Stock Issued,- -,- -,5000001,850000,16224807,- -,669379
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-70952562
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1149610,1856598,3259650,-399673,521375,5451892,107514195
95,Cash Used/Provided by Financing Activities,1149610,1705598,8108791,419792,16645634,5451892,37231012
