,https://roic.ai/company/AGRX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,749000,4101000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,282000,10718000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,467000,-6617000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.6235,-1.6135
5,Research and Development Exp.,17386961,9154484,13364704,25622000,20929000,14428000,9777000,9858000,13500000,6246000
6,General and Administrative Exp.,5929890,3573893,5150512,7467000,8792000,12383000,8739000,9000000,12735000,14698000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,23285000,43444000
8,"Selling, General and Administrative Exp.",5929890,3573893,5150512,7467000,8792000,12383000,8739000,9000000,36020000,58142000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,23316851,12728377,18515216,33089000,29721000,26811000,18516000,18858000,49520000,64388000
11,COGS and Expenses,23316851,12728377,18515216,33089000,29721000,26811000,18516000,18858000,49802000,75106000
12,Interest Income ,25762,1658,2563,5000,117000,282000,366000,252000,309000,25000
13,Interest Expense (Gain),140051,1512911,1565730,2077000,2446000,1918000,1116000,- -,3109000,3914000
14,Depreciation and Amortization,23662,11876,12551,18000,19000,23000,23000,163000,276000,2064000
15,EBITDA,-23267427,-12714843,-18502665,-33071000,-29702000,-26788000,-18493000,-18695000,-48468000,-68916000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-64.7103,-16.8047
17,Operating Income,-23316851,-12728377,-18515216,-33089000,-29721000,-26811000,-19535000,-18858000,-49053000,-71005000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-65.4913,-17.3141
19,Total Other Income Expenses (Gains),56724,-1592243,-1214737,-3218000,-2095000,-1493000,-721000,252000,-2800000,-3889000
20,Income Before Tax,-23260127,-14320620,-19729953,-36307000,-31816000,-28304000,-20256000,-18606000,-51853000,-74894000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-69.2296,-18.2624
22,Income Tax expense (Gain),- -,- -,-3652485,-5972000,-3075000,- -,-477000,- -,- -,- -
23,Net Income,-23260127,-14320620,-16077468,-30335000,-28741000,-28304000,-19779000,-18606000,-51853000,-74894000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-69.2296,-18.2624
25,EPS,-2.58,-1.59,-1.41,-1.38,-1.02,-0.91,-0.58,-0.38,-0.61,-0.88
26,EPS Diluted,-2.58,-1.59,-1.41,-1.38,-1.02,-0.91,-0.58,-0.38,-0.61,-0.88
27,Weighted Average Shares Outstanding,9029177,8992149,11394971,22017229,28273331,30940831,34315931,49432487,84683084,84683084
28,Weighted Average Shares Outstanding Diluted,9745046,8992149,11394971,22017229,28273331,30940831,34315931,49432487,84683084,84683084
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1261249/000104746915002798/0001047469-15-002798-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746916010929/0001047469-16-010929-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746917001623/0001047469-17-001623-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746918001539/0001047469-18-001539-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746919001136/0001047469-19-001136-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746920000966/0001047469-20-000966-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000155837021002163/0001558370-21-002163-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000155837022004758/0001558370-22-004758-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,20013754,2119646,40182141,34395000,48750000,35952000,7851000,34479000,14463000,19143000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,40008000,- -
33,Cash and Short-Term Investments,20013754,2119646,40182141,34395000,48750000,35952000,7851000,34479000,54471000,19143000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,865000,1533000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,966000
36,Other Current Assets,254103,146704,803775,3690000,2768000,762000,607000,840000,1449000,2283000
37,Total Current Assets,20267857,2266350,40985916,38085000,51518000,36714000,8458000,35319000,56785000,23925000
38,PP&E,7029576,11963079,12046267,12318000,12330000,13863000,13916000,14044000,14381000,13396000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,220707,175707,1794043,309000,18000,18000,18000,177000,1896000,2012000
45,Total Non-Current Assets,7250283,12138786,13840310,12627000,12348000,13881000,13934000,14221000,16277000,15408000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,27518140,14405136,54826226,50712000,63866000,50595000,22392000,49540000,73062000,39333000
48,Accounts Payable,1126931,715454,2631217,2387000,2050000,2784000,875000,1819000,3867000,8707000
49,Short-Term Debt,- -,5105407,5003143,2488000,5104000,10607000,- -,172000,138000,17008000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,979923,1023642,1358161,3059000,3524000,881000,1343000,1804000,3348000,3563000
53,Total Current Liabilities,2106854,6844503,8992521,7934000,10678000,14272000,2218000,3795000,7353000,29278000
54,Long-Term Debt,14787024,9769528,9827758,13035000,10899000,- -,- -,- -,16381000,784000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,69232677,69232677,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,84019701,79002205,9827758,13035000,10899000,- -,- -,- -,16381000,784000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,172000,138000,- -
61,Total Liabilities,86126555,85846708,18820279,20969000,21577000,14272000,2218000,3795000,23734000,30062000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4,10,1864,2000,3000,3000,3000,7000,9000,12000
