,https://roic.ai/company/DUO,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,1475758000,1798521000,2282216000,3599436000,2451287000
2,COGS,1247356000,1416933000,1805588000,2842394000,2036821000
3,Gross Profit,228402000,381588000,476628000,757042000,414466000
4,Gross Profit Ratio,0.1548,0.2122,0.2088,0.2103,0.1691
5,Research and Development Exp.,182625000,191662000,202877000,724983000,301401000
6,General and Administrative Exp.,311303000,156329000,145277000,520421000,301065000
7,Selling and Marketing Exp.,98327000,38461000,59099000,48395000,38020000
8,"Selling, General and Administrative Exp.",409630000,194790000,204376000,568816000,339085000
9,Other Expenses,-13853000,-12402000,-8792000,-22351000,-22885000
10,Operating Expenses,578402000,374050000,398461000,1271448000,617601000
11,COGS and Expenses,1825758000,1790983000,2204049000,4113842000,2654422000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,13034000,- -,8719000,12989000
14,Depreciation and Amortization,24624000,30440000,14254000,4842000,3781000
15,EBITDA,-306325000,46489000,122713000,-493060000,-188853000
16,EBITDA ratio,-0.2076,0.0258,0.0538,-0.1370,-0.0770
17,Operating Income,-363853000,-4864000,69375000,-536757000,-226020000
18,Operating Income ratio,-0.2466,-0.0027,0.0304,-0.1491,-0.0922
19,Total Other Income Expenses (Gains),32904000,7879000,39084000,30136000,19310000
20,Income Before Tax,-330949000,3015000,108459000,-506621000,-206710000
21,Income Before Tax Ratio,-0.2243,0.0017,0.0475,-0.1408,-0.0843
22,Income Tax expense (Gain),1117000,2366000,4433000,3766000,14665000
23,Net Income,-332066000,649000,104026000,-510387000,-220288000
24,Net Income ratio,-0.2250,0.0004,0.0456,-0.1418,-0.0899
25,EPS,-7.41,-3.15,-2.00,-29.25,-2.75
26,EPS Diluted,-7.41,-3.15,-2.00,-29.25,-2.75
27,Weighted Average Shares Outstanding,72430230,72430230,72430230,43516440,79733070
28,Weighted Average Shares Outstanding Diluted,72430230,72430230,72430230,43516440,79733070
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1022750000,573690000,443586000,1103747000,843448000
32,Short-Term Investments,291500000,32500000,71483000,11500000,9000000
33,Cash and Short-Term Investments,1314250000,606190000,515069000,1115247000,852448000
34,Net Receivables,194292000,827796000,1352596000,2189980000,2344219000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,241662000,1281888000,561628000,424793000,278542000
37,Total Current Assets,1750204000,2715874000,2429293000,3730020000,3475209000
38,PP&E,48631000,22120000,15450000,8298000,14493000
39,Goodwill,- -,- -,- -,- -,31188000
40,Intangible Assets,- -,- -,- -,- -,7418000
41,Intangible Assets,- -,- -,- -,- -,38606000
42,Investments,48904000,94527000,402159000,619263000,508598000
43,Tax Assets,6107000,7115000,8467000,7289000,3558000
44,Other Non-Current Assets,27766000,4308000,23915000,7255000,7488000
45,Total Non-Current Assets,131408000,128070000,449991000,642105000,572743000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,1881612000,2843944000,2879284000,4372125000,4047952000
48,Accounts Payable,255105000,593469000,1128248000,1897611000,1796304000
49,Short-Term Debt,- -,663100000,395000000,490000000,443444000
50,Tax Payable,24511000,29937000,37535000,36455000,52537000
51,Deferred Revenue,76625000,58878000,41697000,44916000,36074000
52,Other Current Liabilities,756857000,770609000,425839000,338633000,282158000
53,Total Current Liabilities,1088587000,2086056000,1990784000,2771160000,2557980000
54,Long-Term Debt,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,658000,755000,- -,- -,134000
57,Other Non-Current Liabilities,2278858000,2360776000,2755790000,11910000,23840000
58,Total Non-Current Liabilities,2279516000,2361531000,2755790000,11910000,23974000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,3368103000,4447587000,4746574000,2783070000,2581954000
62,Preferred Stock,5513000,5513000,5513000,- -,- -
63,Common Stock,- -,- -,- -,1000,1000
64,Retained Earnings,-1281336000,-1509155000,-1653315000,-2922184000,-3142472000
65,Other Comprehensive Income/Loss,-265720000,-155053000,-274540000,-368897000,-396951000
66,Other Total Stockholders Equity,- -,- -,- -,4880135000,4982885000
67,Total Stockholders Equity,-1486491000,-1603643000,-1867290000,1589055000,1443463000
68,Total Liabilities And Stockholders Equity,1881612000,2843944000,2879284000,4372125000,4025417000
69,Minority Interest,- -,- -,- -,- -,22535000
70,Total Liabilities & Equity,1881612000,2843944000,2879284000,4372125000,4047952000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-332066000,649000,104026000,-510387000,-220288000
74,Depreciation and Amortization,24624000,30440000,14254000,4842000,3781000
75,Deferred Income Tax,187000,-911000,-2107000,1178000,1912000
76,Stock Based Compensation,- -,- -,- -,745873000,102750000
77,Change in Working Capital,116869000,-713426000,-3735000,-174916000,-281132000
78,Accounts Receivable,-65659000,-641518000,-564317000,-893223000,-130045000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,51953000,338364000,534779000,769363000,-101264000
81,Other Working Capital,-51374000,-17747000,-17181000,3219000,-8842000
82,Other Non-Cash Items,13100000,8822000,17040000,51921000,67982000
83,Cash Provided by Operating Activities,-177286000,-674426000,129478000,118511000,-324995000
84,CAPEX,-24487000,-4628000,-8442000,-1695000,-10248000
85,Acquisitions Net,-21000000,-45500000,-307946000,-216434000,105339000
86,Purchases of Investments,-293000000,-756000000,-1267483000,-456167000,-1266273000
87,Sales/Maturities of Investments,143576000,1018255000,1234012000,518921000,1269094000
88,Other Investing Activites,- -,- -,- -,3566000,-92064000
89,Cash Used for Investing Activites,-194911000,212127000,-349859000,-151809000,5848000
90,Debt Repayment,- -,- -,-683100000,-445030000,-587500000
91,Common Stock Issued,- -,- -,- -,498436000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,-2407000,663100000,415000000,540030000,540943000
95,Cash Used/Provided by Financing Activities,-2407000,663100000,-268100000,593436000,-46557000
96,Effect of Forex Changes on Cash,47170000,-40020000,19076000,-20484000,-32138000
97,Net Change In Cash,-327434000,160781000,-469405000,539654000,-397842000
98,Cash at the End of Period,1102842000,1263623000,794218000,1333872000,936030000
