,https://roic.ai/company/PTVE,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,11752000000,11666000000,11178000000,10646000000,10524000000,10660000000,9716000000,4689000000,5437000000
2,COGS,9671000000,9650000000,8978000000,8259000000,8202000000,8566000000,7735000000,3969000000,4863000000
3,Gross Profit,2081000000,2016000000,2200000000,2387000000,2322000000,2094000000,1981000000,720000000,574000000
4,Gross Profit Ratio,0.1771,0.1728,0.1968,0.2242,0.2206,0.1964,0.2039,0.1536,0.1056
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,808000000,790000000,806000000,895000000,776000000,725000000,805000000,470000000,- -
7,Selling and Marketing Exp.,266000000,255000000,262000000,315000000,277000000,264000000,250000000,- -,- -
8,"Selling, General and Administrative Exp.",1074000000,1045000000,1068000000,1210000000,1053000000,989000000,1055000000,470000000,-466000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,49000000,- -
10,Operating Expenses,1074000000,1045000000,1068000000,1210000000,1053000000,989000000,1055000000,519000000,-466000000
11,COGS and Expenses,10745000000,10695000000,10046000000,9469000000,9255000000,9555000000,8790000000,4488000000,4397000000
12,Interest Income ,22000000,25000000,22000000,22000000,20000000,22000000,29000000,15000000,- -
13,Interest Expense (Gain),1314000000,1256000000,994000000,844000000,617000000,600000000,631000000,293000000,-191000000
14,Depreciation and Amortization,1020000000,910000000,714000000,707000000,674000000,655000000,736000000,467000000,344000000
15,EBITDA,2268000000,1794000000,4084000000,1815000000,1809000000,1288000000,1608000000,621000000,182000000
16,EBITDA ratio,0.1930,0.1538,0.3654,0.1705,0.1719,0.1208,0.1655,0.1324,0.0335
17,Operating Income,946000000,974000000,1246000000,1145000000,1222000000,854000000,823000000,183000000,119000000
18,Operating Income ratio,0.0805,0.0835,0.1115,0.1076,0.1161,0.0801,0.0847,0.0390,0.0219
19,Total Other Income Expenses (Gains),-1216000000,-1449000000,-1540000000,-873000000,-701000000,-819000000,-506000000,-305000000,-90000000
20,Income Before Tax,-270000000,-475000000,-294000000,272000000,521000000,35000000,317000000,-122000000,29000000
21,Income Before Tax Ratio,-0.0230,-0.0407,-0.0263,0.0255,0.0495,0.0033,0.0326,-0.0260,0.0053
22,Income Tax expense (Gain),4000000,-70000000,60000000,105000000,81000000,40000000,134000000,-112000000,4000000
23,Net Income,-70000000,-302000000,2316000000,159000000,437000000,-7000000,107000000,-27000000,25000000
24,Net Income ratio,-0.0060,-0.0259,0.2072,0.0149,0.0415,-0.0007,0.0110,-0.0058,0.0046
25,EPS,-0.40,-1.72,13.19,0.91,2.49,-0.04,-0.53,-0.08,0.14
26,EPS Diluted,-0.40,-1.72,13.19,0.91,2.49,-0.04,-0.53,-0.18,0.14
27,Weighted Average Shares Outstanding,175525003,175525003,175525003,175525003,175525003,175525003,175525003,146200000,177500000
28,Weighted Average Shares Outstanding Diluted,175573634,175573634,175573634,175573634,175573634,175573634,175573634,146200000,177800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527508/000156459021008652/0001564590-21-008652-index.htm,https://www.sec.gov/Archives/edgar/data/1527508/000156459022006686/0001564590-22-006686-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,1588000000,1977000000,932000000,617000000,783000000,1291000000,458000000,197000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1588000000,1977000000,932000000,617000000,783000000,1291000000,458000000,197000000
34,Net Receivables,- -,1178000000,1114000000,1072000000,1150000000,1135000000,1002000000,430000000,474000000
35,Inventory,- -,1453000000,1262000000,1245000000,1370000000,1411000000,1312000000,784000000,854000000
36,Other Current Assets,- -,2861000000,212000000,83000000,195000000,99000000,110000000,201000000,337000000
37,Total Current Assets,- -,7080000000,4565000000,3332000000,3332000000,3428000000,3715000000,1873000000,1862000000
38,PP&E,- -,3412000000,3184000000,3010000000,2923000000,3021000000,3277000000,1945000000,2064000000
39,Goodwill,- -,5471000000,5447000000,5431000000,5465000000,5250000000,4865000000,1760000000,1812000000
40,Intangible Assets,- -,5028000000,4745000000,4471000000,4194000000,3972000000,3696000000,1091000000,1127000000
41,Intangible Assets,- -,10499000000,10192000000,9902000000,9659000000,9222000000,8561000000,2851000000,2939000000
42,Investments,- -,18000000,20000000,22000000,24000000,24000000,24000000,- -,- -
43,Tax Assets,- -,10000000,11000000,8000000,32000000,28000000,27000000,7000000,7000000
44,Other Non-Current Assets,- -,731000000,519000000,680000000,712000000,455000000,653000000,166000000,149000000
45,Total Non-Current Assets,- -,14670000000,13926000000,13622000000,13350000000,12750000000,12542000000,4969000000,5159000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,21750000000,18491000000,16954000000,16682000000,16178000000,16257000000,6842000000,7021000000
48,Accounts Payable,- -,1396000000,1205000000,1182000000,1116000000,1163000000,975000000,313000000,364000000
49,Short-Term Debt,- -,479000000,977000000,746000000,470000000,455000000,3587000000,72000000,183000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,10000000,8000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1181000000,377000000,385000000,332000000,266000000,345000000,354000000,272000000
