,https://roic.ai/company/ATLC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,58000000,148800000,242060000,153901000,179927000,453819000,570923000,914614000,1283363000,1678498000,492484000,-195737000,662650000,259454000,131671000,99674000,116335000,71993000,60627000,75035000,158908000,355261000,340267000,399799000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1200000,3100000,5833000,12161000,18514000,19405000,22287000,33815000,50211000,74371000,349208000,259351000,158784000,96391000,17317000,17832000,19777000,19825000,24026000,22751000,23430000,26229000,29079000,34024000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,11403000,42070000,95280000,- -,142458000,46376000,16699000,6665000,3620000,2996000,8719000,2381000,2235000,3171000,13070000,12124000,36388000,35012000,56635000
8,"Selling, General and Administrative Exp.",1200000,3100000,5833000,12161000,18514000,30808000,64357000,129095000,50211000,216829000,395584000,276050000,165449000,100011000,20313000,26551000,22158000,22060000,27197000,35821000,35554000,62617000,64091000,90659000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,478905000,466789000,779171000,118416000,127950000,243551000,90989000,138687000,85449000,104842000,52940000,81803000,132179000,164446000,292383000,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,608000000,517000000,996000000,514000000,404000000,409000000,191000000,159000000,112000000,127000000,75000000,109000000,168000000,200000000,355000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,300000,2100000,7091000,2347000,2494000,11193000,49384000,125615000,298136000,462789000,97989000,76757000,263835000,149429000,86810000,69521000,73676000,69917000,88622000,114707000,161168000,261218000,410616000,518783000
13,Interest Expense (Gain),600000,- -,- -,317000,7579000,6534000,4729000,33971000,52472000,81516000,42772000,42066000,58631000,43979000,31124000,23872000,24052000,18330000,20207000,27700000,36896000,50730000,51548000,54127000
14,Depreciation and Amortization,1300000,3200000,9208000,18120000,32421000,-10833000,85894000,1589000,37859000,52119000,36368000,21870000,14019000,6187000,2574000,17699000,68075000,40565000,7477000,1021000,987000,7693000,7952000,2494000
15,EBITDA,42800000,96500000,133363000,22849000,49032000,184411000,247692000,305403000,258261000,70803000,-66666000,-655059000,-26778000,183906000,42540000,18716000,64672000,62437000,15334000,-18438000,41609000,90419000,174094000,276307000
16,EBITDA ratio,0.7379,0.6485,0.5510,0.1485,0.2725,0.4064,0.4338,0.3339,0.2012,0.0422,-0.1354,3.3466,-0.0404,0.7088,0.3231,0.1878,0.5559,0.8673,0.2529,-0.2457,0.2618,0.2545,0.5116,0.6911
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-37233000,-22345000,-13349000,-12898000,-1600000,198511000,- -,-464809000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41784000
20,Income Before Tax,40900000,93300000,124155000,4412000,9032000,188710000,157069000,269843000,167930000,-42263000,-139392000,-725167000,-116134000,15764000,-43831000,-22779000,-27305000,3535000,-12356000,-47250000,3482000,31763000,114391000,219573000
21,Income Before Tax Ratio,0.7052,0.6270,0.5129,0.0287,0.0502,0.4158,0.2751,0.2950,0.1309,-0.0252,-0.2830,3.7048,-0.1753,0.0608,-0.3329,-0.2285,-0.2347,0.0491,-0.2038,-0.6297,0.0219,0.0894,0.3362,0.5492
22,Income Tax expense (Gain),15500000,34300000,41781000,1545000,3161000,66992000,56350000,98493000,60455000,-11836000,-44224000,-178106000,-1924000,-277000,-15609000,-5114000,-34632000,1829000,-6015000,-6378000,-4130000,5553000,20474000,41784000
23,Net Income,25400000,59000000,82374000,2867000,5871000,121718000,100719000,171350000,107475000,-50996000,-101582000,-540889000,-97504000,134017000,24451000,-17741000,7177000,1713000,-6335000,-40781000,7856000,26443000,94120000,177902000
24,Net Income ratio,0.4379,0.3965,0.3403,0.0186,0.0326,0.2682,0.1764,0.1873,0.0837,-0.0304,-0.2063,2.7633,-0.1471,0.5165,0.1857,-0.1780,0.0617,0.0238,-0.1045,-0.5435,0.0494,0.0744,0.2766,0.4450
25,EPS,11.32,1.55,1.80,0.06,0.04,2.38,1.97,3.46,2.21,-1.04,-2.17,-11.34,-2.45,5.21,1.27,-1.29,0.51,0.12,-0.46,-2.93,0.56,1.74,5.32,12.28
26,EPS Diluted,11.32,1.55,1.79,0.06,0.04,2.34,1.93,3.34,2.14,-1.04,-2.17,-11.34,-2.45,5.19,1.26,-1.29,0.51,0.12,-0.46,-2.93,0.56,1.66,3.95,8.85
27,Weighted Average Shares Outstanding,2084806,38064516,45763333,47783333,43565625,49342017,48890863,49523121,48631222,49034615,46811982,47683000,39786000,25735000,19271000,13774000,13983000,13906000,13867000,13925000,13927000,14499000,14486000,14486000
28,Weighted Average Shares Outstanding Diluted,2084806,38064516,46018994,47783333,43565625,50185470,49904145,51302395,50221963,49034615,46811982,47730000,39997000,25821000,19314000,13774000,13984000,13961000,13937000,13940000,14002000,15273000,20102000,20102000
