,https://roic.ai/company/CRBP,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,648382,1911424,2440195,4822272,36143568,3937230,881705
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,3937230,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,210670,1255535,5888659,15436735,26038965,48613957,89604790,98267213,36445285
6,General and Administrative Exp.,346606,1391638,3613416,6459747,8964046,12956022,23643357,28480250,20425444
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",346606,1391638,3613416,6459747,8964046,12956022,23643357,28480250,20425444
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,557276,2647173,9502075,21896482,35003011,61569979,113248147,126747463,56870729
11,COGS and Expenses,557276,2647173,9502075,21896482,35003011,61569979,113248147,126747463,- -
12,Interest Income ,754,2115,3417,477,183112,982777,1227643,- -,- -
13,Interest Expense (Gain),45114,24021,2440,- -,- -,- -,- -,- -,-1830486
14,Depreciation and Amortization,- -,10405,43943,87664,255652,493938,1229784,1694312,- -
15,EBITDA,-556522,-2636768,-8804356,-19911011,-32165960,-55178201,-70223934,-109575068,-47470912
16,EBITDA ratio,-Infinity,-Infinity,-13.5790,-10.4168,-13.1817,-11.4424,-1.9429,-27.8305,-53.8399
17,Operating Income,-557276,-2647173,-8853693,-19985058,-32562816,-56747707,-77104579,-122810233,-55989024
18,Operating Income ratio,-Infinity,-Infinity,-13.6551,-10.4556,-13.3443,-11.7678,-2.1333,-31.1920,-63.5009
19,Total Other Income Expenses (Gains),-45074,106688,2954,-13617,141204,1075568,5650861,11540853,10348598
20,Income Before Tax,-602350,-2540485,-8850739,-19998675,-32421612,-55672139,-71453718,-111269380,-45640426
21,Income Before Tax Ratio,-Infinity,-Infinity,-13.6505,-10.4627,-13.2865,-11.5448,-1.9769,-28.2608,-51.7638
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-602350,-2540485,-8850739,-19998675,-32421612,-55672139,-71453718,-111269380,-45640426
24,Net Income ratio,-Infinity,-Infinity,-13.6505,-10.4627,-13.2865,-11.5448,-1.9769,-28.2608,-51.7638
25,EPS,-0.02,-0.13,-0.28,-0.49,-0.65,-0.98,-1.12,-1.42,-0.37
26,EPS Diluted,-0.02,-0.13,-0.28,-0.49,-0.65,-0.98,-1.12,-1.42,-0.37
27,Weighted Average Shares Outstanding,25801948,20159861,31350145,41137518,50176953,56999741,63899184,78133289,122990011
28,Weighted Average Shares Outstanding Diluted,25801948,20159861,31350145,41137518,50176953,56999741,63899184,78133289,122990011
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1595097/000119312515040326/d854695d10k.htm,https://www.sec.gov/Archives/edgar/data/1595097/000156459016015403/0001564590-16-015403-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315217002256/0001493152-17-002256-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315218003208/0001493152-18-003208-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315219003143/0001493152-19-003143-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315220004077/0001493152-20-004077-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315221006016/0001493152-21-006016-index.htm,https://www.sec.gov/Archives/edgar/data/1595097/000095017022003145/0000950170-22-003145-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,303020,6262445,12338275,14992257,62537495,41748468,31748686,85433441,25006632
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,303020,6262445,12338275,14992257,62537495,41748468,31748686,85433441,25006632
34,Net Receivables,- -,- -,- -,1330413,- -,- -,2681065,2578329,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2500,270556,376515,1080261,2967235,2491844,3724932,4062861,75198005
37,Total Current Assets,305520,6533001,12714790,17402931,65504730,44240312,38154683,92074631,100204637
38,PP&E,- -,54044,124138,435251,1432655,2705206,10902848,9316362,7001806
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,72640520
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,13728,36375,50000,40776,43823,84968,903938,-72116710
45,Total Non-Current Assets,- -,67772,160513,485251,1473431,2749029,10987816,10220300,7525616
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,305520,6600773,12875303,17888182,66978161,46989341,49142499,102294931,107730253
48,Accounts Payable,181471,344160,1314377,3419921,3130295,6345335,11091363,7381183,1782277
49,Short-Term Debt,306835,144389,162019,271757,332861,394305,1348404,1714221,1904886
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,1591358,1940195,- -,1462503,- -,- -,- -
52,Other Current Liabilities,160560,249491,562279,3266718,4741519,9887187,22447939,22802432,13320366
53,Total Current Liabilities,648866,738040,3630033,8898591,8204675,18089330,34887706,31897836,17007529
54,Long-Term Debt,331243,- -,- -,- -,- -,- -,- -,18029005,21592492
55,Deferred Revenue,- -,- -,260260,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1108609,- -,- -,70356,989925,1375891,8097228,7093165,22205
58,Total Non-Current Liabilities,1439852,- -,260260,70356,989925,1375891,8097228,25122170,21614697
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,4632,375,- -,8692973,8097228,- -
61,Total Liabilities,2088718,738040,3890293,8968947,9194600,19465221,42984934,57020006,38622226
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
