,https://roic.ai/company/KBLB,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31860,97320,401620,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,170000,180000,30000,70000,140000,250000,470000,490000,439540,432010,397140,258890,148070,223050,88470,197745
6,General and Administrative Exp.,370000,300000,320000,430000,1050000,1050000,1100000,1790000,1394820,1622530,2580330,1994420,1213500,2398820,4445678,2561817
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",364754,286657,312994,427508,1052522,1046812,695113,1791035,1394822,1622531,2580326,1994421,1213498,2398817,4445678,2561817
9,Other Expenses,-5087,6207,12653,27199,93910,598,-4707,-566,-4,-2,-4,2,-1,- -,- -,- -
10,Operating Expenses,529667,472864,355647,524707,1286432,1297410,1160406,2280469,1834358,2054539,2977462,2253313,1361567,2621867,4534148,2759562
11,COGS and Expenses,530000,470000,360000,500000,1290000,1300000,1560000,2270000,1803710,2031290,2966270,2253310,1341640,2621870,4534148,2759562
12,Interest Income ,- -,- -,- -,- -,- -,- -,192,47,- -,- -,- -,- -,- -,6369,- -,- -
13,Interest Expense (Gain),654,122,7238,41814,52378,- -,45707,- -,69281,101546,139430,177105,228954,294352,386624,5363337
14,Depreciation and Amortization,- -,- -,- -,- -,453,5370,5583,5888,7159,15419,16974,20291,26632,30781,28074,26137
15,EBITDA,-530000,-469878,-3090000,-2360000,-2280000,-1290000,-1550000,-2260000,-1796550,-2015870,-2917436,-2135704,-913394,-2591090,-4506074,-2720421
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-91.5705,-21.9452,-2.2743,-Infinity,-Infinity,-Infinity
17,Operating Income,-529667,-472864,-355647,-524707,-1286432,-1297410,-1160406,-2280469,-1834358,-2054539,-2945604,-2155995,-959947,-2621867,-4534148,-2759562
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-92.4546,-22.1537,-2.3902,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-333,2864,-1364353,-905293,-493568,-2590,-439594,-5189531,-38632,-79251,-128236,-177105,-209033,-287983,-437129,-5286241
20,Income Before Tax,-530000,-470000,-1720000,-1430000,-1780000,-1300000,-1600000,-7470000,-1872990,-2133790,-3073840,-2333100,-1168980,-2909850,-4971277,-8045803
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-96.4796,-23.9735,-2.9107,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-530000,-470000,-1720000,-1430000,-1780000,-1300000,-1600000,-7470000,-1872990,-2133790,-3073840,-2333100,-1168980,-2909850,-4971277,-8045803
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-96.4796,-23.9735,-2.9107,-Infinity,-Infinity,-Infinity
25,EPS,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.01
26,EPS Diluted,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.01
27,Weighted Average Shares Outstanding,329500410,411625320,499733160,504115849,401590077,572708020,596143581,616313968,662490382,685836581,744284497,791393428,816874442,835587422,848651465,844468380
28,Weighted Average Shares Outstanding Diluted,329500410,411625320,499733160,504115849,401590077,572708020,596143581,616313968,662490382,685836581,744284497,791393428,816874442,835587422,848651465,844468380
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1413119/000121390008000516/f10ksb2007_kraig.htm,https://www.sec.gov/Archives/edgar/data/1413119/000121390010002261/0001213900-10-002261-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1413119/000135448812001819/0001354488-12-001819-index.htm,https://www.sec.gov/Archives/edgar/data/1413119/000135448813007009/0001354488-13-007009-index.htm,https://www.sec.gov/Archives/edgar/data/1413119/000135448814001882/0001354488-14-001882-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1413119/000165495416000209/0001654954-16-000209-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000165495417002241/0001654954-17-002241-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000165495418003028/0001654954-18-003028-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000165495419003698/0001654954-19-003698-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000149315220004918/0001493152-20-004918-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000149315221005910/0001493152-21-005910-index.htm,https://www.sec.gov/Archives/edgar/data/1413119/000149315222006989/0001493152-22-006989-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,110000,10000,20000,90000,200000,50000,300000,495040,238190,298860,18150,13700,125020,816907,2355060
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,110000,10000,20000,90000,200000,50000,300000,495040,238190,298860,18150,13700,125020,816907,2355060
34,Net Receivables,- -,- -,- -,- -,- -,10000,10000,- -,- -,- -,31860,25870,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,10000,- -,10000,- -,-10000,- -,- -,1000,640,1070,4470,6860,31750,2588,11055
37,Total Current Assets,- -,120000,10000,30000,90000,200000,60000,300000,496040,238830,331790,48490,20560,156770,819495,2366115
38,PP&E,- -,- -,- -,- -,30000,20000,20000,10000,43190,66100,51620,62490,47310,590560,454272,215067
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,437212
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10,250,3520,3510,3520,3518,3518
45,Total Non-Current Assets,- -,- -,- -,- -,30000,20000,20000,10000,43190,66110,51870,66010,50820,594080,457790,655797
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,120000,10000,30000,120000,220000,80000,310000,539230,304940,383660,114500,71380,750850,1277285,3021912
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5402988,5832354
49,Short-Term Debt,10000,- -,- -,- -,- -,3811,4377,3981,- -,- -,50000,80000,322000,812678,1982514,2265000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,250000,300000,1910000,3180000,720000,1116189,1195623,1506019,1764910,2201870,2694470,3410310,4208610,4771702,65292,65292
53,Total Current Liabilities,260000,300000,1910000,3180000,720000,1120000,1200000,1510000,1764910,2201870,2744470,3490310,4530610,5584380,7450794,8162646
54,Long-Term Debt,- -,- -,- -,30000,20000,10000,10000,- -,- -,- -,- -,- -,- -,185240,145244,155141
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,369290,254811,- -
58,Total Non-Current Liabilities,- -,- -,- -,20000,20000,10000,10000,- -,- -,- -,- -,- -,- -,554530,400055,155141
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,479959,379720,104474
61,Total Liabilities,260000,300000,1910000,3200000,740000,1130000,1210000,1510000,1764910,2201870,2744470,3490310,4530610,6138910,7850849,8317787
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,5217800,5217800,5217800,5217800,5217800,5217800,5217800,5217800,5217800
63,Common Stock,150000,780000,780000,1040000,1860000,5410000,6380000,7830000,9834850,10823940,13238510,15166720,15167800,16779080,17122236,22385132
64,Retained Earnings,-530000,-1000000,-2720000,-4160000,-5940000,-7230000,-8840000,-16310000,-18178350,-20312140,-23385980,-25719080,-26888060,-29797910,-34769183,-42814986
65,Other Comprehensive Income/Loss,- -,- -,4000,- -,- -,-10000,-10000,-20000,- -,- -,- -,- -,- -,-113670,- -,- -
66,Other Total Stockholders Equity,122294,37803,1397699,-54777,3460815,923505,1335584,2080798,1900018,2373464,2568857,1958754,2043237,2526642,5855583,9916179
67,Total Stockholders Equity,-257706,-182197,-538301,-3174777,-619185,-906495,-1134416,-1201402,-1225682,-1896936,-2360813,-3375806,-4459223,-5388058,-6573564,-5295875
68,Total Liabilities And Stockholders Equity,2294,117803,1371699,25223,120815,223505,75584,308598,539228,304934,383657,114504,71387,750852,1277285,3021912
69,Minority Interest,-2294,2197,-1361699,4777,-815,-3505,4416,1402,2,6,3,-4,-7,-2,- -,- -
70,Total Liabilities & Equity,- -,120000,10000,30000,120000,220000,80000,310000,539230,304940,383660,114500,71380,750850,1277285,3021912
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1413119/000121390008000516/f10ksb2007_kraig.htm,https://www.sec.gov/Archives/edgar/data/1413119/000121390010002261/0001213900-10-002261-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1413119/000135448812001819/0001354488-12-001819-index.htm,https://www.sec.gov/Archives/edgar/data/1413119/000135448813007009/0001354488-13-007009-index.htm,https://www.sec.gov/Archives/edgar/data/1413119/000135448814001882/0001354488-14-001882-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1413119/000165495416000209/0001654954-16-000209-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000165495417002241/0001654954-17-002241-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000165495418003028/0001654954-18-003028-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000165495419003698/0001654954-19-003698-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000149315220004918/0001493152-20-004918-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000149315221005910/0001493152-21-005910-index.htm,https://www.sec.gov/Archives/edgar/data/1413119/000149315222006989/0001493152-22-006989-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-530000,-470000,-1720000,-1430000,-1780000,-1300000,-1600000,-7470000,-1872990,-2133790,-3073840,-2333100,-1168980,-2909850,-4971277,-8045803
74,Depreciation and Amortization,- -,- -,- -,- -,453,5370,5583,5888,7159,15419,16974,20291,26632,30781,28074,26137
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,14000,- -,312000,- -,- -,111600,- -,32850,- -,- -,- -,- -,- -
