,https://roic.ai/company/FWRD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,95300000,135000000,148100000,157098000,190402000,130438000,170843000,214907000,227500000,226072000,241517000,282197000,320934000,352758000,392737000,474436000,417410000,483939000,536402000,584446000,652481000,780959000,959125000,982530000,1100816000,1320886000,1410395000,1269573000,1662427000
2,COGS,41500000,59500000,62400000,93879000,108438000,78890000,101078000,124570000,136494000,135506000,139805000,159054000,176464000,193980000,222062000,168048000,144727000,244509000,268961000,446774000,504821000,601956000,768705000,767292000,864302000,1054847000,1122510000,1040460000,1297101000
3,Gross Profit,53800000,75500000,85700000,63219000,81964000,51548000,69765000,90337000,91006000,90566000,101712000,123143000,144470000,158778000,170675000,306388000,272683000,239430000,267441000,137672000,147660000,179003000,190420000,215238000,236514000,266039000,287885000,229113000,365326000
4,Gross Profit Ratio,0.5645,0.5593,0.5787,0.4024,0.4305,0.3952,0.4084,0.4204,0.4000,0.4006,0.4211,0.4364,0.4502,0.4501,0.4346,0.6458,0.6533,0.4948,0.4986,0.2356,0.2263,0.2292,0.1985,0.2191,0.2149,0.2014,0.2041,0.1805,0.2198
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,60117000,72917000,35995000,42339000,54531000,65848000,58104000,64573000,73492000,78490000,86382000,96488000,116504000,118804000,129108000,130651000,11309000,12619000,15736000,21483000,25392000,29578000,35180000,45440000,34912000,42186000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",46100000,39200000,43700000,60117000,72917000,35995000,42339000,54531000,65848000,58104000,64573000,73492000,78490000,86382000,96488000,116504000,118804000,129108000,130651000,11309000,12619000,15736000,21483000,25392000,29578000,35180000,45440000,34912000,42186000
9,Other Expenses,3400000,6400000,8700000,96021000,110165000,80834000,104067000,126714000,137449000,139099000,141915000,160489000,180209000,196947000,232886000,54595000,54146000,56583000,59680000,42831000,50686000,66861000,87165000,87425000,98264000,108828000,123622000,120277000,163839000
10,Operating Expenses,49500000,45600000,52400000,156138000,183082000,116829000,146406000,181245000,203297000,197203000,206488000,233981000,258699000,283329000,329374000,171099000,172950000,185691000,190331000,54140000,63305000,82597000,108648000,112817000,127842000,144008000,169062000,155189000,206025000
