,https://roic.ai/company/MYPS,2019,2020,2021
0,INCOME STATEMENT, , , 
1,Revenue,239421000,- -,287419000
2,COGS,80267000,- -,91642000
3,Gross Profit,159154000,- -,195777000
4,Gross Profit Ratio,0.6647,- -,0.6812
5,Research and Development Exp.,38986000,- -,27902000
6,General and Administrative Exp.,16712000,- -,61343000
7,Selling and Marketing Exp.,59931000,- -,79042000
8,"Selling, General and Administrative Exp.",76643000,- -,140385000
9,Other Expenses,25154000,- -,27398000
10,Operating Expenses,140783000,- -,195685000
11,COGS and Expenses,221050000,- -,287327000
12,Interest Income ,- -,- -,- -
13,Interest Expense (Gain),264000,- -,235000
14,Depreciation and Amortization,25154000,22192000,27398000
15,EBITDA,43007000,- -,38112000
16,EBITDA ratio,0.1796,- -,0.1326
17,Operating Income,17137000,10349000,-2990000
18,Operating Income ratio,0.0716,Infinity,-0.0104
19,Total Other Income Expenses (Gains),452000,-249307000,13469000
20,Income Before Tax,17589000,-238958000,10479000
21,Income Before Tax Ratio,0.0735,-Infinity,0.0365
22,Income Tax expense (Gain),3975000,- -,-258000
23,Net Income,13614000,-238958000,10737000
24,Net Income ratio,0.0569,-Infinity,0.0374
25,EPS,0.11,0.10,0.09
26,EPS Diluted,0.11,0.10,0.08
27,Weighted Average Shares Outstanding,125753664,125753664,126074000
28,Weighted Average Shares Outstanding Diluted,125753664,125753664,138635000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1823878/000110465921041693/0001104659-21-041693-index.htm,https://www.sec.gov/Archives/edgar/data/1823878/000182387822000013/0001823878-22-000013-index.htm
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,- -,1061717000,213502000
32,Short-Term Investments,- -,215275732000,- -
33,Cash and Short-Term Investments,- -,216337449000,213502000
34,Net Receivables,- -,- -,22810000
35,Inventory,- -,- -,- -
36,Other Current Assets,- -,-214598935000,5472000
37,Total Current Assets,- -,1738514000,241784000
38,PP&E,- -,- -,5289000
39,Goodwill,- -,- -,5059000
40,Intangible Assets,- -,- -,62022000
41,Intangible Assets,- -,- -,67081000
42,Investments,- -,- -,- -
43,Tax Assets,- -,- -,6282000
44,Other Non-Current Assets,- -,215278607000,14408000
45,Total Non-Current Assets,- -,215278607000,93060000
46,Other Assets,- -,- -,- -
47,Total Assets,- -,217017121000,334844000
48,Accounts Payable,- -,- -,7793000
49,Short-Term Debt,- -,- -,- -
50,Tax Payable,- -,- -,- -
51,Deferred Revenue,- -,- -,- -
52,Other Current Liabilities,- -,- -,22120000
53,Total Current Liabilities,- -,- -,29913000
54,Long-Term Debt,- -,- -,- -
55,Deferred Revenue,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1464000
58,Total Non-Current Liabilities,- -,- -,1464000
59,Other Liabilities,- -,7539900000,- -
60,Capital Lease Obligations,- -,- -,- -
61,Total Liabilities,- -,7539900000,31377000
62,Preferred Stock,- -,- -,- -
63,Common Stock,- -,- -,13000
64,Retained Earnings,- -,- -,34539000
65,Other Comprehensive Income/Loss,- -,- -,393000
66,Other Total Stockholders Equity,- -,5000010000,268522000
67,Total Stockholders Equity,- -,5000010000,303467000
68,Total Liabilities And Stockholders Equity,- -,12539910000,334844000
69,Minority Interest,- -,204477211000,- -
70,Total Liabilities & Equity,- -,217017121000,334844000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1823878/000110465921041693/0001104659-21-041693-index.htm,https://www.sec.gov/Archives/edgar/data/1823878/000182387822000013/0001823878-22-000013-index.htm
72,CASH FLOW STATEMENT, , , 
73,Net Income,13614000,-238958000,10737000
74,Depreciation and Amortization,25154000,22192000,27398000
75,Deferred Income Tax,2456000,-3568000,-2286000
76,Stock Based Compensation,5884000,3519000,4455000
77,Change in Working Capital,-10764000,13917000,- -
78,Accounts Receivable,-517000,-2367000,- -
79,Inventory,- -,- -,- -
80,Accounts Payable,- -,- -,3877000
81,Other Working Capital,-7516000,-781000,211871000
82,Other Non-Cash Items,-256000,251298000,-6428000
83,Cash Provided by Operating Activities,36088000,48400000,33876000
84,CAPEX,-25292000,-27002000,-2010000
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -
88,Other Investing Activites,-20996000,-25155000,-54926000
89,Cash Used for Investing Activites,-25292000,-27002000,-56936000
90,Debt Repayment,- -,- -,-4321000
91,Common Stock Issued,- -,- -,- -
92,Common Stock Repurchased,-6176000,-2540000,- -
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,-1172000,-1095000,191213000
95,Cash Used/Provided by Financing Activities,-7348000,-3635000,186892000
96,Effect of Forex Changes on Cash,-26000,142000,- -
97,Net Change In Cash,3422000,17905000,164575000
98,Cash at the End of Period,31022000,48927000,213502000
99,Cash at the Beginning of Period,27600000,31022000,48927000
100,Free Cash Flow,10796000,21398000,31866000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1823878/000110465921041693/0001104659-21-041693-index.htm,https://www.sec.gov/Archives/edgar/data/1823878/000182387822000013/0001823878-22-000013-index.htm
102,false,,,
