,https://roic.ai/company/EYPT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,516321,74351,265229,629524,1465423,2235000,3476000,12162000,23053000,4965000,3526000,2143000,3473000,26565000,1620000,7539000,2961000,20365000,34437000,36939000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2687000,5824000,8177000
3,Gross Profit,- -,- -,265229,629524,1465423,2235000,3476000,12162000,23053000,4965000,3526000,2143000,3473000,26565000,- -,- -,- -,17678000,28613000,28762000
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,0.8681,0.8309,0.7786
5,Research and Development Exp.,1795160,3080997,4872407,6293854,11702095,20030000,14426000,8007000,6994000,6864000,7039000,7005000,9573000,12088000,14381000,14880000,16178000,15368000,17424000,28500000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,8791000,6968000,8104000,6868000,7169000,7468000,8056000,9013000,11235000,11545000,17939000,20726000,25575000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1512000,29772000,25293000,27503000
8,"Selling, General and Administrative Exp.",- -,565510,1601996,3807555,15884261,12982000,13951000,8791000,6968000,8104000,6868000,7169000,7468000,8056000,9013000,11235000,13057000,47711000,46019000,53078000
9,Other Expenses,- -,25418,27351,781713,1555439,4765000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2460000,2460000,2460000
10,Operating Expenses,1795160,3671925,6501754,10883122,29141795,37777000,28377000,16798000,13962000,14968000,13907000,14174000,17041000,20144000,23394000,26115000,29235000,65539000,65903000,84038000
11,COGS and Expenses,1795160,3671925,6501754,10883122,29141795,37777000,28377000,16798000,13962000,14968000,13907000,14174000,17041000,20144000,23394000,26115000,29235000,68226000,71727000,92215000
12,Interest Income ,- -,- -,- -,- -,- -,300000,648000,162000,27000,30000,38000,16000,6000,19000,72000,91000,101000,1054000,58000,292000
13,Interest Expense (Gain),- -,- -,3916,- -,3373982,1941000,507000,- -,- -,- -,- -,2000,1000,- -,- -,- -,720000,6176000,7257000,5498000
14,Depreciation and Amortization,- -,212087,240941,1241846,8699333,8718000,397000,3438000,3326000,3355000,2227000,994000,917000,882000,908000,815000,1148000,2604000,2649000,2771000
15,EBITDA,-2251524,-1645543,-2314602,-9941476,-15908491,-116545000,-75249000,-24000,12102000,-5491000,-22777000,-11021000,-12567000,7325000,-20794000,-17670000,-51303000,-48013000,-35488000,-50148000
16,EBITDA ratio,-4.3607,-22.1321,-8.7268,-15.7921,-10.8559,-52.1454,-21.6482,-0.0020,0.5250,-1.1059,-6.4597,-5.1428,-3.6185,0.2757,-12.8358,-2.3438,-17.3262,-2.3576,-1.0305,-1.3576
17,Operating Income,- -,-3597574,-6236525,-10253598,-27676372,-35542000,-24901000,-4636000,9091000,-10003000,-25211000,-12031000,-13490000,6421000,-21774000,-18576000,-26274000,-47861000,-37290000,-55276000
18,Operating Income ratio,- -,-48.3864,-23.5137,-16.2879,-18.8863,-15.9025,-7.1637,-0.3812,0.3944,-2.0147,-7.1500,-5.6141,-3.8842,0.2417,-13.4407,-2.4640,-8.8734,-2.3502,-1.0828,-1.4964
19,Total Other Income Expenses (Gains),-972685,-807,1011589,-1232873,-305434,-91661000,-51252000,1174000,-315000,1157000,207000,14000,5000,22000,72000,91000,-26897000,-8932000,-8104000,-3141000
