,https://roic.ai/company/CERT,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,163719000,208511000,243530000,286104000
2,COGS,71043000,79770000,100765000,111616000
3,Gross Profit,92676000,128741000,142765000,174488000
4,Gross Profit Ratio,0.5661,0.6174,0.5862,0.6099
5,Research and Development Exp.,10478000,11633000,19644000,20379000
6,General and Administrative Exp.,43393000,47926000,88482000,79539000
7,Selling and Marketing Exp.,9416000,10732000,19202000,- -
8,"Selling, General and Administrative Exp.",52809000,58658000,107684000,79539000
9,Other Expenses,34041000,38837000,39857000,60991000
10,Operating Expenses,97328000,109128000,167185000,160909000
11,COGS and Expenses,168371000,188898000,267950000,272525000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),27802000,28004000,25296000,-16837000
14,Depreciation and Amortization,37011000,41560000,42753000,45115000
15,EBITDA,32252000,60413000,17868000,24903000
16,EBITDA ratio,0.1970,0.2897,0.0734,0.0870
17,Operating Income,-4652000,19613000,-24420000,13579000
18,Operating Income ratio,-0.0284,0.0941,-0.1003,0.0475
19,Total Other Income Expenses (Gains),-27909000,-28764000,-25761000,-16954000
20,Income Before Tax,-32561000,-9151000,-50181000,-3375000
21,Income Before Tax Ratio,-0.1989,-0.0439,-0.2061,-0.0118
22,Income Tax expense (Gain),697000,-225000,-784000,9891000
23,Net Income,-33258000,-8926000,-49397000,-13266000
24,Net Income ratio,-0.2031,-0.0428,-0.2028,-0.0464
25,EPS,-0.25,-0.06,-0.37,-0.09
26,EPS Diluted,-0.25,-0.06,-0.37,-0.09
27,Weighted Average Shares Outstanding,132407786,152979479,133247212,149842668
28,Weighted Average Shares Outstanding Diluted,132407786,152979479,133247212,149842668
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1827090/000155837021002979/0001558370-21-002979-index.htm,https://www.sec.gov/Archives/edgar/data/1827090/000155837022002608/0001558370-22-002608-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,11684000,29256000,271382000,185797000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,11684000,29256000,271382000,185797000
34,Net Receivables,49881000,52356000,64799000,69555000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,7365000,5911000,10403000,19375000
37,Total Current Assets,68930000,87523000,346584000,274727000
38,PP&E,5401000,4623000,3872000,15569000
39,Goodwill,514274000,514996000,518592000,703371000
40,Intangible Assets,459623000,427998000,396445000,511823000
41,Intangible Assets,973897000,942994000,915037000,1215194000
42,Investments,- -,- -,- -,- -
43,Tax Assets,837000,833000,2744000,4073000
44,Other Non-Current Assets,2428000,1096000,1163000,2167000
45,Total Non-Current Assets,982563000,949546000,922816000,1237003000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,1051493000,1037069000,1269400000,1511730000
48,Accounts Payable,4908000,4917000,6394000,7458000
