,https://roic.ai/company/MTDR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,19038514,34041607,66999826,165156000,260889000,431036000,316169000,264422000,544276000,899599000,983670000,862126000,1662981000
2,COGS,1077145,1981550,6277860,120310000,158088000,219262000,272575000,226685000,316129000,465490000,666314000,634356000,771441000
3,Gross Profit,17961369,32060057,60721966,44846000,102801000,211774000,43594000,37737000,228147000,434109000,317356000,227770000,891540000
4,Gross Profit Ratio,0.9434,0.9418,0.9063,0.2715,0.3940,0.4913,0.1379,0.1427,0.4192,0.4826,0.3226,0.2642,0.5361
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,14543000,20779000,32152000,50105000,55089000,66016000,69308000,80054000,62578000,96396000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,14543000,20779000,32152000,50105000,55089000,66016000,69308000,80054000,62578000,96396000
9,Other Expenses,22720360,30737438,52600916,256000,348000,504000,734000,1182000,1290000,1530000,1822000,1948000,2068000
10,Operating Expenses,22720360,30737438,52600916,14799000,21127000,32656000,50839000,56271000,67306000,70838000,81876000,64526000,98464000
11,COGS and Expenses,23797505,32718988,58878776,135109000,179215000,251918000,323414000,282956000,383435000,536328000,748190000,698882000,869905000
12,Interest Income ,781072,364338,314136,224000,225000,1345000,2365000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,3235,682754,1002000,5687000,5334000,21754000,28199000,34565000,41327000,73873000,76692000,74687000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361831000,344905000
15,EBITDA,-24350491,9901373,-15147663,-33689000,60478000,180480000,-805399000,-70258000,152275000,307843000,197182000,-200281000,1079270000
16,EBITDA ratio,-1.2790,0.2909,-0.2261,-0.2040,0.2318,0.4187,-2.5474,-0.2657,0.2798,0.3422,0.2005,-0.2323,0.6490
17,Operating Income,-24752247,9760725,-15308266,-33428000,60445000,179118000,-808411000,-177167000,160841000,363271000,235480000,-521499000,793076000
18,Operating Income ratio,-1.3001,0.2867,-0.2285,-0.2024,0.2317,0.4156,-2.5569,-0.6700,0.2955,0.4038,0.2394,-0.6049,0.4769
19,Total Other Income Expenses (Gains),401756,137413,-522151,-1263000,-5654000,-3989000,-18481000,79074000,-30991000,-71198000,-76966000,-77660000,-77730000
20,Income Before Tax,-24350491,9898138,-15830417,-34691000,54791000,175129000,-826892000,-98093000,129850000,292073000,158514000,-599159000,715346000
21,Income Before Tax Ratio,-1.2790,0.2908,-0.2363,-0.2100,0.2100,0.4063,-2.6153,-0.3710,0.2386,0.3247,0.1611,-0.6950,0.4302
22,Income Tax expense (Gain),-9925149,3521175,-5521404,-1430000,9697000,64375000,-147368000,-1036000,-8157000,-7691000,35532000,-45599000,74710000
23,Net Income,-14425342,6376963,-10309013,-33261000,45094000,110771000,-679785000,-97421000,125867000,274207000,87777000,-593205000,584968000
24,Net Income ratio,-0.7577,0.1873,-0.1539,-0.2014,0.1728,0.2570,-2.1501,-0.3684,0.2313,0.3048,0.0892,-0.6881,0.3518
25,EPS,-0.36,0.16,-0.24,-0.62,0.77,1.58,-8.34,-1.07,1.23,2.41,0.75,-5.11,5.48
26,EPS Diluted,-0.36,0.16,-0.24,-0.62,0.77,1.56,-8.34,-1.07,1.23,2.41,0.75,-5.11,5.37
27,Weighted Average Shares Outstanding,40123267,41037487,42717507,53957000,58777000,70229000,81537000,91273000,102029000,113580000,116555000,116068000,117008000
28,Weighted Average Shares Outstanding Diluted,40123267,41133627,42717507,53957000,58929000,70906000,81537000,91273000,102543000,113691000,117063000,116068000,119197000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1520006/000119312513111031/0001193125-13-111031-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000614000017/0001520006-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1520006/000152000615000008/mtdr10-k12312014.htm,https://www.sec.gov/Archives/edgar/data/1520006/000152000616000245/0001520006-16-000245-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000617000074/0001520006-17-000074-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000618000053/0001520006-18-000053-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000619000048/0001520006-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000620000037/0001520006-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1520006/000152000621000056/0001520006-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1520006/000152000622000065/0001520006-22-000065-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,104229709,21059519,10284180,2095000,6287000,8407000,16732000,212884000,96505000,64545000,40024000,57916000,48135000
32,Short-Term Investments,15675346,2349313,1335000,230000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,119905055,23408832,11619180,2325000,6287000,8407000,16732000,212884000,96505000,64545000,40024000,57916000,48135000
34,Net Receivables,11262822,11648493,13171505,29514000,31674000,44992000,44409000,58668000,141218000,146151000,189413000,137133000,241416000
35,Inventory,1818514,1423197,1343416,877000,785000,1212000,2022000,3045000,5993000,17564000,10744000,10584000,12188000
36,Other Current Assets,2335244,6020769,10141981,5481000,3426000,58712000,63844000,4585000,13454000,77425000,38311000,55996000,69566000
37,Total Current Assets,135321635,42501291,36276082,38197000,42172000,113323000,127007000,279182000,257170000,305685000,278492000,261629000,371305000
38,PP&E,142078130,303880466,399864775,591090000,845877000,1322072000,1012406000,1184525000,1881456000,3122864000,3699595000,3367769000,3856685000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,1593331,411000,- -,- -,- -,- -,- -,20457000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1734328,2331000,2281000,896000,1448000,958000,7064000,6512000,91589000,57882000,34163000
45,Total Non-Current Assets,142078130,303880466,403192434,593832000,848158000,1322968000,1013854000,1185483000,1888520000,3149833000,3791184000,3425651000,3890848000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,277399765,346381757,439468516,632029000,890330000,1436291000,1140861000,1464665000,2145690000,3455518000,4069676000,3687280000,4262153000
48,Accounts Payable,2049361,12166938,18841295,28120000,25358000,17526000,10966000,4674000,11757000,66970000,43036000,14400000,37540000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24276000,32182000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,450000,722843,- -,- -,- -,- -,4830000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6368797,17206725,55734782,68372000,74969000,144261000,121034000,164831000,270849000,263052000,356736000,252260000,395115000
53,Total Current Liabilities,8868158,30096506,74576077,96492000,100327000,161787000,136830000,169505000,282606000,330022000,399772000,290936000,464837000
54,Long-Term Debt,- -,25000000,88000000,150000000,200000000,340000000,391254000,573924000,574073000,1297837000,1582416000,1814998000,1527580000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,102506000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1635003,5432638,- -,- -,10929000,53783000,- -,- -,- -,13221000,37329000,- -,77938000
57,Other Non-Current Liabilities,2575214,3975470,5377246,6433000,10150000,14180000,21312000,29791000,31465000,34781000,80707000,68321000,64410000
