,https://roic.ai/company/DGICB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6500000,31800000,40700000,51600000,52300000,58500000,62100000,77700000,81700000,97885060,112519031,121327606,30586365,159711107,168222999,185163623,203803561,214992328,287788638,319847194,329967034,340618294,372312162,386733407,408817787,475017619,510449328,544202198,585304832,635110034,687336863,737404932,769134358,812156471,777819910,816466000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000000,271000000,285000000,338000000,364000000,398000000,480000000,485000000,513000000,569000000,608000000,645000000,725000000,818000000,754000000,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000000,271000000,285000000,338000000,364000000,398000000,480000000,485000000,513000000,569000000,608000000,645000000,725000000,818000000,754000000,- -,- -
11,COGS and Expenses,- -,- -,- -,100000,200000,- -,- -,9500000,9900000,85239242,101272571,107154063,18909350,156082006,156399724,178071894,187308977,189555953,250734387,267501699,273344771,287769356,340220118,366056718,398973638,481756932,482591068,511491933,569022015,607517766,646008456,725290470,817371207,755075441,714547407,786128000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,100000,200000,- -,- -,- -,- -,- -,400000,900000,- -,1535249,3285036,2247465,1119204,1287197,1613511,2266346,2801553,2884861,1821229,1746509,799578,2126784,2358711,1635323,1516983,1111441,1657647,1593437,2302082,1579299,1196406,896000
14,Depreciation and Amortization,- -,- -,- -,100000,200000,200000,200000,200000,300000,400000,200000,400000,500000,936373,838805,1127510,1236592,1532664,2472813,3066227,2714863,2446126,2401345,2552186,3143767,4106561,3950693,3049101,3523692,6740346,6587282,6109869,6609632,5573074,6721621,5837809
15,EBITDA,100000,2000000,1100000,6300000,6600000,6900000,7100000,8700000,8500000,13045818,11846460,15473543,12177015,6100723,15947116,10466704,18850380,28256236,46586245,57678068,62138679,58179925,36314618,24975384,13787494,-505968,34167664,37394689,21323492,35444055,49573336,19817768,-39325135,64233403,71190530,37071809
16,EBITDA ratio,0.0154,0.0629,0.0270,0.1221,0.1262,0.1179,0.1143,0.1120,0.1040,0.1333,0.1053,0.1275,0.3981,0.0382,0.0948,0.0565,0.0925,0.1314,0.1619,0.1803,0.1883,0.1708,0.0975,0.0646,0.0337,-0.0011,0.0669,0.0687,0.0364,0.0558,0.0721,0.0269,-0.0511,0.0791,0.0915,0.0454
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,5600000,5600000,6800000,7500000,8300000,8500000,1938737,2047787,2204025,-97566726,2652302,2346090,2388479,3236926,3515665,4577096,5074399,5339252,5710458,926690,1392680,922937,957353,953216,849795,855546,750287,670865,500455,480617,443750,- -,-508
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,12645818,11246460,14173543,11677015,3629101,11823275,7091729,16494584,25436375,37054251,52345495,56622263,52848938,32092044,20676689,9844149,-6739313,27858260,32710265,16282817,27592268,41328407,12114462,-48236849,57081030,63272503,30338000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1292,0.1000,0.1168,0.3818,0.0227,0.0703,0.0383,0.0809,0.1183,0.1288,0.1637,0.1716,0.1552,0.0862,0.0535,0.0241,-0.0142,0.0546,0.0601,0.0278,0.0434,0.0601,0.0164,-0.0627,0.0703,0.0813,0.0372
22,Income Tax expense (Gain),- -,400000,300000,2100000,1800000,2200000,2000000,2100000,2100000,2787868,2350347,3532357,2659175,-3027836,2935918,1273598,4491862,7142399,10885652,15395998,16407541,14569033,6550066,1846611,-1623030,-7192266,4765640,6388273,1743799,6602235,10527270,4998362,-15476509,9929286,10457251,5084000
23,Net Income,100000,1600000,800000,4000000,4400000,4500000,4900000,6400000,6100000,9857950,8896113,10641186,9017840,6656937,8887357,5818131,12002722,18293976,31614269,36949497,40214722,38279905,25541978,18830078,11467179,452953,23092620,26321992,14539018,20990033,30801137,7116100,-32760340,47151744,52815252,25254000
24,Net Income ratio,0.0154,0.0503,0.0197,0.0775,0.0841,0.0769,0.0789,0.0824,0.0747,0.1007,0.0791,0.0877,0.2948,0.0417,0.0528,0.0314,0.0589,0.0851,0.1099,0.1155,0.1219,0.1124,0.0686,0.0487,0.0280,0.0010,0.0452,0.0484,0.0248,0.0330,0.0448,0.0097,-0.0426,0.0581,0.0679,0.0309
25,EPS,0.01,0.17,0.09,0.43,0.47,0.48,0.52,0.66,0.35,1.30,1.13,1.00,0.62,0.45,0.57,0.37,0.74,1.07,1.35,1.54,1.61,1.55,1.00,0.30,0.45,0.02,0.83,0.94,0.49,0.88,1.06,0.22,-1.09,1.51,1.84,0.83
26,EPS Diluted,0.01,0.17,0.09,0.43,0.47,0.48,0.52,0.65,0.35,1.30,1.13,1.00,0.61,0.45,0.57,0.36,0.74,1.04,1.31,1.49,1.57,1.53,1.00,0.30,0.45,0.02,0.83,0.94,0.49,0.88,1.06,0.22,-1.09,1.51,1.83,0.83
27,Weighted Average Shares Outstanding,8888889,9175627,8888889,9235209,9312169,9302326,9366786,9724596,13333333,13383271,7866151,10685007,14439015,14789125,15485687,15908461,16160837,17022869,23411537,24026185,24978088,19685674,25442874,25472615,25538049,25573921,25608230,25940452,26676636,27622774,26494204,27375723,28282246,28563067,29284223,31329414
28,Weighted Average Shares Outstanding Diluted,8888889,9175627,8888889,9235209,9312169,9302326,9366786,9893720,13333333,13383271,14120889,10685007,14703951,14789125,15485687,16157031,16284202,17574962,24218832,24875596,25614473,19962858,25532293,25472615,25555843,25610420,25882333,26339160,27141231,27970896,27106917,28219217,28601046,28773513,29463889,31376778
