,https://roic.ai/company/ZLAB,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,- -,129452,12985000,48958000
2,COGS,- -,- -,- -,43590,3749000,16736000
3,Gross Profit,- -,- -,- -,85862,9236000,32222000
4,Gross Profit Ratio,- -,- -,- -,0.6633,0.7113,0.6582
5,Research and Development Exp.,13587145,32149157,39341518,120278023,142221000,222711000
6,General and Administrative Exp.,2762292,6380144,12049518,- -,70211000,111312000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2762292,6380144,12049518,- -,70211000,111312000
9,Other Expenses,- -,- -,- -,21575921,- -,- -
10,Operating Expenses,16349437,38529301,51391036,141853944,212432000,334023000
11,COGS and Expenses,16349437,38529301,51391036,141897534,216181000,350759000
12,Interest Income ,5005,403266,527351,3260634,8232000,5120000
13,Interest Expense (Gain),- -,- -,- -,39672,293000,181000
14,Depreciation and Amortization,126507,199005,548127,1649775,3766000,4640000
15,EBITDA,-14242930,-36410296,-51042909,-137385448,-191012000,-264084000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-1061.2849,-14.7102,-5.3941
17,Operating Income,-16349437,-38529301,-51391036,-141768082,-203196000,-301801000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-1095.1401,-15.6485,-6.1645
19,Total Other Income Expenses (Gains),-1672300,1017089,1256512,3279738,8877000,34015000
20,Income Before Tax,-18021737,-37512212,-50134524,-138488344,-194319000,-267786000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-1069.8046,-14.9649,-5.4697
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-18021737,-37512212,-50384176,-139074895,-195071000,-268905000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-1074.3356,-15.0228,-5.4926
25,EPS,-0.37,-0.76,-2.32,-2.64,-3.03,-3.46
26,EPS Diluted,-0.37,-0.76,-2.32,-2.64,-3.03,-3.46
27,Weighted Average Shares Outstanding,49305903,49305903,21752757,52609810,64369490,77667743
28,Weighted Average Shares Outstanding Diluted,49305903,49305903,21752757,52609810,64369490,77667743
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1704292/000156459019010185/0001564590-19-010185-index.html,https://www.sec.gov/Archives/edgar/data/1704292/000156459020019745/zlab-20f_20191231.htm,https://www.sec.gov/Archives/edgar/data/1704292/000119312521062279/0001193125-21-062279-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,13160696,83948770,229660148,62951607,75932000,442116000
32,Short-Term Investments,- -,- -,- -,200350000,200000000,744676000
33,Cash and Short-Term Investments,13160696,83948770,229660148,263301607,275932000,1186792000
34,Net Receivables,- -,- -,- -,89708,3791000,5165000
35,Inventory,- -,- -,- -,3822,6005000,13144000
36,Other Current Assets,69020,143527,954506,5749260,6736000,10935000
37,Total Current Assets,13229716,84092297,230614654,269144397,292464000,1216036000
38,PP&E,707584,1246058,- -,- -,- -,47137000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2525,7000,20089,321566,8803000,9440000
41,Intangible Assets,2525,7000,20089,321566,8803000,9440000
42,Investments,- -,500000,1650348,3149855,2398000,1279000
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3061930,17349137,29371331,51488000,23746000
45,Total Non-Current Assets,710109,4814988,19019574,32842752,62689000,81602000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,13939825,88907285,249634228,301987149,355153000,1297638000
48,Accounts Payable,1453054,523338,8967685,37432035,22660000,62641000
49,Short-Term Debt,- -,- -,- -,3642616,10801000,5206000
50,Tax Payable,- -,23721,17793,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2487931,4650118,3101459,7766843,13174000,30196000
53,Total Current Liabilities,3940985,5173456,12069144,48841494,46635000,98043000
54,Long-Term Debt,- -,- -,- -,- -,- -,13392000
55,Deferred Revenue,61599,778434,2394124,2063942,2881000,16858000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,28307144,134507144,- -,- -,10977000,- -
58,Total Non-Current Liabilities,28368743,135285578,2394124,2063942,13858000,30250000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,15328000,18598000
61,Total Liabilities,32309728,140459034,14463268,50905436,60493000,128293000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,533,579,2995,3481,4000,5000
64,Retained Earnings,-22655225,-60167437,-110551613,-249626508,-444698000,-713603000
65,Other Comprehensive Income/Loss,-103620,-698532,449908,2661729,4620000,-14524000
66,Other Total Stockholders Equity,4388409,9313641,345269670,498043011,734734000,- -
67,Total Stockholders Equity,-18369903,-51551749,235170960,251081713,294660000,1169345000
68,Total Liabilities And Stockholders Equity,13939825,88907285,249634228,301987149,355153000,1297638000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13939825,88907285,249634228,301987149,355153000,1297638000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1704292/000156459019010185/0001564590-19-010185-index.html,https://www.sec.gov/Archives/edgar/data/1704292/000156459020019745/zlab-20f_20191231.htm,https://www.sec.gov/Archives/edgar/data/1704292/000119312521062279/0001193125-21-062279-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-18021737,-37512212,-50384176,-139074895,-195071000,-268905000
