,https://roic.ai/company/HTIA,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1817000,58439000,247490000,302566000,311173000,362406000,374914000,381612000,329355000
2,COGS,122000,26717000,125573000,172077000,186277000,220997000,234185000,- -,79926000
3,Gross Profit,1695000,31722000,121917000,130489000,124896000,141409000,140729000,381612000,249429000
4,Gross Profit Ratio,0.9329,0.5428,0.4926,0.4313,0.4014,0.3902,0.3754,1.0000,0.7573
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,109000,3541000,9733000,12105000,15673000,17275000,20530000,21572000,16828000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",109000,3541000,9733000,12105000,15673000,17275000,20530000,21572000,16828000
9,Other Expenses,1929000,89229000,273367000,295098000,308154000,348237000,394962000,- -,- -
10,Operating Expenses,2038000,92770000,283100000,307203000,323827000,365512000,415492000,21572000,16828000
11,COGS and Expenses,2160000,119487000,408673000,479280000,510104000,586509000,649677000,21572000,96754000
12,Interest Income ,- -,- -,- -,- -,- -,23000,7000,44000,- -
13,Interest Expense (Gain),- -,3559000,10356000,19881000,30264000,49471000,56059000,51519000,-47900000
14,Depreciation and Amortization,1077000,30151000,122627000,101640000,82471000,83467000,81028000,80973000,79926000
15,EBITDA,856000,-3437000,88264000,98563000,70834000,80373000,49399000,52921000,-53211000
16,EBITDA ratio,0.4711,-0.0588,0.3566,0.3258,0.2276,0.2218,0.1318,0.1387,-0.1616
17,Operating Income,-221000,-34331000,-35610000,-23054000,-12654000,-3176000,-31788000,-19872000,-37435000
18,Operating Income ratio,-0.1216,-0.5875,-0.1439,-0.0762,-0.0407,-0.0088,-0.0848,-0.0521,-0.1137
19,Total Other Income Expenses (Gains),- -,-2816000,-9328000,- -,-29411000,-49605000,-56120000,-51577000,-47802000
20,Income Before Tax,-221000,-37147000,-44938000,-23054000,-42065000,-52781000,-87908000,-71449000,-85237000
21,Income Before Tax Ratio,-0.1216,-0.6357,-0.1816,-0.0762,-0.1352,-0.1456,-0.2345,-0.1872,-0.2588
22,Income Tax expense (Gain),- -,565000,-2978000,-2084000,647000,197000,399000,-4061000,203000
23,Net Income,-221000,-37712000,-41741000,-20874000,-42548000,-52762000,-88087000,-75510000,-85440000
24,Net Income ratio,-0.1216,-0.6453,-0.1687,-0.0690,-0.1367,-0.1456,-0.2350,-0.1979,-0.2594
25,EPS,-0.10,-0.74,-0.49,-0.24,-0.47,-0.58,-0.96,-0.82,-0.93
26,EPS Diluted,-0.10,-0.74,-0.49,-0.24,-0.47,-0.58,-0.96,-0.82,-0.93
27,Weighted Average Shares Outstanding,2148297,51234729,85331966,87878907,89802174,91118929,91936641,91970957,91970957
28,Weighted Average Shares Outstanding Diluted,2148297,51234729,85331966,87878907,89802174,91118929,91936641,91970957,91970957
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1561032/000156103214000003/0001561032-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1561032/000156103215000008/0001561032-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1561032/000156103216000021/0001561032-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103217000002/0001561032-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103218000003/0001561032-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103219000002/0001561032-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103220000004/0001561032-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1561032/000156103221000004/0001561032-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1561032/000156103222000002/0001561032-22-000002-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,111833000,182617000,24474000,29225000,94177000,77264000,95691000,72357000,59738000
32,Short-Term Investments,- -,20286000,1078000,- -,- -,- -,- -,- -,2612660000
33,Cash and Short-Term Investments,111833000,202903000,25552000,29225000,94177000,77264000,95691000,72357000,2672398000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,23322000,23858000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
