,https://roic.ai/company/CGC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,549,4488,- -,- -,1145662,- -,12699000,39895000,77948000,226341000,398772000,546649000
2,COGS,- -,- -,- -,- -,731313,- -,-6287000,2263000,3756000,137411000,430456000,479689000
3,Gross Profit,549,4488,- -,- -,414349,- -,18986000,37632000,74192000,88930000,-31684000,66960000
4,Gross Profit Ratio,1.0000,1.0000,- -,- -,0.3617,- -,1.4951,0.9433,0.9518,0.3929,-0.0795,0.1225
5,Research and Development Exp.,- -,- -,- -,- -,159648,- -,721000,810000,1453000,15238000,61812000,57582000
6,General and Administrative Exp.,- -,- -,- -,739940,5997283,- -,11674000,25594000,92925000,451435000,624911000,329454000
7,Selling and Marketing Exp.,- -,- -,- -,191717,1994521,- -,5653000,12960000,38203000,154392000,242831000,194395000
8,"Selling, General and Administrative Exp.",- -,- -,- -,931657,7991804,- -,17327000,38554000,131128000,605827000,867742000,523849000
9,Other Expenses,27467,28556,26156,- -,- -,- -,2256000,6064000,20486000,21510000,63619000,71585000
10,Operating Expenses,27467,28556,26156,931657,8151452,- -,20304000,45428000,153067000,642575000,993173000,653016000
11,COGS and Expenses,27467,28556,26156,931657,8882765,- -,14017000,47691000,156823000,779986000,1423629000,1132705000
12,Interest Income ,- -,4488,4763,- -,- -,- -,- -,- -,- -,49312000,66327000,21367000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,18415000,6716000,8459000
14,Depreciation and Amortization,- -,- -,- -,4186,362901,- -,2256000,6064000,20486000,46918000,125013000,127118000
15,EBITDA,-26918,-24068,-26156,-925988,-8568474,- -,-1114000,-10944000,-48274000,-607787000,-1311211000,-1622484000
16,EBITDA ratio,-49.0310,-5.3627,-Infinity,-Infinity,-7.4791,- -,-0.0877,-0.2743,-0.6193,-2.6853,-3.2881,-2.9681
