,https://roic.ai/company/ECIA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1398184,1315915,1568428,2002119,3017384,4863908,6812339,7286000,8053758,9127190,11010038,12065659,12789293,12835768,11616657,12988650,11766569,10546637,9671481,9336078,8869599,8754279,8802456,7670206,7537834
2,COGS,1422005,1218342,1121698,1280923,1254594,2105842,2771969,3005000,3381355,3567800,4105591,4463465,4822772,4968956,4403257,5963632,5231750,6166038,4977258,4759067,4464134,3747256,4130856,3666590,3632731
3,Gross Profit,-23821,97573,446730,721196,1762790,2758066,4040370,4281000,4672403,5559390,6904447,7602194,7966521,7866812,7213400,7025018,6534819,4380599,4694223,4577011,4405465,5007023,4671600,4003616,3905103
4,Gross Profit Ratio,-0.0170,0.0741,0.2848,0.3602,0.5842,0.5670,0.5931,0.5876,0.5802,0.6091,0.6271,0.6301,0.6229,0.6129,0.6210,0.5409,0.5554,0.4154,0.4854,0.4902,0.4967,0.5720,0.5307,0.5220,0.5181
5,Research and Development Exp.,616730,652298,581659,578744,458091,445843,502939,764000,951758,955714,1099619,1267834,1138677,1338557,1464213,1349357,1755894,1407337,1342411,1249787,1126630,842081,779493,748390,569542
6,General and Administrative Exp.,1349371,1200572,933642,820918,- -,- -,- -,- -,- -,- -,- -,6488878,1453999,1464194,1457138,1818856,1711267,1532406,1615006,1476803,1455628,1457342,1315401,1318022,1376767
7,Selling and Marketing Exp.,1511190,1834806,1393719,1404213,- -,- -,- -,- -,- -,- -,- -,- -,5166573,4758150,4241968,4329157,3617206,2951906,2921295,2558785,2511451,2311767,2763065,2093564,2020435
8,"Selling, General and Administrative Exp.",2860561,3035378,2327361,2225131,- -,- -,- -,- -,- -,- -,- -,6488878,6620572,6222344,5699106,6148013,5328473,4484312,4536301,4035588,3967079,3769109,4078466,3411586,3397202
9,Other Expenses,- -,- -,- -,- -,2386923,2542845,3329573,3508000,4319962,4957208,5936241,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3477291,3687676,2909020,2803875,2845014,2988688,3832512,4272000,5271720,5912922,7035860,7756712,7759249,7560901,7163319,7497370,7084367,5891649,5878712,5285375,5093709,4611190,4857959,4159976,3966744
11,COGS and Expenses,4899296,4906018,4030718,4084798,4099608,5094530,6604481,7277000,8653075,9480722,11141451,12220177,12582021,12529857,11566576,13461002,12316117,12057687,10855970,10044442,9557843,8358446,8988815,7826566,7599475
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,646000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62617,41000,- -,- -,- -,- -,- -,- -,- -,60643,50334,43382,87127
14,Depreciation and Amortization,154673,187586,226862,145604,120808,71128,124232,194000,210612,216838,209653,221932,219183,237974,260510,262746,318327,499066,382058,318692,224877,202895,182066,137810,88955
15,EBITDA,-2748959,-3007146,-1952496,-1820710,-869644,-144449,338574,199000,-384521,-120965,119576,42614,441617,543832,265074,-267907,-297346,-1282612,-1000688,-561508,-504416,599097,-3696,-17120,760816
16,EBITDA ratio,-1.9661,-2.2852,-1.2449,-0.9094,-0.2882,-0.0297,0.0497,0.0273,-0.0477,-0.0133,0.0109,0.0035,0.0345,0.0424,0.0228,-0.0206,-0.0253,-0.1216,-0.1035,-0.0601,-0.0569,0.0684,-0.0004,-0.0022,0.1009
17,Operating Income,-3501112,-3590103,-2462290,-2082679,-1212258,-230622,207858,8000,-599317,-353532,-131413,-154518,207272,305911,50081,-472352,-549548,-1511050,-1184489,-708364,-688244,395833,-186359,-156360,-61641
18,Operating Income ratio,-2.5040,-2.7282,-1.5699,-1.0402,-0.4018,-0.0474,0.0305,0.0011,-0.0744,-0.0387,-0.0119,-0.0128,0.0162,0.0238,0.0043,-0.0364,-0.0467,-0.1433,-0.1225,-0.0759,-0.0776,0.0452,-0.0212,-0.0204,-0.0082
19,Total Other Income Expenses (Gains),- -,-17881,-8535,-9909,46247,-3894,2425,-8000,-9796,-13050,11651,-24800,-47455,-41053,-45517,-58301,-66125,-270628,-198257,-171836,-41049,-60274,-49737,-41952,646375
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-179318,159817,264858,4564,-530653,-615673,-1781678,-1382746,-880200,-729293,335559,-236096,-198312,584734
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0149,0.0125,0.0206,0.0004,-0.0409,-0.0523,-0.1689,-0.1430,-0.0943,-0.0822,0.0383,-0.0268,-0.0259,0.0776
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2903632,-3194732,-2179358,-1966314,-990452,-215577,214342,5000,-595133,-337803,-90077,-179318,159817,264858,4564,-530653,-615673,-1781678,-1382746,-880200,-729293,335559,-236096,-198312,584734
24,Net Income ratio,-2.0767,-2.4278,-1.3895,-0.9821,-0.3282,-0.0443,0.0315,0.0007,-0.0739,-0.0370,-0.0082,-0.0149,0.0125,0.0206,0.0004,-0.0409,-0.0523,-0.1689,-0.1430,-0.0943,-0.0822,0.0383,-0.0268,-0.0259,0.0776
25,EPS,-0.57,-0.59,-0.40,-0.37,-0.18,-0.04,0.04,0.00,-0.10,-0.05,-0.01,-0.03,0.02,0.04,0.00,-0.08,-0.08,-0.20,-0.13,-0.08,-0.07,0.03,-0.02,-0.02,0.05
26,EPS Diluted,-0.57,-0.59,-0.40,-0.37,-0.18,-0.04,0.04,0.00,-0.10,-0.05,-0.01,-0.03,0.02,0.04,0.00,-0.08,-0.08,-0.20,-0.13,-0.08,-0.07,0.03,-0.02,-0.02,0.05
27,Weighted Average Shares Outstanding,5094810,5377493,5383507,5383507,5389174,5405856,5424038,5674329,6131102,6756060,6420280,6441410,6453338,6455000,6455100,6463297,8200000,8921669,10673000,10673000,10677000,10683000,10932670,11573000,11583000
28,Weighted Average Shares Outstanding Diluted,5094810,5377493,5383507,5383507,5389174,5405856,5888205,6105326,6131102,6756060,6434704,6441410,6453338,6464000,6464795,6463297,8200000,8921669,10673000,10673000,10677000,10707000,10932670,11573000,11768000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/930775/000110465908043073/0001104659-08-043073-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/930775/000110465912037847/0001104659-12-037847-index.html,https://www.sec.gov/Archives/edgar/data/930775/000110465913052128/0001104659-13-052128-index.html,https://www.sec.gov/Archives/edgar/data/930775/000110465914048487/0001104659-14-048487-index.html,https://www.sec.gov/Archives/edgar/data/930775/000110465915046302/0001104659-15-046302-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997316001021/0001079973-16-001021-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997317000347/0001079973-17-000347-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997318000390/0001079973-18-000390-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997319000356/0001079973-19-000356-index.html,https://www.sec.gov/Archives/edgar/data/930775/000107997320000487/0001079973-20-000487-index.htm,https://www.sec.gov/Archives/edgar/data/930775/000107997321000550/0001079973-21-000550-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,585552,1357000,1472385,901541,436403,70995,84658,113735,120008,564671,126224,1689580,258656,292840,45117,114538,273348,385132,1474339
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,585552,1357000,1472385,901541,436403,70995,84658,113735,120008,564671,126224,1689580,258656,292840,45117,114538,273348,385132,1474339
34,Net Receivables,- -,- -,- -,- -,- -,- -,959808,948000,866710,942494,1194373,1452770,1263751,1286075,1160008,1427966,985770,863220,965355,839850,1042281,962639,1009106,881194,1024370
35,Inventory,- -,- -,- -,- -,- -,- -,931323,1060000,1210582,1398848,1764227,2270953,2504598,2476823,2603873,2489008,2929302,2224228,2337654,1730747,1128412,1437159,1472543,1625901,1445134
36,Other Current Assets,- -,- -,- -,- -,- -,- -,46929,67000,103150,81828,241872,99025,36541,43581,74635,28568,65891,65387,109678,116989,112290,99830,155016,72639,154151
37,Total Current Assets,- -,- -,- -,- -,- -,- -,2523612,3432000,3652827,3324711,3636875,3893743,3889548,3920214,3958524,4510213,4107187,4842415,3671343,2980426,2328100,2614166,2910013,2964866,4097994
38,PP&E,- -,- -,- -,- -,- -,- -,266629,322000,315914,316178,516514,798337,840235,1148341,1168623,1618709,1628926,1105223,776933,561177,468385,348931,249568,1524215,1326688
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,129916,118000,117764,152930,153066,199246,- -,265988,260097,272714,237606,248971,257356,252889,253980,270504,248579,228296,213368
41,Intangible Assets,- -,- -,- -,- -,- -,- -,129916,118000,117764,152930,153066,199246,215801,265988,260097,272714,237606,248971,257356,252889,253980,270504,248579,228296,213368
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,12972,12000,20210,23483,81195,53149,24505,24268,23624,7415,9215,14127,20135,15926,16450,18873,19548,19548,20496
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,409517,452000,453888,492591,750775,1050732,1080541,1438597,1452344,1898838,1875747,1368321,1054424,829992,738815,638308,517695,1772059,1560552
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,2933129,3884000,4106715,3817302,4387650,4944475,4970089,5358811,5410868,6409051,5982934,6210736,4725767,3810418,3066915,3252474,3427708,4736925,5658546
48,Accounts Payable,- -,- -,- -,- -,- -,- -,416848,431000,532657,299766,620814,536755,745138,684102,673538,1039923,823347,666159,675411,355890,402914,466418,578956,444823,389088
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,16000,- -,- -,- -,- -,190942,350000,435000,- -,- -,67057,64000,387491,275055,- -,- -,648769,323375
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101268,- -,28775,17453,16505,41548,49682,34749,108922
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,509933,392000,600531,785862,843339,872995,773172,331318,548336,632502,765287,703528,553505,534093,545913,572067,422309,314883,463788
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,926781,839000,1133188,1085628,1464153,1409750,1709252,1365420,1656874,1672425,1588634,1436744,1292916,1277474,1223882,1038485,1001265,1408475,1176251
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,606000,- -,350000,- -,- -,- -,- -,64000,- -,- -,- -,- -,- -,1680189
