,https://roic.ai/company/IVDN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,55416,71999,312486,291794,674541,543137,837224,1108955,1108955,1039149,484299,771184,772900,602062,367955,249682,215975,202253,225601
2,COGS,- -,23201,102779,29226,127350,219665,477645,378110,600139,600139,489344,206939,433861,371715,303544,216250,188791,126645,131280,96728
3,Gross Profit,- -,32215,-30780,283260,164444,454876,65492,459114,508816,508816,549805,277360,337323,401185,298518,151705,60891,89330,70973,128873
4,Gross Profit Ratio,- -,0.5813,-0.4275,0.9065,0.5636,0.6743,0.1206,0.5484,0.4588,0.4588,0.5291,0.5727,0.4374,0.5191,0.4958,0.4123,0.2439,0.4136,0.3509,0.5712
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,420768,495907,507868,646932,816235,865310,755836,648363,898448,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,420768,495907,507868,646932,816235,865310,755836,648363,898448,- -,411716
9,Other Expenses,- -,2252457,1563291,380583,386286,337809,617740,418834,420768,75139,139348,- -,- -,- -,- -,- -,- -,- -,341132,- -
10,Operating Expenses,- -,2252457,1563291,380583,386286,337809,617740,418834,420768,495907,635255,507868,646932,816235,865310,755836,648363,898448,341132,411716
11,COGS and Expenses,578061,2275658,1666070,409809,513636,557474,1095385,796944,1020907,1020907,985251,714807,1080793,1187950,1168854,972086,837154,1025093,472412,508444
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,177927,222611,31659,77715,- -,66533,23280,39729,55816,122799,102253,124461,93572,63134,24078,22660,18260,11417,49112
14,Depreciation and Amortization,214,7875,8325,15548,11229,6745,5277,6033,2837,534,649,2102,4990,10747,21024,30963,33588,33037,33308,33308
15,EBITDA,-577847,-2212367,-1585746,-75637,-3422974,59838,3629029,51313,91143,104927,138514,-38406,-304619,-407281,-548265,-578014,-526634,-790682,-236018,-240312
16,EBITDA ratio,-Infinity,-39.9229,-22.0246,-0.2420,-11.7308,0.0887,6.6816,0.0613,0.0822,0.0946,0.1333,-0.0793,-0.3950,-0.5270,-0.9106,-1.5709,-2.1092,-3.6610,-1.1669,-1.0652
17,Operating Income,-578061,-2220242,-1594071,-97323,-221842,117067,-552248,40280,88048,53898,-142515,-230508,-309609,-415050,-566792,-604131,-559215,-809118,-270159,-282843
18,Operating Income ratio,-Infinity,-40.0650,-22.1402,-0.3114,-0.7603,0.1736,-1.0168,0.0481,0.0794,0.0486,-0.1371,-0.4760,-0.4015,-0.5370,-0.9414,-1.6419,-2.2397,-3.7464,-1.3357,-1.2537
19,Total Other Income Expenses (Gains),- -,- -,- -,6138,395495,- -,4176000,5000,258,-5321,157581,87747,-124461,-96550,-65631,-28924,-23667,-32861,-10584,-39889
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,48577,15066,-142761,-434070,-511600,-632423,-633055,-582882,-841979,-280743,-322732
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0438,0.0145,-0.2948,-0.5629,-0.6619,-1.0504,-1.7205,-2.3345,-3.8985,-1.3881,-1.4305
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-578061,-2398169,-1816682,-122844,-3511918,53093,3557219,22000,48577,48577,15066,-142761,-434070,-511600,-632423,-633055,-582882,-841979,-280743,-322732
24,Net Income ratio,-Infinity,-43.2758,-25.2320,-0.3931,-12.0356,0.0787,6.5494,0.0263,0.0438,0.0438,0.0145,-0.2948,-0.5629,-0.6619,-1.0504,-1.7205,-2.3345,-3.8985,-1.3881,-1.4305
25,EPS,-0.04,-0.15,-0.12,-0.01,-0.19,-0.00,0.20,0.00,0.00,0.00,-0.01,-0.01,-0.02,-0.02,-0.03,-0.03,-0.02,-0.03,-0.01,-0.01
26,EPS Diluted,-0.04,-0.15,-0.12,-0.01,-0.19,-0.00,0.20,0.00,0.00,0.00,-0.01,-0.01,-0.02,-0.02,-0.03,-0.03,-0.02,-0.03,-0.01,-0.01
27,Weighted Average Shares Outstanding,14769375,17420625,15882296,17178135,18028022,16906152,18150675,18640135,18808542,18756455,18830401,18974811,20397432,23438254,25125302,25582984,27122315,28708182,30830276,32216560
28,Weighted Average Shares Outstanding Diluted,14769375,17420625,15882296,17178135,18028022,16906152,18150675,18640135,18808542,18756455,18830401,18974811,20397432,23438254,25125302,25582984,27122315,28708182,30830276,32229060
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1190370/000114420412007436/0001144204-12-007436-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000114420413004322/0001144204-13-004322-index.html,https://www.sec.gov/Archives/edgar/data/1190370/000114420414006408/0001144204-14-006408-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000114420415008465/0001144204-15-008465-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000161577416004018/0001615774-16-004018-index.html,https://www.sec.gov/Archives/edgar/data/1190370/000161577417000391/0001615774-17-000391-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000161577418000604/0001615774-18-000604-index.html,https://www.sec.gov/Archives/edgar/data/1190370/000173112219000117/0001731122-19-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000173112220000299/0001731122-20-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000173112221001288/0001731122-21-001288-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000173112222000252/0001731122-22-000252-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,115280,73476,27384,42434,66275,6555,22523,26872,116950,91209,54995,69613,988681,1151904,502777,214871,112203,34525,48009,480451
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78320,- -,70000,57330,57330,- -,- -
33,Cash and Short-Term Investments,115280,73476,27384,42434,66275,6555,22523,26872,116950,91209,54995,69613,988681,1230224,502777,284871,169533,91855,48009,480451
34,Net Receivables,- -,13320,35355,270739,283251,209000,159128,119123,152207,191135,102350,90583,64298,85827,72143,23805,13455,5948,19900,1201
35,Inventory,16727,285254,286310,316706,727210,1046090,732295,935042,904487,700931,623722,614581,935560,924054,936587,729845,721262,636459,576785,542588
36,Other Current Assets,77000,- -,- -,48875,11572,- -,305000,- -,- -,37896,48874,85401,-13119,7619,19110,16278,13294,48180,38775,40962
37,Total Current Assets,209007,372050,349049,678754,1088308,1261645,1218946,1081037,1173644,1021171,829941,860178,1975420,2247724,1530617,1054799,917544,782442,683469,1065202
38,PP&E,17542,79187,26118,27489,20497,13752,10675,4642,1805,1271,20448,18346,56189,51200,176925,160862,131532,98495,706149,607450
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1010,420000,621000,621000,625200,687573,67155,9825
45,Total Non-Current Assets,17542,79187,26118,27489,20497,13752,10675,4642,1805,1271,20448,18346,57199,471200,797925,781862,756732,786068,773304,617275
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,226549,451237,375167,706243,1108805,1275397,1229621,1085679,1175449,1022442,850389,878524,2032619,2718924,2328542,1836661,1674276,1568510,1456773,1682477
48,Accounts Payable,7705,4286,138842,83932,35101,9314,117109,82203,71731,77979,64455,83183,87933,119360,116512,129278,194963,589505,270792,228667
49,Short-Term Debt,- -,626319,829275,493941,502412,446742,297530,261029,322275,110178,91298,155053,59407,368787,15467,136596,163978,151805,159603,248222
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,31000,59596,50737,4284625,4537191,473808,314460,314880,358273,648335,660040,601753,170784,262218,69286,33660,30153,30300,68173
53,Total Current Liabilities,7705,661605,1027713,628610,4822138,4993247,888447,657692,708886,546430,804088,898276,749093,658931,394197,335160,392601,771463,460695,545062
54,Long-Term Debt,- -,160252,307364,294738,426458,- -,397115,388928,373277,363160,347663,335371,327529,235146,188891,119262,100858,80896,148155,71722
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133332
58,Total Non-Current Liabilities,- -,160252,307364,294738,426458,- -,397115,388928,373277,363160,347663,335371,327529,235146,188891,119262,100858,80896,148155,205054
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241165,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115910,79737,40962
61,Total Liabilities,7705,821857,1335077,923348,5248596,411426,1285562,1046620,1082163,909590,1151751,1233647,1076622,894077,583088,454422,493459,931732,608850,750116
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,1873,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1488,1607,1691,1732,1691,1711,1846,- -,1875,1880,1896,1935,2244,2437,2537,2639,2780,3013,3123,3333
64,Retained Earnings,-578061,-2976230,-4909860,-5032704,-8544422,- -,-5622832,-5600832,-5552255,-5537189,-5991903,-6134664,-6568734,-7080334,-7712757,-8345812,-8928694,-9770673,-9730028,-10110090
65,Other Comprehensive Income/Loss,-214,-8089,-4875,-13530,-20522,- -,-32519,-38552,-41389,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,795631,2612092,3953134,4827397,4423462,-4130987,5597564,5678443,5685055,5648161,5688645,5777606,7522487,8902744,9455674,9725412,10134988,10404438,10574828,11039118
67,Total Stockholders Equity,218844,-370620,-959910,-217105,-4139791,-4129276,-55941,39059,93286,112852,-301362,-355123,955997,1824847,1745454,1382239,1209074,636778,847923,932361
68,Total Liabilities And Stockholders Equity,226549,451237,375167,706243,1108805,-3717850,1229621,1085679,1175449,1022442,850389,878524,2032619,2718924,2328542,1836661,1702533,1568510,1456773,1682477
69,Minority Interest,- -,- -,- -,- -,- -,4993247,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28257,- -,- -,- -
70,Total Liabilities & Equity,226549,451237,375167,706243,1108805,1275397,1229621,1085679,1175449,1022442,850389,878524,2032619,2718924,2328542,1836661,1674276,1568510,1456773,1682477
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1190370/000114420412007436/0001144204-12-007436-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000114420413004322/0001144204-13-004322-index.html,https://www.sec.gov/Archives/edgar/data/1190370/000114420414006408/0001144204-14-006408-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000114420415008465/0001144204-15-008465-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000161577416004018/0001615774-16-004018-index.html,https://www.sec.gov/Archives/edgar/data/1190370/000161577417000391/0001615774-17-000391-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000161577418000604/0001615774-18-000604-index.html,https://www.sec.gov/Archives/edgar/data/1190370/000173112219000117/0001731122-19-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000173112220000299/0001731122-20-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000173112221001288/0001731122-21-001288-index.htm,https://www.sec.gov/Archives/edgar/data/1190370/000173112222000252/0001731122-22-000252-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-578061,-2398169,-1816682,-122844,-3511918,53093,3557219,22000,48577,48577,15066,-142761,-434070,-511600,-632423,-633055,-582882,-841979,-280743,-322732
74,Depreciation and Amortization,214,7875,8325,15548,11229,6745,5277,6033,2837,534,649,2102,4990,10747,21024,30963,33588,33037,33308,33308
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-86022,-490857,-389109,728808,-3783974,2228,4062101,92846,41413,9983,-448888,-63951,1264425,362466,-452373,-416781,-194696,-513964,211795,48644
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,40005,-33084,-38928,88785,7767,26285,-21529,13684,48338,1030,-2902,-13952,18699
