,https://roic.ai/company/MCRB,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,21766000,32100000,28267000,34505000,33215000,144927000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,33215000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,2077000,4805000,10718000,38095000,81989000,89455000,95955000,80141000,90570000,141891000
6,General and Administrative Exp.,956000,1247000,4364000,16761000,32616000,34040000,32596000,24748000,30775000,69261000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",956000,1247000,4364000,16761000,32616000,34040000,32596000,24748000,30775000,69261000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3033000,6052000,15082000,54856000,114605000,123495000,128551000,104889000,121345000,211152000
11,COGS and Expenses,3033000,6052000,15082000,54856000,114605000,123495000,128551000,104889000,121345000,- -
12,Interest Income ,- -,- -,- -,638000,2229000,- -,- -,1033000,946000,2870000
13,Interest Expense (Gain),- -,42000,- -,555000,969000,- -,- -,502000,2924000,-2910000
14,Depreciation and Amortization,25000,88000,190000,728000,4205000,7259000,7862000,7603000,6578000,5947000
15,EBITDA,-3008000,-5964000,-13474000,-54128000,-86405000,-82121000,-91080000,-62174000,-79625000,-62541000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-3.9697,-2.5583,-3.2221,-1.8019,-2.3973,-0.4315
17,Operating Income,-3033000,-6052000,-15082000,-54856000,-92839000,-91395000,-100284000,-71876000,-88130000,-64493000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-4.2653,-2.8472,-3.5477,-2.0831,-2.6533,-0.4450
19,Total Other Income Expenses (Gains),-93000,-50000,-1627000,76000,1260000,2015000,1342000,1597000,-997000,-1085000
20,Income Before Tax,-3126000,-6102000,-16709000,-54780000,-91579000,-89380000,-98942000,-70279000,-89127000,-65578000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-4.2074,-2.7844,-3.5003,-2.0368,-2.6833,-0.4525
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3126000,-6102000,-16709000,-54780000,-91579000,-89380000,-98942000,-70279000,-89127000,-65578000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-4.2074,-2.7844,-3.5003,-2.0368,-2.6833,-0.4525
25,EPS,-0.16,-0.23,-0.74,-2.33,-2.30,-2.21,-2.43,-1.24,-1.12,-0.72
26,EPS Diluted,-0.16,-0.23,-0.74,-2.33,-2.30,-2.21,-2.43,-1.24,-1.12,-0.72
27,Weighted Average Shares Outstanding,20683511,29779712,20683511,23532400,39846928,40449410,40743492,56649220,79789220,91702866
28,Weighted Average Shares Outstanding Diluted,20683511,29779712,20683511,23532400,39846928,40449410,40743492,56649220,79789220,91702866
