,https://roic.ai/company/GOOG,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,19108000,86426000,439508000,1465934000,3189223000,6138560000,10604917000,16593986000,21795550000,23650563000,29321000000,37905000000,50175000000,59825000000,66001000000,74989000000,90272000000,110855000000,136819000000,161857000000,182527000000,257637000000
2,COGS,6081000,14228000,131510000,625854000,1457653000,2571509000,4225027000,6649085000,8621506000,8844115000,10417000000,13188000000,20634000000,25858000000,25691000000,28164000000,35138000000,45583000000,59549000000,71896000000,84732000000,110939000000
3,Gross Profit,13027000,72198000,307998000,840080000,1731570000,3567051000,6379890000,9944901000,13174044000,14806448000,18904000000,24717000000,29541000000,33967000000,40310000000,46825000000,55134000000,65272000000,77270000000,89961000000,97795000000,146698000000
4,Gross Profit Ratio,0.6818,0.8354,0.7008,0.5731,0.5429,0.5811,0.6016,0.5993,0.6044,0.6261,0.6447,0.6521,0.5888,0.5678,0.6107,0.6244,0.6108,0.5888,0.5648,0.5558,0.5358,0.5694
5,Research and Development Exp.,10516000,16500000,31748000,91228000,225632000,483978000,1228589000,2119985000,2793192000,2843027000,3762000000,5162000000,6793000000,7952000000,9832000000,12282000000,13948000000,16625000000,21419000000,26018000000,27573000000,31562000000
6,General and Administrative Exp.,14742000,- -,- -,- -,- -,- -,- -,1279250000,1802639000,1667294000,1962000000,3224000000,3845000000,4796000000,5851000000,6136000000,6985000000,6872000000,8126000000,9551000000,11052000000,13510000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,1461266000,1946244000,1983941000,2799000000,4589000000,6143000000,7253000000,8131000000,9047000000,10485000000,12893000000,16333000000,18464000000,17946000000,22912000000
8,"Selling, General and Administrative Exp.",14742000,- -,89784000,406388000,664746000,975795000,1601305000,2740516000,3748883000,3651235000,4761000000,7813000000,9988000000,12049000000,13982000000,15183000000,17470000000,19765000000,24459000000,28015000000,28998000000,36422000000
9,Other Expenses,2506000,- -,- -,- -,201000000,90000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,27764000,16500000,121532000,497616000,1091378000,1549773000,2829894000,4860501000,6542075000,6494262000,8523000000,12975000000,16781000000,20001000000,23814000000,27465000000,31418000000,36390000000,45878000000,54033000000,56571000000,67984000000
11,COGS and Expenses,33845000,30728000,253042000,1123470000,2549031000,4121282000,7054921000,11509586000,15163581000,15338377000,18940000000,26163000000,37415000000,45859000000,49505000000,55629000000,66556000000,84677000000,109295000000,127626000000,141303000000,178923000000
