,https://roic.ai/company/BYDDF,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,2305160000,4114367000,6451608000,6555696000,13114232000,21211213000,27727209000,41113912000,48448416000,48826919000,46904292000,52863284000,58195878000,80008968000,103469997000,105914702000,130054707000,127738523000,156597691000,216142395000
2,COGS,1334450000,2743324000,4720863000,5043785000,10200734000,16963526000,22032299000,31479762000,39173976000,40438789000,41426814000,44745555000,49143886000,66513559000,82400900000,85775482000,108725343000,106924288000,126251380000,187997689000
3,Gross Profit,970710000,1371043000,1730745000,1511911000,2913498000,4247687000,5694910000,9634150000,9274440000,8388130000,5477478000,8117729000,9051992000,13495409000,21069097000,20139220000,21329364000,20814235000,30346311000,28144706000
4,Gross Profit Ratio,0.4211,0.3332,0.2683,0.2306,0.2222,0.2003,0.2054,0.2343,0.1914,0.1718,0.1168,0.1536,0.1555,0.1687,0.2036,0.1901,0.1640,0.1629,0.1938,0.1302
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,1163091000,1283316000,1403459000,1373861000,1150419000,1278910000,1864695000,1998499000,3171694000,3739491000,4989360000,5629372000,7464861000,7990974000
6,General and Administrative Exp.,147060000,349367000,544440000,717886000,957347000,1656995000,266441000,219770000,298747000,302156000,293768000,245196000,286741000,312432000,338945000,342420000,431835000,461913000,416592000,5705002651
7,Selling and Marketing Exp.,53840000,102392000,160341000,170089000,480178000,648187000,934231000,1487735000,2175881000,1799757000,1511797000,2011845000,2228758000,2867992000,4196339000,4925288000,4729481000,4345897000,5055613000,6081678000
8,"Selling, General and Administrative Exp.",200900000,451759000,704781000,887975000,1437525000,2305182000,1200672000,1707505000,2474628000,2101913000,1805565000,2257041000,2515499000,3180424000,4535284000,5267708000,5161316000,4807810000,5472205000,11786680651
9,Other Expenses,2070000,9636000,16116000,30693000,159319000,-175594000,1497881000,1944472000,2263783000,2749213000,2850027000,2994155000,3236270000,4371455000,4843713000,2785114000,3145747000,3516002000,4364089000,769872349
