,https://roic.ai/company/CPRI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,508099000,803339000,1302254000,2181732000,3310800000,4371469000,4712100000,4493700000,4718600000,5238000000,5551000000,4060000000
2,COGS,241365000,357274000,549158000,875166000,1294800000,1723818000,1914900000,1832300000,1859300000,2058000000,2280000000,1463000000
3,Gross Profit,266734000,446065000,753096000,1306566000,2016000000,2647651000,2797200000,2661400000,2859300000,3180000000,3271000000,2597000000
4,Gross Profit Ratio,0.5250,0.5553,0.5783,0.5989,0.6089,0.6057,0.5936,0.5923,0.6060,0.6071,0.5893,0.6397
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,926900000,1251431000,1428000000,1552500000,1766800000,2075000000,2464000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,926900000,1251431000,1428000000,1552500000,1766800000,2075000000,2464000000,- -
9,Other Expenses,210560000,305365000,502122000,675827000,81000000,139117000,194100000,419000000,208600000,370000000,999000000,2230000000
10,Operating Expenses,210560000,305365000,502122000,675827000,1007900000,1390548000,1622100000,1971500000,1975400000,2445000000,3463000000,2230000000
11,COGS and Expenses,451925000,662639000,1051280000,1550993000,2302700000,3114366000,3537000000,3803800000,3834700000,4503000000,5743000000,3693000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,1524000,393000,-2785000,-6500000,-6700000,22300000,-17000000,-29000000,43000000
14,Depreciation and Amortization,18843000,25543000,37554000,54291000,79654000,138425000,183200000,219800000,208600000,225000000,249000000,212000000
15,EBITDA,73790000,158762000,286370000,682942000,1087709000,1391463000,1350400000,902700000,972500000,830000000,7000000,259000000
16,EBITDA ratio,0.1452,0.1976,0.2199,0.3130,0.3285,0.3183,0.2866,0.2009,0.2061,0.1585,0.0013,0.0638
