,https://roic.ai/company/SGA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,31000000,34600000,44400000,49700000,56200000,66300000,75900000,90000000,101746000,103956000,114782000,121297000,134644000,140790000,142946000,144023000,139956000,120798000,127817000,127295000,130259000,129478000,133998000,132856000,142591000,118149000,124829000,123072000,95813000,- -
2,COGS,6700000,7500000,9400000,25400000,36700000,15200000,16900000,20300000,22211000,24459000,26732000,29069000,94914000,104411000,104396000,106302000,105805000,94647000,92754000,93362000,90288000,92977000,98424000,97268000,101542000,87759000,93727000,92692000,81586000,- -
3,Gross Profit,24300000,27100000,35000000,24300000,19500000,51100000,59000000,69700000,79535000,79497000,88050000,92228000,39730000,36379000,38550000,37721000,34151000,26151000,35063000,33933000,39971000,36501000,35574000,35588000,41049000,30390000,31102000,30380000,14227000,25098000
4,Gross Profit Ratio,0.7839,0.7832,0.7883,0.4889,0.3470,0.7707,0.7773,0.7744,0.7817,0.7647,0.7671,0.7603,0.2951,0.2584,0.2697,0.2619,0.2440,0.2165,0.2743,0.2666,0.3069,0.2819,0.2655,0.2679,0.2879,0.2572,0.2492,0.2468,0.1485,Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9979000,7944000,7274000,- -,7960000,8172000,8901000,10091000,10980000,11657000,11359000,11460000,11574000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15000000,17900000,22100000,9900000,3300000,32600000,36200000,41400000,44918000,47602000,52640000,56661000,8343000,8174000,8870000,9800000,9979000,7944000,7274000,7590000,7960000,8172000,8901000,10091000,10980000,11657000,11359000,11460000,11574000,- -
9,Other Expenses,4500000,4800000,5800000,6600000,5500000,5900000,6400000,8000000,9478000,10110000,6533000,7002000,- -,1168000,-312000,- -,-506000,-495000,- -,- -,- -,- -,-1210000,541000,-1393000,55000,61000,112000,-1247000,- -
10,Operating Expenses,19500000,22700000,27900000,16500000,8800000,38500000,42600000,49400000,54396000,57712000,59173000,63663000,8343000,9342000,8558000,9800000,9473000,7449000,7274000,7590000,7960000,8172000,7691000,10632000,9587000,11712000,11420000,11572000,10327000,- -
11,COGS and Expenses,26200000,30200000,37300000,41900000,45500000,53700000,59500000,69700000,76607000,82171000,85905000,92732000,103257000,113753000,112954000,116102000,115278000,102096000,100028000,100952000,98248000,101149000,106115000,107900000,111129000,99471000,105147000,104264000,91913000,93292000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,631000,610000,148000,-16
13,Interest Expense (Gain),4500000,2700000,2900000,3300000,3900000,- -,4600000,- -,6793000,7037000,5487000,4779000,4522000,7586000,9379000,8954000,7173000,4948000,5622000,3420000,1733000,1305000,1064000,888000,776000,903000,946000,735000,340000,- -
14,Depreciation and Amortization,4500000,4800000,5800000,6600000,5500000,5900000,6400000,8000000,9478000,10110000,6899000,8446000,8006000,10033000,9045000,9070000,9634000,9335000,8450000,8207000,7472000,7405000,7339000,7461000,7891000,6251000,6786000,6945000,6524000,5749
15,EBITDA,9100000,9200000,12900000,14700000,16300000,13800000,22300000,22100000,32513000,31912000,35617000,35880000,39361000,34402000,39537000,36718000,-82207000,10541000,39608000,32688000,39069000,33975000,33357000,31403000,39353000,55951000,27122000,26379000,5656000,15701000
16,EBITDA ratio,0.2935,0.2659,0.2905,0.2958,0.2900,0.2081,0.2938,0.2456,0.3196,0.3070,0.3103,0.2958,0.2923,0.2443,0.2766,0.2549,-0.5874,0.0873,0.3099,0.2568,0.2999,0.2624,0.2489,0.2364,0.2760,0.4736,0.2173,0.2143,0.0590,Infinity
17,Operating Income,4800000,4400000,7100000,7800000,10700000,12600000,16400000,20300000,25139000,21785000,28877000,28565000,31387000,27037000,29992000,27921000,-91765000,1416000,27789000,26343000,32011000,26296000,25947000,24082000,31462000,17229000,19682000,18808000,-1249000,15051000
18,Operating Income ratio,0.1548,0.1272,0.1599,0.1569,0.1904,0.1900,0.2161,0.2256,0.2471,0.2096,0.2516,0.2355,0.2331,0.1920,0.2098,0.1939,-0.6557,0.0117,0.2174,0.2069,0.2457,0.2031,0.1936,0.1813,0.2206,0.1458,0.1577,0.1528,-0.0130,Infinity
19,Total Other Income Expenses (Gains),-4500000,-2700000,-2900000,-3000000,-3800000,-4700000,-5100000,-6200000,-8897000,-7020000,-5646000,-5910000,-4554000,-10254000,-8879000,-9227000,-7249000,-5158000,-2253000,-5282000,-2012000,-1254000,-993000,-1028000,-776000,-903000,-292000,-109000,41000,366000
20,Income Before Tax,300000,1700000,4200000,4800000,6900000,7900000,11300000,14100000,16242000,14765000,23231000,22655000,26833000,16783000,21113000,18694000,-99014000,-3742000,25536000,21061000,29999000,25042000,24954000,23054000,30686000,16326000,19390000,18699000,-1208000,15417000
21,Income Before Tax Ratio,0.0097,0.0491,0.0946,0.0966,0.1228,0.1192,0.1489,0.1567,0.1596,0.1420,0.2024,0.1868,0.1993,0.1192,0.1477,0.1298,-0.7075,-0.0310,0.1998,0.1655,0.2303,0.1934,0.1862,0.1735,0.2152,0.1382,0.1553,0.1519,-0.0126,Infinity
22,Income Tax expense (Gain),800000,900000,1900000,2100000,3000000,3400000,4900000,5500000,7592000,6200000,9276000,8771000,10991000,6217000,8665000,7690000,-32522000,-1161000,10400000,8430000,11939000,9992000,10050000,9640000,12500000,-5920000,5700000,5420000,705000,- -
23,Net Income,-700000,800000,2300000,2700000,3900000,4500000,6400000,8600000,8650000,8565000,13955000,13884000,15842000,10566000,12448000,11004000,-66492000,-2581000,15136000,12631000,17925000,15273000,14904000,13414000,18186000,54717000,13690000,13279000,-1913000,- -
24,Net Income ratio,-0.0226,0.0231,0.0518,0.0543,0.0694,0.0679,0.0843,0.0956,0.0850,0.0824,0.1216,0.1145,0.1177,0.0750,0.0871,0.0764,-0.4751,-0.0214,0.1184,0.0992,0.1376,0.1180,0.1112,0.1010,0.1275,0.4631,0.1097,0.1079,-0.0200,- -
25,EPS,-0.38,0.12,0.34,0.43,0.58,0.68,0.96,1.25,1.27,1.25,2.04,2.01,2.28,1.56,1.83,1.65,-42.15,-0.46,2.69,2.24,2.38,2.66,2.57,2.31,3.10,9.27,2.30,2.23,-0.32,1.85
