,https://roic.ai/company/ALLR,2019,2020
0,INCOME STATEMENT, , 
1,Revenue,120000,- -
2,COGS,- -,- -
3,Gross Profit,- -,- -
4,Gross Profit Ratio,- -,- -
5,Research and Development Exp.,6367000,5126000
6,General and Administrative Exp.,3870000,4101000
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",3870000,4101000
9,Other Expenses,- -,- -
10,Operating Expenses,10237000,9227000
11,COGS and Expenses,10237000,9227000
12,Interest Income ,7000,- -
13,Interest Expense (Gain),3312000,227000
14,Depreciation and Amortization,51000,46000
15,EBITDA,-15527000,-9862000
16,EBITDA ratio,-129.3917,-Infinity
17,Operating Income,-17611000,-9227000
18,Operating Income ratio,-146.7583,-Infinity
19,Total Other Income Expenses (Gains),-1366000,1993000
20,Income Before Tax,-18977000,-7234000
21,Income Before Tax Ratio,-158.1417,-Infinity
22,Income Tax expense (Gain),-4577000,-2161000
23,Net Income,-14313000,-5058000
24,Net Income ratio,-119.2750,-Infinity
25,EPS,-1.77,-0.63
26,EPS Diluted,-1.77,-0.63
27,Weighted Average Shares Outstanding,8075824,8075824
28,Weighted Average Shares Outstanding Diluted,8075824,8075824
29,SEC Link,- -,- -
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,1524000,298000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,1524000,298000
34,Net Receivables,1658000,1124000
35,Inventory,- -,- -
36,Other Current Assets,161000,293000
37,Total Current Assets,3343000,1715000
38,PP&E,437000,352000
39,Goodwill,- -,- -
40,Intangible Assets,27690000,30491000
41,Intangible Assets,27690000,30491000
42,Investments,137000,845000
43,Tax Assets,- -,- -
44,Other Non-Current Assets,- -,- -
45,Total Non-Current Assets,28264000,31688000
46,Other Assets,- -,- -
47,Total Assets,31607000,33403000
48,Accounts Payable,2178000,2116000
49,Short-Term Debt,622000,1520000
50,Tax Payable,43000,57000
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,1919000,1897000
53,Total Current Liabilities,4719000,5533000
54,Long-Term Debt,341000,267000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,1851000,603000
57,Other Non-Current Liabilities,3793000,149000
58,Total Non-Current Liabilities,5985000,1019000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,427000,376000
61,Total Liabilities,10704000,6552000
62,Preferred Stock,- -,- -
63,Common Stock,924000,1624000
64,Retained Earnings,-32374000,-37432000
65,Other Comprehensive Income/Loss,-1086000,1375000
66,Other Total Stockholders Equity,- -,- -
67,Total Stockholders Equity,18087000,26851000
68,Total Liabilities And Stockholders Equity,28791000,33403000
69,Minority Interest,2816000,- -
70,Total Liabilities & Equity,31607000,33403000
71,SEC Link,- -,- -
72,CASH FLOW STATEMENT, , 
73,Net Income,-14313000,-5058000
74,Depreciation and Amortization,51000,46000
75,Deferred Income Tax,-3760000,-1286000
76,Stock Based Compensation,333000,616000
77,Change in Working Capital,2061000,445000
78,Accounts Receivable,-95000,95000
79,Inventory,- -,- -
80,Accounts Payable,237000,-62000
81,Other Working Capital,-47000,- -
82,Other Non-Cash Items,5515000,-2014000
83,Cash Provided by Operating Activities,-10113000,-7251000
84,CAPEX,-8000,-3000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,237000,- -
89,Cash Used for Investing Activites,229000,-3000
90,Debt Repayment,-5109000,-533000
91,Common Stock Issued,13557000,3703000
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,2754000,2863000
95,Cash Used/Provided by Financing Activities,11202000,6033000
96,Effect of Forex Changes on Cash,-31000,-5000
97,Net Change In Cash,1287000,-1226000
98,Cash at the End of Period,1524000,298000
99,Cash at the Beginning of Period,237000,1524000
100,Free Cash Flow,-10121000,-7254000
101,SEC Link,- -,- -
102,false,,
