,https://roic.ai/company/PERI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1001000,4062000,5160000,6208000,7402000,10851000,18675000,21906000,27195000,29497000,35473000,60223000,87148000,388731000,220950000,312794000,273986000,252845000,261450000,328063000,478498000
2,COGS,- -,75000,176000,362000,473000,570000,858000,1740000,1795000,1579000,1606000,2840000,5230000,11440000,202392000,107412000,156725000,155544000,152108000,161411000,220103000,313215000
3,Gross Profit,- -,926000,3886000,4798000,5735000,6832000,9993000,16935000,20111000,25616000,27891000,32633000,54993000,75708000,186339000,113538000,156069000,118442000,100737000,100039000,107960000,165283000
4,Gross Profit Ratio,- -,0.9251,0.9567,0.9298,0.9238,0.9230,0.9209,0.9068,0.9181,0.9419,0.9456,0.9199,0.9132,0.8687,0.4794,0.5139,0.4990,0.4323,0.3984,0.3826,0.3291,0.3454
5,Research and Development Exp.,- -,1330000,1161000,1319000,1321000,2040000,3251000,6125000,7589000,5972000,6607000,7453000,10735000,13393000,44129000,26377000,26528000,17189000,18884000,22585000,30880000,35348000
6,General and Administrative Exp.,- -,- -,- -,601000,- -,- -,- -,- -,3806000,3334000,4741000,7649000,8560000,15077000,37605000,31520000,32916000,21911000,16450000,14999000,15819000,20933000
7,Selling and Marketing Exp.,- -,- -,- -,688000,- -,- -,- -,- -,7343000,4824000,5244000,12984000,29517000,43358000,25388000,28270000,58572000,52742000,38918000,34736000,39085000,53209000
8,"Selling, General and Administrative Exp.",- -,501000,- -,1289000,1847000,1847000,4484000,8375000,11149000,8158000,9985000,20633000,38077000,58435000,62993000,59790000,91488000,74653000,55368000,49735000,54904000,74142000
9,Other Expenses,- -,- -,1402000,- -,- -,- -,-5477000,163000,- -,- -,- -,- -,- -,- -,- -,- -,25977000,16591000,9719000,9711000,9923000,9897000
10,Operating Expenses,- -,1831000,2563000,2608000,3168000,3887000,2258000,14663000,18738000,14130000,16592000,28086000,48812000,71828000,107122000,86167000,143993000,108433000,83971000,82031000,95707000,119387000
11,COGS and Expenses,- -,1906000,2739000,2970000,3641000,4457000,3116000,16403000,20533000,15709000,18198000,30926000,54042000,83268000,309514000,193579000,300718000,263977000,236079000,243442000,315810000,432602000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000,306000,45000,551000,204000,132000,296000,624000,287000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373000,363000,1800000,2802000,6609000,4837000,3820000,2334000,1045000,581000
14,Depreciation and Amortization,- -,- -,200000,111000,42000,69000,245000,216000,1050000,715000,739000,1388000,3572000,10719000,21413000,11972000,25977000,16591000,9719000,9711000,9923000,9897000
15,EBITDA,- -,-933000,1511000,2350000,2684000,3000000,3487000,-1153000,5764000,12273000,12360000,7228000,9952000,13729000,75620000,-53186000,32999000,-60152000,24436000,26583000,20583000,55793000
16,EBITDA ratio,- -,-0.9321,0.3720,0.4554,0.4323,0.4053,0.3214,-0.0617,0.2631,0.4513,0.4190,0.2038,0.1653,0.1575,0.1945,-0.2407,0.1055,-0.2195,0.0966,0.1017,0.0627,0.1166
17,Operating Income,- -,-905000,1323000,2190000,2567000,2945000,7735000,2272000,220000,11486000,11299000,4547000,6181000,3880000,55295000,-66021000,11348000,-75658000,14691000,18008000,12253000,45896000
18,Operating Income ratio,- -,-0.9041,0.3257,0.4244,0.4135,0.3979,0.7128,0.1217,0.0100,0.4224,0.3831,0.1282,0.1026,0.0445,0.1422,-0.2988,0.0363,-0.2761,0.0581,0.0689,0.0373,0.0959
19,Total Other Income Expenses (Gains),- -,-28000,-12000,49000,75000,-14000,-4493000,-3641000,4494000,72000,322000,1293000,-174000,-1233000,-2888000,-1939000,-8288000,-5922000,-3794000,-3470000,-2638000,-581000
20,Income Before Tax,- -,-933000,1311000,2239000,2642000,2931000,3242000,-1369000,4714000,11558000,11621000,5840000,6007000,2647000,52407000,-67960000,3060000,-81580000,10897000,14538000,9615000,45315000
21,Income Before Tax Ratio,- -,-0.9321,0.3227,0.4339,0.4256,0.3960,0.2988,-0.0733,0.2152,0.4250,0.3940,0.1646,0.0997,0.0304,0.1348,-0.3076,0.0098,-0.2978,0.0431,0.0556,0.0293,0.0947
22,Income Tax expense (Gain),- -,- -,- -,-114000,-154000,1782000,765000,1393000,289000,3545000,3232000,172000,2473000,2337000,9581000,697000,212000,-8826000,2776000,1645000,-610000,6609000
23,Net Income,- -,-933000,1311000,2353000,2796000,1149000,2477000,-2762000,4425000,8013000,8389000,5668000,3534000,310000,42826000,-68657000,201000,-72754000,8121000,12893000,10225000,38706000
24,Net Income ratio,- -,-0.9321,0.3227,0.4560,0.4504,0.1552,0.2283,-0.1479,0.2020,0.2946,0.2844,0.1598,0.0587,0.0036,0.1102,-0.3107,0.0006,-0.2655,0.0321,0.0493,0.0312,0.0809
25,EPS,-1.26,-0.45,0.63,1.11,1.32,0.51,0.81,-0.87,1.41,2.58,2.61,1.74,1.05,0.09,1.89,-2.88,0.01,-2.82,0.31,0.50,0.38,1.45
26,EPS Diluted,-1.26,-0.45,0.54,0.99,1.17,0.48,0.81,-0.87,1.38,2.52,2.55,1.71,1.02,0.06,1.74,-2.88,0.01,-2.82,0.31,0.49,0.36,1.45
27,Weighted Average Shares Outstanding,2073331,2073331,2080950,2119818,2118180,2252939,3058022,3174709,3142471,3115968,3207390,3265330,3386329,4110329,22737713,23766786,25520125,25849697,25850067,25965357,26687145,26687145
28,Weighted Average Shares Outstanding Diluted,2073331,2073331,2427775,2376765,2389741,2393748,3058022,3174709,3172155,3187570,3277206,3333996,3455663,4334328,23442446,23766786,25557908,25849697,26855225,26357585,28797747,26687145
