,https://roic.ai/company/ELF,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,191413000,229567000,269888000,267435000,- -,282851000,318110000
2,COGS,91084000,97332000,105163000,104694000,- -,101728000,111912000
3,Gross Profit,100329000,132235000,164725000,162741000,- -,181123000,206198000
4,Gross Profit Ratio,0.5241,0.5760,0.6103,0.6085,- -,0.6403,0.6482
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,74758000,109156000,131446000,136579000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",74758000,109156000,131446000,136579000,- -,157155000,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,194157000
10,Operating Expenses,74758000,109156000,131446000,136579000,- -,157155000,194157000
11,COGS and Expenses,165842000,206488000,236609000,241273000,- -,258883000,306069000
12,Interest Income ,- -,- -,- -,- -,- -,863000,5000
13,Interest Expense (Gain),12721000,12266000,7965000,7024000,- -,6424000,3248000
14,Depreciation and Amortization,10289000,13152000,14521000,17861000,- -,22843000,25179000
15,EBITDA,31688000,35230000,44955000,42841000,- -,53336000,32117000
16,EBITDA ratio,0.1655,0.1535,0.1666,0.1602,- -,0.1886,0.1010
17,Operating Income,25571000,23079000,33279000,26162000,- -,29950000,9400000
18,Operating Income ratio,0.1336,0.1005,0.1233,0.0978,- -,0.1059,0.0295
19,Total Other Income Expenses (Gains),-16893000,-13267000,-10810000,-8206000,- -,-5881000,-5710000
20,Income Before Tax,8678000,9812000,22469000,17956000,- -,24069000,3690000
21,Income Before Tax Ratio,0.0453,0.0427,0.0833,0.0671,- -,0.0851,0.0116
22,Income Tax expense (Gain),4321000,4499000,-11006000,2431000,- -,6185000,-2542000
23,Net Income,4357000,5313000,33475000,15525000,- -,17884000,6232000
24,Net Income ratio,0.0228,0.0231,0.1240,0.0581,- -,0.0632,0.0196
25,EPS,0.11,-39.47,0.74,0.33,- -,0.37,0.13
26,EPS Diluted,0.10,-39.47,0.68,0.32,- -,0.35,0.12
27,Weighted Average Shares Outstanding,41301898,12606529,45358452,46828798,- -,48498813,49377410
28,Weighted Average Shares Outstanding Diluted,42972032,12606529,49374758,49268616,- -,50817143,51994145
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1600033/000156459017004450/0001564590-17-004450-index.htm,https://www.sec.gov/Archives/edgar/data/1600033/000160003318000014/0001600033-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1600033/000160003319000011/0001600033-19-000011-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1600033/000160003321000030/0001600033-21-000030-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,14004000,15295000,10059000,51205000,- -,46167000,57768000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14004000,15295000,10059000,51205000,- -,46167000,57768000
34,Net Receivables,22475000,37825000,44634000,36724000,- -,29721000,40185000
35,Inventory,31261000,69397000,62679000,46341000,- -,46209000,56810000
36,Other Current Assets,2978000,2387000,6272000,7473000,- -,10263000,15381000
37,Total Current Assets,70718000,124904000,123644000,141743000,- -,132360000,170144000
38,PP&E,9854000,17151000,18037000,21804000,- -,17171000,13770000
39,Goodwill,157264000,157264000,157264000,157264000,- -,171321000,171620000
40,Intangible Assets,121282000,113003000,105882000,98773000,- -,102410000,94286000
41,Intangible Assets,278546000,270267000,263146000,256037000,- -,273731000,265906000
42,Investments,- -,- -,2875000,2875000,- -,2875000,2875000
43,Tax Assets,262000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1692000,2407000,9542000,13397000,- -,26967000,34698000
45,Total Non-Current Assets,290354000,289825000,293600000,294113000,- -,320744000,317249000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,361072000,414729000,417244000,435856000,- -,453104000,487393000
48,Accounts Payable,24827000,37944000,26776000,20483000,- -,12390000,15699000
49,Short-Term Debt,10325000,8650000,8646000,9861000,- -,15651000,20573000
50,Tax Payable,- -,3705000,625000,71000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10702000,33676000,15939000,12671000,- -,23082000,37059000
53,Total Current Liabilities,45854000,80270000,51361000,43015000,- -,51123000,73331000
54,Long-Term Debt,134594000,156177000,147702000,140523000,- -,137327000,110255000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,42126000,34212000,21341000,20217000,- -,21892000,13479000
57,Other Non-Current Liabilities,1601000,3208000,2977000,2770000,- -,591000,20682000
58,Total Non-Current Liabilities,178321000,193597000,172020000,163510000,- -,159810000,144416000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,14322000,24376000
61,Total Liabilities,224175000,273867000,223381000,206525000,- -,210933000,217747000
62,Preferred Stock,197295000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,438000,463000,478000,- -,489000,504000
64,Retained Earnings,-67183000,-560447000,-526972000,-511501000,- -,-511531000,-505299000
65,Other Comprehensive Income/Loss,-2120000,-6117000,-11092000,-17260000,- -,- -,- -
66,Other Total Stockholders Equity,206200000,706988000,731464000,757614000,- -,- -,774441000
67,Total Stockholders Equity,136897000,140862000,193863000,229331000,- -,242171000,269646000
68,Total Liabilities And Stockholders Equity,361072000,414729000,417244000,435856000,- -,453104000,487393000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,361072000,414729000,417244000,435856000,- -,453104000,487393000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1600033/000156459017004450/0001564590-17-004450-index.htm,https://www.sec.gov/Archives/edgar/data/1600033/000160003318000014/0001600033-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1600033/000160003319000011/0001600033-19-000011-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1600033/000160003321000030/0001600033-21-000030-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,4357000,5313000,33475000,15525000,- -,17884000,6232000
74,Depreciation and Amortization,10289000,13152000,14521000,17861000,- -,22843000,25179000
75,Deferred Income Tax,-3933000,-7575000,-13434000,-939000,- -,2443000,-8584000
76,Stock Based Compensation,503000,7149000,13474000,16821000,- -,15488000,19682000
77,Change in Working Capital,-3022000,19770000,27649000,26445000,- -,-9983000,15576000
78,Accounts Receivable,4448000,-15392000,-8001000,7649000,- -,2504000,-10529000
79,Inventory,-2147000,-37994000,6718000,16338000,- -,-435000,-10937000
80,Accounts Payable,3532000,43144000,- -,- -,- -,- -,- -
81,Other Working Capital,24864000,44634000,72283000,98728000,- -,- -,96813000
82,Other Non-Cash Items,16325000,-35689000,-63307000,-20131000,- -,-4362000,-28610000
83,Cash Provided by Operating Activities,24519000,2120000,12378000,55582000,- -,44313000,29475000
84,CAPEX,-10242000,-9223000,-7544000,-8872000,- -,-9422000,-6474000
85,Acquisitions Net,- -,- -,- -,- -,- -,-25923000,- -
86,Purchases of Investments,- -,- -,-2875000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,84000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-10242000,-9139000,-10419000,-8872000,- -,-35345000,-6474000
90,Debt Repayment,-31725000,-164740000,-34150000,-10250000,- -,-9488000,-31756000
91,Common Stock Issued,25000,64071000,1978000,3176000,- -,1488000,1503000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-7904000,- -
93,Dividends Paid,- -,-68000000,- -,- -,- -,- -,- -
94,Other Financing Activites,26759000,176979000,24977000,1510000,- -,-771000,18853000
95,Cash Used/Provided by Financing Activities,-4941000,8310000,-7195000,-5564000,- -,-16675000,-11400000
