,https://roic.ai/company/ABCM,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,3504000,6725000,12135000,19362000,24519000,36598000,56801000,71106000,83272000,97839000,122206000,127954000,144033000,171673000,217098000,233200000,259900000,260000000,297700000
2,COGS,1429000,2511000,4678000,7485000,10020000,14389000,19420000,23689000,27239000,30282000,35500000,37569000,42507000,51142000,64998000,70200000,76700000,79800000,85900000
3,Gross Profit,2075000,4214000,7457000,11877000,14499000,22209000,37381000,47417000,56033000,67557000,86706000,90385000,101526000,120531000,152100000,163000000,183200000,180200000,211800000
4,Gross Profit Ratio,0.5922,0.6266,0.6145,0.6134,0.5913,0.6068,0.6581,0.6668,0.6729,0.6905,0.7095,0.7064,0.7049,0.7021,0.7006,0.6990,0.7049,0.6931,0.7115
5,Research and Development Exp.,210000,404000,740000,1226000,1709000,2398000,3076000,3071000,3231000,4214000,7946000,10054000,9919000,12821000,18565000,16000000,10700000,38300000,18600000
6,General and Administrative Exp.,- -,- -,3972000,5580000,6841000,771000,14127000,15304000,18118000,27738000,35912000,37018000,45880000,61392000,78399000,78200000,88900000,131400000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34701000,36340000,45880000,57437000,73963000,78200000,88900000,131400000,147400000
8,"Selling, General and Administrative Exp.",- -,- -,3972000,5580000,6841000,771000,14127000,15304000,18118000,27738000,70613000,73358000,91760000,118829000,152362000,156400000,177800000,262800000,147400000
9,Other Expenses,1288000,2371000,-185000,559000,1194000,10641000,2790000,3654000,3724000,1370000,-34701000,-36340000,-45880000,-57437000,-73963000,-78200000,-82300000,-131400000,9300000
10,Operating Expenses,1498000,2775000,4527000,7365000,9744000,13810000,19993000,22029000,25073000,33322000,43858000,47072000,55799000,74213000,96964000,94200000,106200000,169700000,175300000
11,COGS and Expenses,2927000,5286000,9205000,14850000,19764000,28199000,39413000,45718000,52312000,63604000,79358000,84641000,98306000,125355000,161962000,164400000,182900000,249500000,261200000
12,Interest Income ,5000,11000,59000,313000,- -,- -,431000,184000,398000,500000,129000,238000,372000,146000,162000,300000,600000,700000,400000
13,Interest Expense (Gain),19000,- -,- -,- -,- -,- -,- -,- -,- -,73000,- -,- -,- -,2000,25000,- -,300000,1500000,3200000
14,Depreciation and Amortization,75000,156000,153000,355000,795000,1401000,1678000,1532000,1590000,2718000,5828000,6713000,8038000,11355000,15326000,12900000,15400000,29900000,35400000
15,EBITDA,657000,1606000,3130000,5183000,6328000,9353000,17981000,27363000,33701000,37453000,48722000,50264000,54137000,56769000,67225000,82000000,72100000,39800000,64000000
16,EBITDA ratio,0.1875,0.2388,0.2579,0.2677,0.2581,0.2556,0.3166,0.3848,0.4047,0.3828,0.3987,0.3928,0.3759,0.3307,0.3097,0.3516,0.2774,0.1531,0.2150
17,Operating Income,- -,1439000,2918000,4515000,5038000,7371000,15872000,25647000,31713000,34235000,42848000,43313000,45727000,46318000,55136000,68800000,56100000,10500000,25800000
18,Operating Income ratio,- -,0.2140,0.2405,0.2332,0.2055,0.2014,0.2794,0.3607,0.3808,0.3499,0.3506,0.3385,0.3175,0.2698,0.2540,0.2950,0.2159,0.0404,0.0867
19,Total Other Income Expenses (Gains),-14000,11000,59000,313000,495000,581000,431000,184000,398000,427000,46000,238000,372000,-906000,-3262000,300000,300000,-2100000,-400000
20,Income Before Tax,563000,1450000,2977000,4828000,5533000,7952000,16303000,25831000,32111000,34662000,42894000,43551000,46099000,45412000,51874000,69100000,56400000,8400000,25400000
21,Income Before Tax Ratio,0.1607,0.2156,0.2453,0.2494,0.2257,0.2173,0.2870,0.3633,0.3856,0.3543,0.3510,0.3404,0.3201,0.2645,0.2389,0.2963,0.2170,0.0323,0.0853
22,Income Tax expense (Gain),46000,441000,696000,1403000,1472000,2062000,4012000,6609000,8306000,9256000,10236000,9506000,8715000,7983000,9517000,6900000,11400000,-4100000,9200000
23,Net Income,517000,1009000,2281000,3425000,4061000,5890000,12291000,19222000,23805000,25406000,32658000,34045000,37384000,37429000,42357000,62200000,45000000,12500000,16200000
24,Net Income ratio,0.1475,0.1500,0.1880,0.1769,0.1656,0.1609,0.2164,0.2703,0.2859,0.2597,0.2672,0.2661,0.2596,0.2180,0.1951,0.2667,0.1731,0.0481,0.0544
25,EPS,0.00,0.01,0.02,0.02,0.02,0.03,0.07,0.11,0.13,0.14,0.17,0.17,0.19,0.19,0.21,0.30,0.22,0.06,0.08
26,EPS Diluted,0.00,0.01,0.02,0.02,0.02,0.03,0.07,0.11,0.13,0.13,0.16,0.17,0.19,0.19,0.21,0.30,0.22,0.06,0.08
27,Weighted Average Shares Outstanding,172140000,172140000,132694445,159574225,172864050,174512690,176439715,178570000,179865322,185131455,197743410,198858251,199978991,201147931,202655252,204200000,204900000,207600000,207600000
28,Weighted Average Shares Outstanding Diluted,172140000,172140000,134664385,165252150,177582420,177870760,179836640,182880000,183406778,188514523,199919941,200018181,201277468,202002867,204223853,205800000,206700000,209600000,209600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,166000,1124000,1510000,884000,10709000,13473000,25501000,40222000,55569000,14037000,35388000,55278000,57059000,68919000,84752000,90200000,87100000,187300000,- -
32,Short-Term Investments,- -,- -,1000000,11000000,168000,1020000,1338000,23037000,23637000,3443000,3626000,1207000,678000,2545000,985000,- -,- -,- -,- -
33,Cash and Short-Term Investments,166000,1124000,2510000,11884000,10877000,14493000,26839000,63259000,79206000,17480000,39014000,56485000,57737000,71464000,85737000,90200000,87100000,187300000,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16053000,14527000,17345000,25849000,32208000,36500000,43400000,46100000,- -
35,Inventory,186000,557000,1187000,2358000,3102000,4506000,6796000,9073000,10695000,15414000,15330000,14753000,19803000,19675000,21761000,29600000,36000000,40700000,- -
36,Other Current Assets,512000,1001000,912000,2762000,4327000,4860000,6486000,-13819000,-13544000,15848000,1918000,5164000,5637000,2666000,3757000,3600000,5300000,4700000,- -
37,Total Current Assets,864000,2682000,4609000,17004000,18306000,23859000,40121000,58513000,76357000,48742000,72315000,90929000,100522000,119654000,143463000,159900000,171800000,278800000,- -
38,PP&E,250000,175000,835000,1094000,2832000,4204000,3541000,2895000,2481000,5763000,7501000,8502000,12451000,17623000,22321000,25100000,37100000,164700000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,2062000,82356000,81954000,73549000,86998000,112462000,115511000,114200000,120900000,192800000,- -
40,Intangible Assets,- -,- -,- -,77000,1691000,994000,793000,559000,2097000,34297000,33107000,30176000,44815000,70208000,73588000,106300000,106700000,154400000,- -
41,Intangible Assets,- -,- -,- -,77000,1691000,994000,793000,559000,4159000,116653000,115061000,103725000,131813000,182670000,189099000,220500000,227600000,347200000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1636000,- -,- -,900000,800000,7000000,- -
43,Tax Assets,166000,1124000,1510000,884000,10709000,13473000,335000,1417000,3509000,4401000,5011000,2258000,3300000,9615000,6620000,8400000,9400000,13700000,- -
44,Other Non-Current Assets,-166000,-1124000,-1510000,-884000,-10709000,-13473000,326000,127000,21000,204000,29000,180000,224000,- -,193000,- -,- -,- -,- -
45,Total Non-Current Assets,250000,175000,835000,1171000,4523000,5198000,4995000,4998000,10170000,127021000,127602000,115665000,149424000,209908000,218233000,254900000,274900000,532600000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1114000,2857000,5444000,18175000,22829000,29057000,45116000,63511000,86527000,175763000,199917000,206594000,249946000,329562000,361696000,414800000,446700000,811400000,- -
48,Accounts Payable,192000,386000,835000,1160000,2584000,1992000,1703000,2555000,3534000,4148000,4812000,3737000,4669000,4241000,6872000,7000000,7000000,9400000,- -
