,https://roic.ai/company/GES,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,486700000,551200000,515400000,471900000,599700000,779217000,677620000,583139000,636585000,729262000,936092000,1185184000,136000000,1749900000,2093390000,2128500000,2487300000,2688000000,2658600000,2569800000,2417673000,2184495000,2190453000,2363754000,2609694000,2678109000,1876529000,2591631
2,COGS,246500000,281600000,270600000,248600000,304800000,461412000,447825000,383806000,416430000,455278000,555223000,665805000,80200000,957100000,1170762000,1187000000,1397100000,1523800000,1591500000,1593700000,1549788000,1397065000,1445413000,1534906000,1670090000,1662401000,1179427000,1422126
3,Gross Profit,240200000,269600000,244800000,223300000,294900000,317805000,229795000,199333000,220155000,273984000,380869000,519379000,55800000,792800000,922628000,941500000,1090200000,1164200000,1067100000,976100000,867885000,787430000,745040000,828848000,939604000,1015708000,697102000,1169505
4,Gross Profit Ratio,0.4935,0.4891,0.4750,0.4732,0.4917,0.4079,0.3391,0.3418,0.3458,0.3757,0.4069,0.4382,0.4103,0.4531,0.4407,0.4423,0.4383,0.4331,0.4014,0.3798,0.3590,0.3605,0.3401,0.3506,0.3600,0.3793,0.3715,0.4513
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,150900000,156300000,142800000,171000000,233186000,200464000,- -,- -,218502000,279059000,326356000,43300000,483100000,569398000,578000000,674500000,738500000,792600000,741100000,741973000,666130000,680504000,741641000,835293000,860863000,- -,2652000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",141700000,150900000,156300000,142800000,171000000,233186000,200464000,202930000,197130000,218502000,279059000,326356000,43300000,483630000,569398000,577963000,680311000,747587000,792598000,741105000,741973000,666080000,681864000,743823000,835293000,865060000,679958000,861578000
9,Other Expenses,15700000,17000000,17800000,23500000,26900000,34192000,5502000,-4250000,- -,- -,- -,- -,- -,70000,- -,4737000,5289000,19413000,2000,12395000,- -,-0,38413000,17670000,52099000,9977000,- -,- -
