,https://roic.ai/company/ATHM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,252934000,433189000,732520000,1216548000,2132949000,3463975000,5961621000,6210181000,7233151000,8420751000,8658559000,7237004000
2,COGS,83897000,130565000,178240000,252236000,381498000,669121000,2393165000,1358685000,820288000,960292000,961170000,1047892000
3,Gross Profit,169037000,302624000,554280000,964312000,1751451000,2794854000,3568456000,4851496000,6412863000,7460459000,7697389000,6189112000
4,Gross Profit Ratio,0.6683,0.6986,0.7567,0.7927,0.8211,0.8068,0.5986,0.7812,0.8866,0.8860,0.8890,0.8552
5,Research and Development Exp.,6205000,16459000,42865000,81651000,158395000,273908000,571354000,878773000,1135247000,1291054000,1364227000,1398037000
6,General and Administrative Exp.,17951000,46547000,83153000,82529000,129751000,193655000,306794000,281951000,314846000,317967000,381843000,543799000
7,Selling and Marketing Exp.,48712000,67500000,129796000,245228000,559070000,1127484000,1536939000,1647519000,2435236000,3093345000,3246507000,2759905000
8,"Selling, General and Administrative Exp.",66663000,114047000,212949000,327757000,688821000,1321139000,1843733000,1929470000,2750082000,3411312000,3628350000,3303704000
9,Other Expenses,-110000,- -,-5403000,- -,- -,- -,- -,- -,-341391000,-477699000,-443215000,-294241000
10,Operating Expenses,72758000,130506000,250411000,409408000,847216000,1595047000,2415087000,2808243000,3543938000,4224667000,4549362000,4407500000
11,COGS and Expenses,156655000,261071000,428651000,661644000,1228714000,2264168000,4808252000,4166928000,4364226000,5184959000,5510532000,5455392000
12,Interest Income ,- -,1167000,- -,11082000,34682000,63218000,88168000,220282000,358811000,469971000,537389000,- -
13,Interest Expense (Gain),- -,- -,- -,414000,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,52553000,35681000,24504000,31798000,41137000,56584000,69804000,88838000,101893000,118603000,170274000,- -
15,EBITDA,156444000,205293000,328373000,600668000,982598000,1332775000,1330347000,2357539000,3350798000,3818930000,3836448000,2594364000
16,EBITDA ratio,0.6185,0.4739,0.4483,0.4937,0.4607,0.3848,0.2232,0.3796,0.4633,0.4535,0.4431,0.3585
17,Operating Income,96169000,172118000,298466000,554904000,904235000,1199807000,1153369000,2043253000,2868925000,3235792000,3148027000,1781612000
18,Operating Income ratio,0.3802,0.3973,0.4075,0.4561,0.4239,0.3464,0.1935,0.3290,0.3966,0.3843,0.3636,0.2462
19,Total Other Income Expenses (Gains),110000,1676000,5403000,13552000,37226000,76384000,95483000,218288000,372496000,465214000,520485000,395546000
20,Income Before Tax,96279000,173794000,303869000,568456000,941461000,1276191000,1248852000,2261541000,3241421000,3701006000,3668512000,2177158000
21,Income Before Tax Ratio,0.3806,0.4012,0.4148,0.4673,0.4414,0.3684,0.2095,0.3642,0.4481,0.4395,0.4237,0.3008
22,Income Tax expense (Gain),15853000,38348000,90988000,112294000,192781000,285542000,32629000,267082000,377890000,500361000,260945000,34006000
23,Net Income,88038000,131264000,212881000,456162000,748680000,990649000,1227914000,2001619000,2871015000,3199966000,3405229000,2560358000
24,Net Income ratio,0.3481,0.3030,0.2906,0.3750,0.3510,0.2860,0.2060,0.3223,0.3969,0.3800,0.3933,0.3538
25,EPS,0.85,1.26,2.05,4.57,7.01,8.83,10.75,17.20,24.40,26.99,28.42,21.37
26,EPS Diluted,0.85,1.26,2.05,4.37,6.64,8.57,10.58,16.95,24.08,26.77,28.42,21.37
27,Weighted Average Shares Outstanding,103963436,103963436,103963436,99898154,106735303,112227405,114237600,116379846,117671971,118582096,119804907,119804907
28,Weighted Average Shares Outstanding Diluted,103963436,103963436,103963436,104329226,112831585,115646826,116036327,118058856,119235379,119515247,119804907,119804907
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527636/000119312515109453/d856243d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312516507591/0001193125-16-507591-index.html,https://www.sec.gov/Archives/edgar/data/1527636/000119312517136708/d280855d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312518116499/d515616d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312519104786/d665503d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312520098105/d850646d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312521065446/0001193125-21-065446-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,213705000,420576000,1138613000,1054416000,2152647000,3293911000,911588000,211970000,1988298000,1751222000,4236501000
32,Short-Term Investments,- -,- -,- -,- -,1717775000,1955315000,2430091000,7242636000,9849488000,10806812000,12878176000,16496267000
33,Cash and Short-Term Investments,- -,213705000,420576000,1138613000,2772191000,4107962000,5724002000,8154224000,10061458000,12795110000,14629398000,20732768000
34,Net Receivables,- -,207797000,327007000,468258000,765208000,1126339000,1277126000,1959631000,2879288000,3323094000,3422591000,2222847000
35,Inventory,- -,- -,- -,- -,- -,111667000,95617000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,30321000,38609000,292394000,103367000,396507000,435015000,144731000,200571000,240178000,312091000,370103000
37,Total Current Assets,- -,451823000,786192000,1899265000,3640766000,5742475000,7531760000,10258586000,13141317000,16358382000,18364080000,23325718000
38,PP&E,- -,27356000,39858000,57897000,74882000,103554000,134574000,130322000,170198000,362828000,619420000,381496000
39,Goodwill,- -,1504278000,1504278000,1504278000,1504278000,1504278000,1504278000,1504278000,1504278000,1504278000,4071391000,- -
40,Intangible Assets,- -,59548000,49345000,45361000,39400000,34155000,29667000,50923000,39404000,27746000,440421000,- -
41,Intangible Assets,- -,1563826000,1553623000,1549639000,1543678000,1538433000,1533945000,1555201000,1543682000,1532024000,4511812000,4428822000
42,Investments,- -,- -,- -,- -,- -,124102000,134466000,147929000,746313000,829528000,70418000,70720000
43,Tax Assets,- -,- -,- -,- -,- -,- -,22435000,174620000,90179000,27782000,79661000,176138000
44,Other Non-Current Assets,- -,- -,- -,6149000,19189000,21512000,34846000,28317000,64512000,45321000,85454000,146112000
45,Total Non-Current Assets,- -,1591182000,1593481000,1613685000,1637749000,1787601000,1860266000,2036389000,2614884000,2797483000,5366765000,5203288000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2043005000,2379673000,3512950000,5278515000,7530076000,9392026000,12294975000,15756201000,19155865000,23730845000,28529006000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,2358000,- -,174943000,31063000,- -,- -,52781000,112094000,- -
50,Tax Payable,- -,14546000,9359000,24700000,97298000,263010000,339534000,232814000,275255000,153259000,170549000,233342000
51,Deferred Revenue,- -,41461000,94392000,215580000,494616000,919159000,1154551000,1526260000,1666128000,1509872000,1465289000,1676383000
52,Other Current Liabilities,- -,162344000,241900000,571880000,586041000,1062432000,1358426000,2363056000,2498641000,2403250000,2608300000,2309836000
53,Total Current Liabilities,- -,203805000,336292000,789818000,1080657000,2156534000,2544040000,3889316000,4164769000,3965903000,4185683000,3986219000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,23067000,90614000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,472950000,468838000,481727000,508377000,489910000,461796000,438251000,455921000,538487000,631509000,576798000
57,Other Non-Current Liabilities,- -,5971000,16568000,29041000,24058000,32596000,34977000,32122000,24068000,22467000,1070484000,1496648000
58,Total Non-Current Liabilities,- -,478921000,485406000,510768000,532435000,522506000,496773000,470373000,479989000,584021000,1792607000,2073446000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,75848000,202708000,- -
61,Total Liabilities,- -,682726000,821698000,1300586000,1613092000,2679040000,3040813000,4359689000,4644758000,4549924000,5978290000,6059665000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6867000,6867000,7149000,7484000,7635000,7784000,7909000,7969000,8029000,8089000,- -
64,Retained Earnings,- -,254240000,422211000,254216000,1002896000,1993545000,3221459000,4627299000,7498314000,10698280000,13465587000,- -
65,Other Comprehensive Income/Loss,- -,- -,583000,1986000,5932000,62753000,125009000,69954000,128375000,148415000,62295000,- -
66,Other Total Stockholders Equity,- -,1099172000,1128314000,1949013000,2649111000,2787103000,3006152000,3246475000,3500620000,3774373000,4089763000,- -
67,Total Stockholders Equity,- -,1360279000,1557975000,2212364000,3665423000,4851036000,6360404000,7951637000,11135278000,14629097000,17625734000,22754419000
68,Total Liabilities And Stockholders Equity,- -,2043005000,2379673000,3512950000,5278515000,7530076000,9401217000,12311326000,15780036000,19179021000,23604024000,28814084000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-9191000,-16351000,-23835000,-23156000,126821000,-285078000
70,Total Liabilities & Equity,- -,2043005000,2379673000,3512950000,5278515000,7530076000,9392026000,12294975000,15756201000,19155865000,23730845000,28529006000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527636/000119312515109453/d856243d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312516507591/0001193125-16-507591-index.html,https://www.sec.gov/Archives/edgar/data/1527636/000119312517136708/d280855d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312518116499/d515616d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312519104786/d665503d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312520098105/d850646d20f.htm,https://www.sec.gov/Archives/edgar/data/1527636/000119312521065446/0001193125-21-065446-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,88038000,131264000,212881000,456162000,748680000,990649000,1227914000,2001619000,2871015000,3199966000,3405229000,- -
74,Depreciation and Amortization,52553000,35681000,24504000,31798000,41137000,56584000,69804000,88838000,101893000,118603000,170274000,- -
75,Deferred Income Tax,-34957000,-3609000,5801000,3327000,5334000,-6475000,-103800000,12279000,102111000,144963000,-22427000,- -
