,https://roic.ai/company/FFHL,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,81365936,349630991,436511848,431606042,447255000,320731000,501458000,537645000,372866000,304950000,284464000,248862000,253926000,290706000,333522000,335620000,336755000
2,COGS,64039768,261654062,334052698,335712256,376923000,296118000,370905000,452173000,375973000,320375000,301617000,248866000,236190000,263606000,278834000,252010000,200056000
3,Gross Profit,17326168,87976930,102459150,95893785,70332000,24613000,130553000,85472000,-3107000,-15425000,-17153000,-4000,17736000,27100000,54688000,83610000,136699000
4,Gross Profit Ratio,0.2129,0.2516,0.2347,0.2222,0.1573,0.0767,0.2603,0.1590,-0.0083,-0.0506,-0.0603,-0.0000,0.0698,0.0932,0.1640,0.2491,0.4059
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,45728000,41159000,70923000,- -,32389000,32130000,28337000,39559000,46211000,46514000,52593000,46794000,59865000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,18212000,16839000,15202000,14404000,13764000,14520000,13363000,13721000,17483000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,45728000,41159000,70923000,- -,50601000,48969000,43539000,53963000,59975000,61034000,65956000,60515000,77348000
9,Other Expenses,4925499,21322114,24507543,34165859,- -,- -,-1000,54736000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4925499,21322114,24507543,34165859,45728000,41159000,70922000,54736000,50601000,48969000,43539000,53963000,59975000,61034000,65956000,60515000,77348000
11,COGS and Expenses,68965268,282976175,358560240,369878116,422651000,337277000,441827000,506909000,426574000,369344000,345156000,302829000,296165000,324640000,344790000,312525000,277404000
12,Interest Income ,182119,871938,46785,562491,688000,154000,544000,2612000,1022000,1024000,1297000,1236000,735000,725000,1225000,1106000,2145000
13,Interest Expense (Gain),1365895,13886420,12873673,12703534,3995000,6540000,8846000,10227000,- -,10094000,12486000,8333000,7865000,9453000,9766000,8892000,8490000
14,Depreciation and Amortization,2698677,24034810,23470475,22375460,25658000,36353000,37185000,44237000,49233000,48685000,48225000,45039000,43717000,43405000,45043000,41985000,42256000
15,EBITDA,17872526,95557946,104704830,84965385,50776000,19866000,97873000,79500000,-12921000,-10199000,-11356000,-8693000,2416000,7663000,36255000,64565000,64241000
16,EBITDA ratio,0.2197,0.2733,0.2399,0.1969,0.1135,0.0619,0.1952,0.1479,-0.0347,-0.0334,-0.0399,-0.0349,0.0095,0.0264,0.1087,0.1924,0.1908
17,Operating Income,12400669,66654816,77951608,61727926,24604000,-16547000,59630000,30736000,-63984000,-64394000,-60692000,-61186000,-42239000,-33934000,-11268000,23095000,21400000
18,Operating Income ratio,0.1524,0.1906,0.1786,0.1430,0.0550,-0.0516,0.1189,0.0572,-0.1716,-0.2112,-0.2134,-0.2459,-0.1663,-0.1167,-0.0338,0.0688,0.0635
