,https://roic.ai/company/ETD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,384200000,437300000,476100000,509800000,571800000,679300000,762200000,856171000,904133000,892288000,907264000,955107000,949012000,1066390000,1005312000,980045000,674277000,590054000,678960000,729373000,729083000,746659000,754600000,794202000,763385000,766784000,746684000,589837000,685169000
2,COGS,215800000,241000000,274800000,287900000,307800000,348200000,391100000,438586000,490477000,470975000,457880000,494027000,487958000,525408000,478729000,453980000,326935000,309777000,329500000,339085000,330734000,340163000,343437000,351966000,343662000,350820000,337193000,266705000,292062000
3,Gross Profit,168400000,196300000,201300000,221900000,264000000,331100000,371100000,417585000,413656000,421313000,449384000,461080000,461054000,540982000,526583000,526065000,347342000,280277000,349460000,390288000,398349000,406496000,411163000,442236000,419723000,415964000,409491000,323132000,393107000
4,Gross Profit Ratio,0.4383,0.4489,0.4228,0.4353,0.4617,0.4874,0.4869,0.4877,0.4575,0.4722,0.4953,0.4828,0.4858,0.5073,0.5238,0.5368,0.5151,0.4750,0.5147,0.5351,0.5464,0.5444,0.5449,0.5568,0.5498,0.5425,0.5484,0.5478,0.5737
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,162400000,195800000,222100000,254511000,280703000,286290000,315578000,320755000,332295000,394069000,402022000,423229000,170312000,147013000,154792000,166813000,337912000,336860000,345229000,353057000,361773000,367097000,357164000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182800000,142562000,161609000,173863000,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,162400000,195800000,222100000,254511000,280703000,286290000,315578000,320755000,332295000,394069000,402022000,423229000,353112000,289575000,316401000,340676000,337912000,336860000,345229000,353057000,361773000,367097000,357164000,- -,- -
9,Other Expenses,136000000,147500000,156300000,167100000,16400000,15900000,16300000,16975000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,311507000,313411000
10,Operating Expenses,136000000,147500000,156300000,167100000,178800000,211700000,238400000,271486000,280703000,286290000,315578000,320755000,332295000,394069000,402022000,423229000,353112000,289575000,316401000,340676000,337912000,336860000,345229000,353057000,361773000,367097000,357164000,311507000,313411000
11,COGS and Expenses,351800000,388500000,431100000,455000000,486600000,559900000,629500000,710072000,771180000,757265000,773458000,814782000,820253000,919477000,880751000,877209000,680047000,599352000,645901000,679761000,668646000,677023000,688666000,705023000,705435000,717917000,694357000,578212000,605473000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3355000,4872000,5564000,562000,-1485000,276000,-3333000,395000,268000,525000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11764000,11924000,11126000,9020000,10263000,7510000,9251000,1618000,1223000,325000,87000,455000,481000
14,Depreciation and Amortization,19500000,17200000,17300000,17500000,16400000,15900000,16300000,16975000,20220000,19314000,21296000,21277000,21338000,21599000,23013000,24670000,25635000,29398000,20816000,18581000,18008000,17930000,19142000,19353000,20115000,19831000,19637000,16859000,16385000
15,EBITDA,1000000,55800000,52600000,64400000,97100000,133600000,149000000,163745000,148323000,151558000,142488000,151773000,150758000,159704000,132739000,116848000,-43781000,22535000,58313000,68840000,78445000,87842000,85076000,108927000,78333000,69223000,53584000,31503000,93277000
16,EBITDA ratio,0.0026,0.1276,0.1105,0.1263,0.1698,0.1967,0.1955,0.1913,0.1640,0.1699,0.1571,0.1589,0.1589,0.1498,0.1320,0.1192,-0.0649,0.0382,0.0859,0.0944,0.1076,0.1176,0.1127,0.1372,0.1026,0.0903,0.0718,0.0534,0.1361
