,https://roic.ai/company/EPR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2500000,28500000,35400000,36482000,36536000,48758000,60991000,87580000,123116000,149166000,176910000,215189000,198096000,238262000,229980000,321786000,343064000,385051000,421017000,493242000,575991000,700731000,651969000,414661000,531680000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26964000,26674000,25668000,24081000,22607000,31895000,31199000,90406000,58587000,56739000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294822000,316390000,359383000,396936000,470635000,544096000,669532000,561563000,356074000,474941000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.9162,0.9222,0.9333,0.9428,0.9542,0.9446,0.9555,0.8613,0.8587,0.8933
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,2100000,2200000,1850000,2507000,2293000,3859000,4716000,5544000,- -,12970000,16914000,15177000,18227000,21903000,23170000,25613000,27566000,49599000,37543000,43383000,48889000,46371000,42596000,44362000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3321000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2100000,2200000,1850000,2507000,2293000,3859000,4716000,5544000,- -,12970000,16914000,18498000,18227000,21903000,23170000,25613000,27566000,49599000,37543000,43383000,48889000,46371000,42596000,44362000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,45456000,63000000,65030000,62086000,138502000,79773000,73097000,50254000,53946000,70516000,89617000,107573000,132946000,153430000,158834000,217502000,141798000
