,https://roic.ai/company/CSCW,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,57870,64821,27565044,39714802,93040847,137908770,145142774,74486972,48690837,55470578,53678660,45048413,45734647,43651923,- -,6783957
2,COGS,54428,59007,20799398,24518042,73704701,112264373,116555144,60766527,44067731,50750023,51941202,43953477,39022360,39093782,- -,4139251
3,Gross Profit,3442,5814,6765646,15196760,19336146,25644397,28587630,13720445,4623106,4720555,1737458,1094936,6712287,4558141,- -,2644706
4,Gross Profit Ratio,0.0595,0.0897,0.2454,0.3826,0.2078,0.1860,0.1970,0.1842,0.0949,0.0851,0.0324,0.0243,0.1468,0.1044,- -,0.3898
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,2946226,2178113,1484218,1143476,707492,846438,1182133,223668,120000,817794
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10588809,5043601,11382575
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",14369,21884,1946541,1717794,5439579,16603645,13064966,12535344,10676783,10142589,6814977,5669702,6689669,10588809,5043601,11382575
9,Other Expenses,- -,- -,- -,- -,- -,- -,22490204,10714219,4761913,-4520349,3854014,3352063,2184221,2559785,- -,- -
10,Operating Expenses,14369,21884,1946541,1717794,5439579,16603645,38501396,25427676,16922914,6765716,11376483,9868203,10056023,13372262,5163601,12200369
11,COGS and Expenses,68797,80891,22745939,26235836,79144280,128868018,155056540,86194203,60990645,57515739,63317685,53821680,49078383,52466044,5163601,16339620
12,Interest Income ,- -,- -,- -,- -,9001,591376,448279,659762,2744518,1175683,268088,30464,6051,2282,- -,136
13,Interest Expense (Gain),- -,- -,367833,802650,23834,703837,1620562,1798025,2548080,1361697,838323,830978,1360608,2038291,5041,- -
14,Depreciation and Amortization,3427,2570,1233356,2184462,2924616,3898278,4386734,3299480,2399263,2127260,1953087,1178427,1239383,1128832,- -,3717095
15,EBITDA,-7500,-13500,7559341,17170698,19129396,23191354,-352101,-18331548,-9254459,425201,-11269629,-7761422,-4799974,-11221407,-5163601,-4521418
16,EBITDA ratio,-0.1296,-0.2083,0.2742,0.4324,0.2056,0.1682,-0.0024,-0.2461,-0.1901,0.0077,-0.2099,-0.1723,-0.1050,-0.2571,-Infinity,-0.6665
17,Operating Income,-10927,-16070,4819105,13478966,13896567,9040752,-13294718,-26526089,-17184321,-3809099,-12650418,-8773267,-3343736,-8814121,-5163601,-9655606
18,Operating Income ratio,-0.1888,-0.2479,0.1748,0.3394,0.1494,0.0656,-0.0916,-0.3561,-0.3529,-0.0687,-0.2357,-0.1948,-0.0731,-0.2019,-Infinity,-1.4233
19,Total Other Income Expenses (Gains),- -,- -,1139047,704620,2284379,9548487,6935321,3097036,2982519,745343,-1410621,-997560,-4056229,-5574409,-5041,16993
20,Income Before Tax,- -,- -,5958152,14183586,16180946,18589239,-6359397,-23429053,-14201802,-3063756,-14061039,-9770827,-7399965,-14388530,-5168642,-9638613
21,Income Before Tax Ratio,- -,- -,0.2161,0.3571,0.1739,0.1348,-0.0438,-0.3145,-0.2917,-0.0552,-0.2619,-0.2169,-0.1618,-0.3296,-Infinity,-1.4208
22,Income Tax expense (Gain),- -,- -,1012382,2115097,3174551,1523995,-129312,169326,2445290,1100356,1744975,- -,- -,- -,- -,- -
23,Net Income,-10927,-16070,4945770,12068489,13006395,17065244,-6230085,-23598379,-16647092,-4164112,-15806014,-9770827,-7399965,-14388530,-11626597,-8238513
