,https://roic.ai/company/LOV,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,66081385,77290606,102738921,119596202,167063581,233036000,216905000
2,COGS,48794087,53849228,70513713,79489819,115716014,142459000,131974000
3,Gross Profit,17287298,23441378,32225208,40106383,51347567,90577000,84931000
4,Gross Profit Ratio,0.2616,0.3033,0.3137,0.3353,0.3074,0.3887,0.3916
5,Research and Development Exp.,4208121,3475874,7711688,8230382,21768304,- -,- -
6,General and Administrative Exp.,10954890,11645492,25785205,29158087,55533650,35307000,- -
7,Selling and Marketing Exp.,611156,273442,845790,549073,734833,4193000,- -
8,"Selling, General and Administrative Exp.",11566046,11918935,26630996,29707161,56268483,39500000,59408000
9,Other Expenses,583823,4467629,4019003,-491878,-15073035,226715000,191517000
10,Operating Expenses,16357991,19862437,38361686,37445665,62963751,266215000,250925000
11,COGS and Expenses,65152078,73711665,108875399,116935484,178679765,266215000,250925000
12,Interest Income ,12026,- -,31192,252803,196030,74000,- -
13,Interest Expense (Gain),- -,135670,619046,487303,7558921,13355000,-13453000
14,Depreciation and Amortization,153062,1344075,3699882,4078014,8620844,9384000,- -
15,EBITDA,39359,3344411,-2468988,2327843,-4839143,-28858000,-63210000
16,EBITDA ratio,0.0006,0.0433,-0.0240,0.0195,-0.0290,-0.1238,-0.2914
17,Operating Income,1014585,2811199,-6136478,-1141615,-10993369,-33179000,-34020000
18,Operating Income ratio,0.0154,0.0364,-0.0597,-0.0095,-0.0658,-0.1424,-0.1568
19,Total Other Income Expenses (Gains),-79811,-281856,-651438,-1095859,-10025540,-8440000,-15737000
20,Income Before Tax,934774,2529342,-6787917,-2237474,-21018909,-41619000,-49757000
21,Income Before Tax Ratio,0.0141,0.0327,-0.0661,-0.0187,-0.1258,-0.1786,-0.2294
22,Income Tax expense (Gain),486520,1137941,-100775,1312057,-4021418,-4989000,18398000
23,Net Income,-600223,726726,-6687142,-3549531,-16997491,-46608000,-68155000
24,Net Income ratio,-0.0091,0.0094,-0.0651,-0.0297,-0.1017,-0.2000,-0.3142
25,EPS,-0.05,0.06,-2.91,-0.27,-0.86,-1.79,-2.61
26,EPS Diluted,-0.05,0.06,-2.91,-0.27,-0.86,-1.79,-2.61
27,Weighted Average Shares Outstanding,12932190,12932190,12932190,12983264,19760000,26056890,26132580
28,Weighted Average Shares Outstanding Diluted,12932190,12932190,12932190,12983264,19760000,26056890,26132580
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705338/000162828019004964/0001628280-19-004964-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1705338/000162828021006260/0001628280-21-006260-index.htm,https://www.sec.gov/Archives/edgar/data/1705338/000162828022006384/0001628280-22-006384-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,8480922,9854356,12691604,17306658,19267000,16141000
32,Short-Term Investments,- -,2617685,3786261,1045527,3604714,- -,- -
33,Cash and Short-Term Investments,- -,11098608,13640617,13737131,20911372,19267000,16141000
34,Net Receivables,- -,5164907,9630012,3518646,6908101,5507000,6261000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1748980,3163615,3486616,3231696,6506000,4286000
37,Total Current Assets,- -,18012494,26434244,20742393,31051169,31280000,26688000
38,PP&E,- -,510075,2497781,2304965,2595439,11418000,3613000
39,Goodwill,- -,3495856,27813902,23797758,177242584,156582000,134744000
40,Intangible Assets,- -,6636237,14338844,13968199,135130836,58999000,29369000
41,Intangible Assets,- -,10132094,42152746,37765957,312373421,215581000,164113000
42,Investments,- -,22086,27593,27454,7886011,- -,- -
43,Tax Assets,- -,10518068,11885452,10757264,17661753,- -,7623000
44,Other Non-Current Assets,- -,0,0,309998,376378,- -,7764000
45,Total Non-Current Assets,- -,21182323,56563572,51165637,340893001,226999000,183113000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
