,https://roic.ai/company/ONEM,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,176769000,212678000,276258000,380223000,621552000
2,COGS,120705000,136180000,167618000,234959000,435182000
3,Gross Profit,56064000,76498000,108640000,145264000,186370000
4,Gross Profit Ratio,0.3172,0.3597,0.3933,0.3820,0.2998
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,57964000,85808000,108965000,157282000,323127000
7,Selling and Marketing Exp.,19172000,25789000,39520000,36967000,61994000
8,"Selling, General and Administrative Exp.",77136000,111597000,148485000,194249000,385121000
9,Other Expenses,10686000,9947000,14268000,22374000,44733000
10,Operating Expenses,87822000,121544000,162753000,216623000,429854000
11,COGS and Expenses,208527000,257724000,330371000,451582000,865036000
12,Interest Income ,386000,2251000,4498000,1809000,798000
13,Interest Expense (Gain),834000,804000,474000,13434000,13757000
14,Depreciation and Amortization,10686000,9947000,24503000,22374000,46496000
15,EBITDA,-19151000,-33639000,-27490000,-53032000,-196190000
16,EBITDA ratio,-0.1083,-0.1582,-0.0995,-0.1395,-0.3156
17,Operating Income,-31758000,-45046000,-54113000,-71359000,-243484000
18,Operating Income ratio,-0.1797,-0.2118,-0.1959,-0.1877,-0.3917
19,Total Other Income Expenses (Gains),198000,-430000,505000,-18185000,-12959000
20,Income Before Tax,-31560000,-45476000,-53608000,-89544000,-256443000
21,Income Before Tax Ratio,-0.1785,-0.2138,-0.1941,-0.2355,-0.4126
22,Income Tax expense (Gain),126000,25000,87000,-123000,-1802000
23,Net Income,-30797000,-44415000,-52554000,-88717000,-254641000
24,Net Income ratio,-0.1742,-0.2088,-0.1902,-0.2333,-0.4097
25,EPS,-0.29,-0.46,-0.43,-0.75,-1.66
26,EPS Diluted,-0.29,-0.46,-0.43,-0.75,-1.66
27,Weighted Average Shares Outstanding,104622967,91664049,122411198,118379300,153700000
28,Weighted Average Shares Outstanding Diluted,104622967,91664049,122411198,118379300,153700000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1404123/000156459020013666/0001564590-20-013666-index.htm,https://www.sec.gov/Archives/edgar/data/1404123/000156459021013897/0001564590-21-013897-index.htm,https://www.sec.gov/Archives/edgar/data/1404123/000140412322000010/0001404123-22-000010-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,16534000,36692000,27390000,112975000,341971000
32,Short-Term Investments,26251000,193869000,119146000,570023000,111671000
33,Cash and Short-Term Investments,42785000,230561000,146536000,682998000,453642000
34,Net Receivables,12006000,15971000,30455000,67895000,103498000
35,Inventory,4075000,3851000,3192000,7113000,6065000
36,Other Current Assets,6077000,5957000,16708000,16693000,49822000
37,Total Current Assets,64943000,256340000,196891000,774699000,613027000
38,PP&E,41259000,42753000,198762000,264877000,450009000
39,Goodwill,21301000,21301000,21301000,21301000,1147464000
40,Intangible Assets,665000,304000,23000,- -,352158000
41,Intangible Assets,21966000,21605000,21324000,21301000,1499622000
42,Investments,- -,- -,- -,- -,48296000
43,Tax Assets,- -,- -,- -,2656000,- -
44,Other Non-Current Assets,4339000,5621000,10171000,7457000,16078000
45,Total Non-Current Assets,67564000,69979000,230257000,296291000,2014005000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,132507000,326319000,427148000,1070990000,2627032000
48,Accounts Payable,3506000,5316000,13853000,12654000,18725000
49,Short-Term Debt,- -,- -,- -,3282000,31152000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,21175000,21759000,23878000,35966000,47928000
52,Other Current Liabilities,20303000,26464000,42604000,65524000,104304000
53,Total Current Liabilities,44984000,53539000,80335000,117426000,202109000
54,Long-Term Debt,7450000,3198000,- -,241233000,579485000
55,Deferred Revenue,- -,- -,- -,7624000,29317000
56,Deferred Tax Liabilities,- -,- -,- -,- -,73875000
57,Other Non-Current Liabilities,199857000,417822000,530844000,156232000,13663000
58,Total Non-Current Liabilities,207307000,421020000,530844000,405089000,696340000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,133072000,171032000,300793000
61,Total Liabilities,252291000,474559000,611179000,522515000,898449000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,16000,18000,19000,134000,193000
64,Retained Earnings,-184034000,-228449000,-281068000,-369785000,-618198000
65,Other Comprehensive Income/Loss,-33981000,-40943000,-48538000,8000,-193000
66,Other Total Stockholders Equity,92953000,116958000,142521000,918118000,- -
67,Total Stockholders Equity,-125046000,-152416000,-187066000,548475000,1728583000
68,Total Liabilities And Stockholders Equity,127245000,322143000,424113000,1070990000,2627032000
69,Minority Interest,5262000,4176000,3035000,- -,- -
70,Total Liabilities & Equity,132507000,326319000,427148000,1070990000,2627032000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1404123/000156459020013666/0001564590-20-013666-index.htm,https://www.sec.gov/Archives/edgar/data/1404123/000156459021013897/0001564590-21-013897-index.htm,https://www.sec.gov/Archives/edgar/data/1404123/000140412322000010/0001404123-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-30797000,-44415000,-52554000,-88717000,-254641000
74,Depreciation and Amortization,10686000,9947000,24503000,22374000,46496000
75,Deferred Income Tax,- -,- -,- -,-2656000,-4006000
76,Stock Based Compensation,9530000,13942000,14877000,35095000,112298000
77,Change in Working Capital,5425000,-86245000,540717000,-119126000,-15657000
78,Accounts Receivable,-5892000,-7202000,-14484000,-35167000,-16546000
79,Inventory,-1357000,224000,659000,-3921000,1118000
80,Accounts Payable,557000,1915000,3929000,298000,3111000
81,Other Working Capital,202801000,116556000,657273000,538147000,3350000
82,Other Non-Cash Items,2438000,88361000,-559217000,149436000,26944000
83,Cash Provided by Operating Activities,-2718000,-18410000,-31674000,-3594000,-88566000
