,https://roic.ai/company/MSGE,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,711022000,988990000,1048909000,762936000,180401000
2,COGS,517078000,635218000,670641000,508122000,171924000
3,Gross Profit,193944000,353772000,378268000,254814000,8477000
4,Gross Profit Ratio,0.2728,0.3577,0.3606,0.3340,0.0470
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -
9,Other Expenses,292350000,385054000,423865000,449536000,437378000
10,Operating Expenses,292350000,385054000,423865000,449536000,437378000
11,COGS and Expenses,809428000,1020272000,1094506000,957658000,609302000
12,Interest Income ,11757000,21348000,30163000,17993000,1273000
13,Interest Expense (Gain),1926000,12150000,15262000,2300000,35098000
14,Depreciation and Amortization,98069000,112058000,109343000,104899000,114664000
15,EBITDA,-16361000,100276000,107154000,129479000,-271691000
16,EBITDA ratio,-0.0230,0.1014,0.1022,0.1697,-1.5060
17,Operating Income,-98406000,-31282000,-45597000,-59756000,-450200000
18,Operating Income ratio,-0.1384,-0.0316,-0.0435,-0.0783,-2.4956
19,Total Other Income Expenses (Gains),-22016000,2339000,15902000,50115000,10379000
20,Income Before Tax,-120422000,-28943000,-29695000,-9641000,-439821000
21,Income Before Tax Ratio,-0.1694,-0.0293,-0.0283,-0.0126,-2.4380
22,Income Tax expense (Gain),-7811000,-30830000,443000,5046000,-9371000
23,Net Income,-108545000,6898000,-17894000,17234000,-412082000
24,Net Income ratio,-0.1527,0.0070,-0.0171,0.0226,-2.2843
25,EPS,-4.57,0.29,-0.96,0.72,-17.39
26,EPS Diluted,-4.57,0.29,-0.96,0.72,-17.39
27,Weighted Average Shares Outstanding,23767000,23992000,23767000,23998000,24205000
28,Weighted Average Shares Outstanding Diluted,23767000,23992000,23767000,24017000,24205000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1795250/000179525020000011/0001795250-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1795250/000179525021000015/0001795250-21-000015-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,1225645000,1082055000,906555000,1168760000
32,Short-Term Investments,- -,- -,108416000,337192000,- -
33,Cash and Short-Term Investments,- -,1225645000,1190471000,1243747000,1168760000
34,Net Receivables,- -,82423000,82766000,80246000,122333000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,45280000,73507000,102509000,121256000
37,Total Current Assets,- -,1353348000,1346744000,1426502000,1412349000
38,PP&E,- -,1225007000,1349122000,1866443000,2367915000
39,Goodwill,- -,165558000,165558000,74309000,77687000
