,https://roic.ai/company/GEVO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,16396000,64549000,24385000,8224000,28266000,30137000,27213000,27536000,32863000,24487000,5310000,711000
2,COGS,- -,- -,- -,13446000,60588000,32410000,17913000,35582000,38762000,37017000,38165000,41568000,36733000,15003000,12165000
3,Gross Profit,- -,- -,- -,2950000,3961000,-8025000,-9689000,-7316000,-8625000,-9804000,-10629000,-8705000,-12246000,-9693000,-11454000
4,Gross Profit Ratio,- -,- -,- -,0.1799,0.0614,-0.3291,-1.1781,-0.2588,-0.2862,-0.3603,-0.3860,-0.2649,-0.5001,-1.8254,-16.1097
5,Research and Development Exp.,3699000,7376000,10508000,14820000,19753000,19431000,20179000,14120000,6610000,5216000,5182000,5374000,4020000,4086000,6775000
6,General and Administrative Exp.,- -,- -,- -,- -,28890000,43981000,25548000,18341000,16692000,8965000,7471000,8122000,10085000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,28890000,43981000,25548000,18341000,16692000,8965000,7471000,8122000,10085000,- -,25493000
9,Other Expenses,- -,- -,- -,23643000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12302000,11231000
10,Operating Expenses,- -,- -,- -,38463000,48643000,63412000,45727000,32461000,23302000,14181000,12653000,13496000,14105000,16388000,43499000
11,COGS and Expenses,7162000,13311000,18569000,51909000,109231000,95822000,63640000,68043000,62064000,51198000,50818000,55064000,50838000,31391000,55664000
12,Interest Income ,76000,154000,277000,108000,85000,- -,- -,- -,- -,- -,- -,- -,- -,- -,571000
13,Interest Expense (Gain),140000,1385000,1103000,2374000,3577000,6338000,9301000,12024000,8243000,7837000,2951000,3237000,2732000,2094000,251000
14,Depreciation and Amortization,240000,678000,1511000,3188000,4600000,3313000,3393000,4880000,6573000,6747000,6641000,6520000,6656000,5905000,5128000
15,EBITDA,-6846000,-12479000,-16781000,-34550000,-40037000,-51061000,-54112000,-24241000,-21378000,-22644000,-15038000,-18219000,-19272000,-32187000,-53824000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-2.1072,-0.6203,-2.0940,-6.5798,-0.8576,-0.7094,-0.8321,-0.5461,-0.5544,-0.7870,-6.0616,-75.7018
17,Operating Income,-7162000,-13311000,-18569000,-35513000,-44693000,-71437000,-55515000,-39777000,-31927000,-23985000,-23282000,-22201000,-26351000,-26335000,-60090000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-2.1660,-0.6924,-2.9295,-6.7504,-1.4072,-1.0594,-0.8814,-0.8455,-0.6756,-1.0761,-4.9595,-84.5148
