,https://roic.ai/company/DADA,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1217965000,1922015000,3099698000,5739989000,6866262000
2,COGS,1592664000,2044139000,2845872000,4721311000,5139102000
3,Gross Profit,-374699000,-122124000,253826000,1018678000,1727160000
4,Gross Profit Ratio,-0.3076,-0.0635,0.0819,0.1775,0.2515
5,Research and Development Exp.,191977000,270163000,333844000,428849000,573949000
6,General and Administrative Exp.,249172000,282539000,281376000,498826000,400397000
7,Selling and Marketing Exp.,723463000,1223345000,1414540000,1848730000,3427909000
8,"Selling, General and Administrative Exp.",972635000,1505884000,1695916000,2347556000,3828306000
9,Other Expenses,47452000,78304000,-26215000,6358000,-96388000
10,Operating Expenses,1212064000,1854351000,2003545000,2782763000,4305867000
11,COGS and Expenses,2804728000,3898490000,4849417000,7504074000,9444969000
12,Interest Income ,31408000,53111000,84276000,65596000,110954000
13,Interest Expense (Gain),8908000,3122000,- -,11830000,13806000
14,Depreciation and Amortization,209061000,212241000,215664000,201272000,- -
15,EBITDA,-1245234000,-1690509000,-1463149000,-1497217000,-2468879000
16,EBITDA ratio,-1.0224,-0.8796,-0.4720,-0.2608,-0.3596
17,Operating Income,-1586763000,-1976475000,-1749719000,-1764085000,-2578707000
18,Operating Income ratio,-1.3028,-1.0283,-0.5645,-0.3073,-0.3756
19,Total Other Income Expenses (Gains),123560000,70603000,70906000,53766000,96022000
20,Income Before Tax,-1463203000,-1905872000,-1678813000,-1710319000,-2482685000
21,Income Before Tax Ratio,-1.2014,-0.9916,-0.5416,-0.2980,-0.3616
22,Income Tax expense (Gain),-14113000,-27497000,-9032000,-5143000,-11558000
23,Net Income,-1449090000,-1878375000,-1669781000,-1705176000,-2471127000
24,Net Income ratio,-1.1898,-0.9773,-0.5387,-0.2971,-0.3599
25,EPS,-8.20,-11.84,-11.09,-12.48,-10.40
26,EPS Diluted,-8.20,-11.84,-11.09,-12.48,-10.40
27,Weighted Average Shares Outstanding,222234254,201922565,222234254,166961211,237674389
28,Weighted Average Shares Outstanding Diluted,222234254,201922565,222234254,166961211,237674389
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1559537000,2744006000,1154653000,5461264000,512830000
32,Short-Term Investments,324746000,721380000,957370000,770000000,1193909000
33,Cash and Short-Term Investments,1884283000,3465386000,2112023000,6231264000,1706739000
34,Net Receivables,89574000,262885000,414179000,1179639000,1192991000
35,Inventory,5886000,7887000,3886000,5410000,6344000
36,Other Current Assets,380567000,23800000,34571000,105669000,537037000
37,Total Current Assets,2360310000,3759958000,2564659000,7521982000,3443111000
38,PP&E,12863000,22545000,42044000,146760000,114366000
39,Goodwill,957605000,957605000,957605000,957605000,957605000
40,Intangible Assets,1069702000,900632000,715877000,507964000,332317000
41,Intangible Assets,2027307000,1858237000,1673482000,1465569000,1289922000
42,Investments,- -,- -,- -,400000000,400000000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,11584000,6117000,5930000,12715000,33181000
45,Total Non-Current Assets,2051754000,1886899000,1721456000,2025044000,1837469000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,4412064000,5646857000,4286115000,9547026000,5280580000
48,Accounts Payable,7145000,8662000,9924000,13846000,9800000
49,Short-Term Debt,354499000,- -,- -,811737000,135759000
50,Tax Payable,77394000,7753000,20591000,205303000,- -
51,Deferred Revenue,46832000,55329000,71988000,99171000,- -
52,Other Current Liabilities,514588000,509010000,758438000,1486234000,1273149000
53,Total Current Liabilities,923064000,573001000,840350000,2410988000,1418708000
54,Long-Term Debt,- -,- -,- -,69525000,46243000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,80272000,52733000,43701000,38558000,27000000
57,Other Non-Current Liabilities,5883754000,9798011000,10593026000,- -,- -
58,Total Non-Current Liabilities,5964026000,9850744000,10636727000,108083000,73243000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,111262000,82002000
61,Total Liabilities,6887090000,10423745000,11477077000,2519071000,1491951000
62,Preferred Stock,5883754000,9798011000,10593026000,- -,- -
63,Common Stock,227000,232000,237000,639000,633000
