,https://roic.ai/company/FMS,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2961269766,2989170162,3816579936,4473332622,5461436093,4844991918,4389007971,4594272515,5717514500,6439636102,6666871763,7623256104,7850289047,9063019131,9872028543,10434945231,10580072099,13019285267,15309196752,17030292711,17783572000,16546873000,17476555000,17859063000,17619000000
2,COGS,- -,1642734756,2127103147,2911630551,3619212734,3266854539,2936804122,3055556869,3748022114,4259340697,4365232647,5016509432,5176046931,5946603411,6384081686,6955753788,7148619759,8910901350,10432995203,11534777912,11779852000,11392130000,12080704000,12321618000,12542000000
3,Gross Profit,- -,1346435406,1689476789,1561702071,1842223359,1578137379,1452203849,1538715647,1969492386,2180295406,2301639117,2606746672,2674242116,3116415720,3487946857,3479191443,3431452339,4108383917,4876201550,5495514799,6003720000,5154743000,5395851000,5537445000,5077000000
4,Gross Profit Ratio,- -,0.4504,0.4427,0.3491,0.3373,0.3257,0.3309,0.3349,0.3445,0.3386,0.3452,0.3419,0.3407,0.3439,0.3533,0.3334,0.3243,0.3156,0.3185,0.3227,0.3376,0.3115,0.3087,0.3101,0.2882
5,Research and Development Exp.,- -,26602992,32286250,34002472,40123587,45202226,39452969,37890196,43021816,38864193,45626130,57638883,65475628,72582411,85513973,84408664,91105465,100421669,128328627,154382186,130704000,133615000,168028000,193774000,221000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3096000000
9,Other Expenses,- -,902966940,1100455468,866695166,1375893994,870652451,811324767,872067592,1133732714,1142699566,1172254711,1347732986,1383430704,1597324330,1825436378,1757810000,1732185695,2174862598,2648472117,2894987367,3577776000,2865679000,3060732000,3164559000,- -
10,Operating Expenses,- -,929569932,1132741718,900697638,1416017581,915854677,850777736,909957787,1176754530,1181563759,1217880841,1405371869,1448906331,1669906740,1910950350,1842218664,1823291160,2275284267,2776800745,3049369553,3708480000,2999294000,3228760000,3358333000,3317000000
11,COGS and Expenses,- -,2572304688,3259844865,3812328189,5035230315,4182709216,3787581858,3965514656,4924776643,5440904456,5583113487,6421881301,6624953263,7616510152,8295032037,8797972453,8971910919,11186185617,13209795947,14584147464,15488332000,14391424000,15309464000,15679951000,15859000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17822734,14934250,19105027,46157979,33628570,28201018,69275606,106626490,44350981,43297000,147409000,61617000,41959000,73000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259717982,224296426,229685149,274948015,355789579,324072723,407370006,464679293,429947979,397187000,448471000,491061000,409978000,353000000
