,https://roic.ai/company/ACUR,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7390000,8580000,9250000,12500000,17670000,21740000,26350000,37460000,49870000,36020000,24180000,20220000,12380000,9090000,8840000,11420000,20220000,16930000,8210000,5750000,840000,- -,- -,6400000,44440000,3840000,3310000,20470000,- -,120000,751000,8587000,4464000,2966000,410000,2657000,3570000
2,COGS,5600000,6270000,6940000,8950000,11650000,15520000,18620000,27340000,35770000,28850000,21580000,17770000,16830000,15410000,12710000,15320000,18740000,14860000,12540000,11710000,1440000,- -,- -,- -,- -,- -,- -,- -,- -,110000,227000,656000,451000,128000,- -,- -,- -
3,Gross Profit,1790000,2310000,2310000,3550000,6020000,6220000,7730000,10120000,14100000,7170000,2600000,2450000,-4450000,-6320000,-3870000,-3900000,1480000,2070000,-4330000,-5960000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,10000,524000,7931000,4013000,2838000,410000,- -,3570000
4,Gross Profit Ratio,0.2422,0.2692,0.2497,0.2840,0.3407,0.2861,0.2934,0.2702,0.2827,0.1991,0.1075,0.1212,-0.3595,-0.6953,-0.4378,-0.3415,0.0732,0.1223,-0.5274,-1.0365,-0.7143,- -,- -,- -,- -,- -,- -,- -,- -,0.0833,0.6977,0.9236,0.8990,0.9568,1.0000,- -,1.0000
5,Research and Development Exp.,250000,560000,880000,850000,610000,710000,590000,780000,1090000,2140000,500000,820000,1850000,980000,650000,1080000,1820000,1330000,1520000,1460000,4130000,6270000,5170000,7170000,14320000,5670000,7180000,4040000,3730000,4920000,4582000,2608000,4028000,3721000,1759000,1505000,1781000
6,General and Administrative Exp.,1120000,1200000,1930000,2370000,3110000,4220000,4480000,5720000,8620000,8800000,7130000,5810000,7490000,6310000,8080000,7380000,6210000,6620000,7220000,7900000,5240000,5300000,5650000,4140000,9130000,11660000,8860000,5900000,6010000,8930000,7940000,8994000,6516000,4342000,2566000,1877000,2547000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1120000,1200000,2800000,3200000,3700000,4900000,5100000,6500000,11700000,10900000,7600000,6100000,7500000,6300000,8100000,7383000,6208000,6616000,7216000,7903000,5238000,5296000,5654000,4141000,9133000,11662000,8858000,5895000,6013000,8926000,7940000,8994000,6516000,4342000,2566000,1877000,2547000
9,Other Expenses,- -,-0,-680000,-650000,-310000,-210000,110000,320000,610000,260000,1900000,1980000,1950000,1720000,1850000,2734000,3154000,65000,-129000,1926000,- -,-5000,2000,-1000,2000,3000,-3000,-3000,-4000,3000,- -,- -,- -,- -,- -,- -,- -
