,https://roic.ai/company/NWCN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1,- -,- -,568391,894263,4442602,27582907,4622270,1266927,2207479,1794552,1835940,891366,683749,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,4231952,28625589,17374713,2067881,1503898,1115461,1467698,1253460,1032972,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,1,- -,- -,568391,894263,210650,-1042682,-12752443,-800954,703581,679091,368242,-362094,-349223,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,1.0000,- -,- -,1.0000,1.0000,0.0474,-0.0378,-2.7589,-0.6322,0.3187,0.3784,0.2006,-0.4062,-0.5107,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,56770,417270,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,239827,- -,- -,- -,- -,- -,11254933,4532628,2756180,1489460,2092180,1367090,795840,932751,423788,272133,358819,317114,292490
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,2996142,630730,449320,521109,267595,90215,52977,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,239827,- -,729880,- -,- -,- -,14251075,5163358,3205500,2010569,2359775,1457305,848817,932751,423788,272133,358819,317114,292490
9,Other Expenses,664170,448676,- -,38008,3523473,2482316,5283638,13365218,7739043,- -,-438917,-3254,- -,- -,- -,- -,- -,- -,- -,- -,-292782490
10,Operating Expenses,720940,865946,239827,38008,4253353,2482316,5283638,13365218,21990118,5163358,2766583,2007315,2359775,1457305,848817,932751,423788,272133,358819,317114,-292490000
11,COGS and Expenses,720940,865946,239827,38008,4253353,2482316,9515590,41990807,39364831,7231239,4270481,3122776,3827473,2710765,1881789,932751,423788,272133,358819,317114,-292490000
12,Interest Income ,- -,4012,492,- -,- -,387,38395,26811,90703,22486,1374,254,155,60,31,3,- -,- -,2,3,1
13,Interest Expense (Gain),- -,- -,- -,- -,2358,- -,1416,4989154,7082378,420731,50180,50000,122528,247844,359294,471503,514371,544898,566885,576590,532603
14,Depreciation and Amortization,65260,69202,- -,23,49726,256466,289148,5394986,7546010,19450801,786361,828206,1279340,106497,43831,15975,11901,951,1261,878,456
15,EBITDA,-655680,-792732,-63967,-111694,-4427289,-1765807,-4171158,-8914771,-44856445,-17487656,-1766843,-1224342,191239,-3539152,-2081807,-916776,-411887,-271182,-357558,-316236,-292489544
16,EBITDA ratio,-Infinity,-792732.0000,-Infinity,-Infinity,-7.7892,-1.9746,-0.9389,-0.3232,-9.7044,-13.8032,-0.8004,-0.6823,0.1042,-3.9705,-3.0447,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-720940,-865945,-239827,-38008,-3684962,-1588053,-5072988,-14407900,-52851761,-6224028,-2074423,-1328224,-1956729,-1819399,-1198040,-365276,-423788,-272133,-358819,-317114,-292490
18,Operating Income ratio,-Infinity,-865945.0000,-Infinity,-Infinity,-6.4831,-1.7758,-1.1419,-0.5223,-11.4342,-4.9127,-0.9397,-0.7401,-1.0658,-2.0411,-1.7522,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-175860,73709,-794411,14338,60313,-4953059,-6991030,-31159333,-528961,-774324,746100,-2074094,-1286892,-471500,-514371,-497827,-459383,-576587,4869448490
20,Income Before Tax,- -,- -,- -,- -,-4479373,-1573715,-5012675,-19360959,-59842791,-37383361,-2603384,-2102548,-1210629,-3893493,-2484932,-836776,-938159,-769960,-818202,-893701,4869156000
21,Income Before Tax Ratio,- -,- -,- -,- -,-7.8808,-1.7598,-1.1283,-0.7019,-12.9466,-29.5071,-1.1793,-1.1716,-0.6594,-4.3680,-3.6343,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,37024,29182,6984,7668,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-703149,-861934,-415195,35701,-4516397,-2051455,-4468706,-19306579,-59484833,-37359188,-2603384,-2102548,-1210629,-3893493,-2484932,-836776,-938159,-769960,-818202,-893701,4869156000
