,https://roic.ai/company/DEA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,71378000,104618000,130673000,160591000,221722000,245078000,274860000
2,COGS,- -,- -,- -,20323000,30974000,38637000,48223000,71922000,75555000,- -
3,Gross Profit,- -,- -,- -,51055000,73644000,92036000,112368000,149800000,169523000,- -
4,Gross Profit Ratio,- -,- -,- -,0.7153,0.7039,0.7043,0.6997,0.6756,0.6917,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3181000,5580000,9936000,8892000,12289000,12900000,14824000,20184000,20630000,23522000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3181000,5580000,9936000,8892000,12289000,12900000,14824000,20184000,20630000,23522000
9,Other Expenses,- -,- -,- -,35227000,46643000,54873000,66403000,92439000,93803000,- -
10,Operating Expenses,- -,- -,- -,44119000,58932000,67773000,81227000,112623000,114433000,23522000
11,COGS and Expenses,2979000,5580000,9936000,64442000,89906000,106410000,129450000,184545000,189988000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,4972000,8177000,17071000,22903000,33460000,35480000,-38632000
14,Depreciation and Amortization,- -,- -,- -,28695000,39490000,46356000,57810000,86119000,87909000,86677000
15,EBITDA,-15605000,-37227000,-87657000,31973000,51082000,67875000,86417000,126786000,135350000,82002000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,0.4479,0.4883,0.5194,0.5381,0.5718,0.5523,0.2983
17,Operating Income,- -,- -,- -,4049000,12914000,22770000,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,0.0567,0.1234,0.1743,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),12626000,31647000,77721000,-10094000,-8177000,-17381000,-24482000,-28953000,-41562000,- -
20,Income Before Tax,9647000,26067000,67785000,-6045000,4737000,5389000,6659000,8224000,13528000,33957000
21,Income Before Tax Ratio,Infinity,Infinity,Infinity,-0.0847,0.0453,0.0412,0.0415,0.0371,0.0552,0.1235
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2643000,-4314000,2396000,-1694000,3415000,4448000,5704000,7207000,11961000,33957000
24,Net Income ratio,-Infinity,-Infinity,Infinity,-0.0237,0.0326,0.0340,0.0355,0.0325,0.0488,0.1235
25,EPS,-0.12,-0.19,0.10,-0.08,0.11,0.11,0.09,0.10,0.15,0.40
26,EPS Diluted,-0.12,-0.19,0.10,-0.08,0.10,0.10,0.08,0.10,0.15,0.40
27,Weighted Average Shares Outstanding,22368379,22368379,24168379,21430016,30645279,39607740,53511137,68769526,78219491,83961693
28,Weighted Average Shares Outstanding Diluted,22368379,22368379,24168379,21430016,32372538,41563540,54931380,69208966,78791453,84472257
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1622194/000156459016013875/0001564590-16-013875-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459017003211/0001564590-17-003211-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459018004044/0001564590-18-004044-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459019005484/0001564590-19-005484-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459020006375/0001564590-20-006375-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459021008064/0001564590-21-008064-index.htm,https://www.sec.gov/Archives/edgar/data/1622194/000156459022007604/0001564590-22-007604-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,720000,3363000,31436000,8176000,4845000,12682000,6854000,12012000,8465000,11132000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,131840000
33,Cash and Short-Term Investments,720000,3363000,31436000,8176000,4845000,12682000,6854000,12012000,8465000,142972000
34,Net Receivables,- -,- -,- -,9267000,14367000,22098000,32830000,43608000,45239000,58733000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,668000,- -,3245000,4818000,12357000,22559000,19328000,30749000,- -
37,Total Current Assets,720000,4031000,31436000,20688000,24030000,47137000,62243000,74948000,84453000,201705000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,116585000,113795000,143063000,165668000,168625000,163387000,186307000
41,Intangible Assets,- -,- -,- -,116585000,113795000,143063000,165668000,168625000,163387000,186307000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,103151000,173871000,269068000,774774000,907638000,1235138000,1633639000,1991016000,2209700000,- -
45,Total Non-Current Assets,103151000,173871000,269068000,891359000,1021433000,1378201000,1799307000,2159641000,2373087000,186307000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2810714000
47,Total Assets,103871000,177902000,300504000,912047000,1045463000,1425338000,1861550000,2234589000,2457540000,2826112000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,154417000,212167000,99750000,134750000,- -,79250000,695589000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,87134000
52,Other Current Liabilities,443000,1218000,3321000,-145071000,-198383000,-79964000,-97440000,47833000,48549000,- -
53,Total Current Liabilities,443000,1218000,3321000,9346000,13784000,19786000,37310000,47833000,127799000,782723000
54,Long-Term Debt,- -,- -,- -,238202000,292973000,575894000,766355000,901841000,899008000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,54659000,92576000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,44605000,41840000,38569000,32632000,30415000,38187000,601808000
58,Total Non-Current Liabilities,- -,- -,- -,282807000,334813000,614463000,798987000,986915000,1029771000,601808000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,443000,1218000,3321000,292153000,348597000,634249000,836297000,1034748000,1157570000,1384531000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,-2006000,-1844000,- -,241000,369000,448000,608000,748000,821000,- -
64,Retained Earnings,- -,- -,- -,-1694000,1721000,7127000,12831000,20004000,31965000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,3038000,3403000,2412000,-4690000,-11351000,-5072000
66,Other Total Stockholders Equity,- -,- -,297183000,378716000,554177000,656828000,878312000,1046559000,1133135000,1446653000
67,Total Stockholders Equity,-2006000,-1844000,13336000,377263000,559305000,667806000,894163000,1062621000,1154570000,1441581000
68,Total Liabilities And Stockholders Equity,-1563000,-626000,16657000,669416000,907902000,1302055000,1730460000,2097369000,2312140000,2826112000
69,Minority Interest,105434000,178528000,283847000,242631000,137561000,123283000,131090000,137220000,145400000,- -
70,Total Liabilities & Equity,103871000,177902000,300504000,912047000,1045463000,1425338000,1861550000,2234589000,2457540000,2826112000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1622194/000156459016013875/0001564590-16-013875-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459017003211/0001564590-17-003211-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459018004044/0001564590-18-004044-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459019005484/0001564590-19-005484-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459020006375/0001564590-20-006375-index.html,https://www.sec.gov/Archives/edgar/data/1622194/000156459021008064/0001564590-21-008064-index.htm,https://www.sec.gov/Archives/edgar/data/1622194/000156459022007604/0001564590-22-007604-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-2643000,-4314000,2396000,-1694000,3415000,4448000,5704000,7207000,11961000,33957000
74,Depreciation and Amortization,- -,- -,- -,28695000,39490000,46356000,57810000,86119000,87909000,86677000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,2905000,2963000,3039000,4909000,4093000,5050000
