,https://roic.ai/company/IMCI,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,2300000,5100000,5127166,5448575,7396105,9239969,13165739,8507648,6229910,483538,5735012,8505199,6444706,8454515000,9918896,11373363,9398434,9163780,9163780,8712617,8567736,7945921,7413366,6386919,6370336,7094279,7219446,7224242
2,COGS,300000,1500000,3100000,3163621,3376353,4760733,7155817,9346149,5897511,4836867,370187,4126607,5962989,4814826,6028970000,7071415,8560580,6918717,6602364,6602364,6383978,6386182,5994857,5323415,4441225,4158408,4422533,4177268,4489306
3,Gross Profit,-200000,800000,2000000,1963545,2072222,2635372,2084152,3819590,2610137,1393043,113351,1608405,2542210,1629880,2425545000,2847481,2812783,2479717,2561416,2561416,2328639,2181554,1951064,2089951,1945694,2211928,2671746,3042178,2734936
4,Gross Profit Ratio,-2.0000,0.3478,0.3922,0.3830,0.3803,0.3563,0.2256,0.2901,0.3068,0.2236,0.2344,0.2805,0.2989,0.2529,0.2869,0.2871,0.2473,0.2638,0.2795,0.2795,0.2673,0.2546,0.2455,0.2819,0.3046,0.3472,0.3766,0.4214,0.3786
5,Research and Development Exp.,- -,500000,- -,402442,770758,1060021,1273437,583686,94665,- -,137314,285659,318038,256113,87997000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,2252003,1820663,1763897,2794605,2747081,2735782,3064198,1015719,1038977,- -,- -,- -,1311911,1797224,1717345,999317,638397,1022356,1302329,1518958,1218040,1148870,1084260,1334051,1696415,2159378
7,Selling and Marketing Exp.,- -,- -,- -,511208,470723,427889,900166,640313,307030,266351,26673,4617,- -,- -,1560315000,1409369,1688503,1608802,- -,- -,- -,930897,- -,- -,- -,- -,1008558000,1344472,1983127
8,"Selling, General and Administrative Exp.",800000,2000000,3800000,2763211,2291386,2191786,3694771,3387394,3042812,3330549,1042392,1043594,2141827,2914071,2776406,2721280,3485727,3326147,2248432,1758532,1888012,2233226,2406403,2164780,2343633,2002235,1009892051,3040887,4142505
9,Other Expenses,100000,400000,700000,1946177,741712,628861,962925,1126116,775924,1916723,11503,29874,86404,358588,-87873928,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1007607442,- -,- -
10,Operating Expenses,900000,2900000,4500000,5111830,3803856,3880668,5931133,5097196,3913401,5247272,1191209,1359127,2546269,3528772,2899478,2721280,3485727,3326147,2248432,1758532,1888012,2233226,2406403,2164780,2343633,2002235,2342609,3040887,4142505
11,COGS and Expenses,1200000,4400000,7600000,8275451,7180209,8641401,13086950,14443345,9810912,10084139,1561396,5485734,8509258,8343598,2899478000,9792695,12046307,10244864,8850796,8852590,8271990,8619408,8401260,7488195,6784858,6160643,6765142,3040887,4142505
12,Interest Income ,- -,- -,- -,102180,- -,40287,- -,21163,18508,1088,- -,- -,66773,22969,255,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,786,37
