,https://roic.ai/company/SGRP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,104800000,119900000,128200000,121800000,116525000,109529000,70891000,69612000,64859000,51370000,51586000,57316000,60716000,69611000,57549000,63154000,73524000,102766000,111959000,122021000,119279000,134324000,181381000,229191000,252876000,230517000,255719000
2,COGS,81200000,94900000,119800000,105400000,81288000,72970000,40883000,40331000,42338000,33644000,31939000,37463000,41468000,48688000,40019000,42165000,51028000,75531000,84361000,91671000,90015000,104781000,144601000,184904000,203626000,185329000,208197000
3,Gross Profit,23600000,25000000,8400000,16400000,35237000,36559000,30008000,29281000,22521000,17726000,19647000,19853000,19248000,20923000,17530000,20989000,22496000,27235000,27598000,30350000,29264000,29543000,36780000,44287000,49250000,45188000,47522000
4,Gross Profit Ratio,0.2252,0.2085,0.0655,0.1346,0.3024,0.3338,0.4233,0.4206,0.3472,0.3451,0.3809,0.3464,0.3170,0.3006,0.3046,0.3323,0.3060,0.2650,0.2465,0.2487,0.2453,0.2199,0.2028,0.1932,0.1948,0.1960,0.1858
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36869000,33336000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",17100000,19200000,20700000,20000000,28830000,30415000,19380000,18804000,20967000,20222000,17561000,19831000,20466000,18514000,16127000,17140000,18542000,22061000,23198000,25308000,24094000,25241000,30564000,38449000,36869000,33336000,36778000
9,Other Expenses,600000,500000,1000000,1100000,2182000,3564000,2682000,1844000,1529000,9540000,1031000,746000,768000,939000,1081000,1018000,1069000,1167000,1496000,1753000,1905000,2100000,2126000,2109000,2190000,- -,- -
10,Operating Expenses,17700000,19700000,21700000,21100000,31012000,33979000,22062000,20648000,22496000,29762000,18592000,20577000,21234000,19453000,17208000,18158000,19611000,23228000,24694000,27061000,25999000,27341000,32690000,40558000,39059000,33336000,36778000
11,COGS and Expenses,98900000,114600000,141500000,126500000,112300000,106949000,62945000,60979000,64834000,63406000,50531000,58040000,62702000,68141000,57227000,60323000,70639000,98759000,109055000,118732000,116014000,132122000,177291000,225462000,242685000,218665000,244975000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,2126000,- -,- -,269000,- -,191000,237000,- -,- -,178000,310000,197000,129000,171000,158000,214000,133000,337000,1095000,1046000,690000,585000
14,Depreciation and Amortization,600000,500000,1000000,1100000,2182000,3564000,3847000,1844000,1529000,1399000,1031000,746000,768000,939000,1081000,1018000,1069000,1167000,1496000,1753000,1905000,2100000,2126000,2109000,3083000,2130000,3203000
15,EBITDA,5900000,6700000,-16900000,-3100000,4835000,6934000,5256000,10140000,1317000,-10016000,2342000,461000,-1619000,1573000,1930000,3758000,3842000,4776000,3899000,4231000,3830000,2847000,4517000,3055000,10126000,12094000,4117000
