,https://roic.ai/company/GSMG,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,33237000,- -,- -,123763000,153012000
2,COGS,19443000,- -,- -,38481000,34944000
3,Gross Profit,13794000,- -,- -,85282000,118068000
4,Gross Profit Ratio,0.4150,- -,- -,0.6891,0.7716
5,Research and Development Exp.,166000,- -,- -,691000,920000
6,General and Administrative Exp.,1698000,- -,- -,10095000,3341000
7,Selling and Marketing Exp.,1656000,- -,- -,43827000,77520000
8,"Selling, General and Administrative Exp.",3354000,- -,- -,53922000,80861000
9,Other Expenses,- -,6966000,7037000,- -,- -
10,Operating Expenses,3520000,6966000,7037000,54613000,81781000
11,COGS and Expenses,22963000,-1609140,-3278280,93094000,116725000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),45000,- -,- -,282000,513000
14,Depreciation and Amortization,156000,- -,- -,3357000,2516000
15,EBITDA,10430000,1609140,3278280,34588000,39292000
16,EBITDA ratio,0.3138,Infinity,Infinity,0.2795,0.2568
17,Operating Income,10274000,13483000,26839000,30669000,36287000
18,Operating Income ratio,0.3091,Infinity,Infinity,0.2478,0.2372
19,Total Other Income Expenses (Gains),-45000,-11873860,-23560720,249000,41000
20,Income Before Tax,10229000,1609140,3278280,30918000,36328000
21,Income Before Tax Ratio,0.3078,Infinity,Infinity,0.2498,0.2374
22,Income Tax expense (Gain),-789000,- -,- -,1673000,976000
23,Net Income,11018000,1609140,3278280,29276000,35287000
24,Net Income ratio,0.3315,Infinity,Infinity,0.2365,0.2306
25,EPS,0.22,0.05,0.53,0.54,1.13
26,EPS Diluted,0.22,0.05,0.53,0.50,1.13
27,Weighted Average Shares Outstanding,49767866,31146630,49767866,53844237,31287510
28,Weighted Average Shares Outstanding Diluted,49767866,31146630,49767866,59126237,31287510
