,https://roic.ai/company/BOXL,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,2902856,3377280,20371826,25743612,37841277,33030357,54890854,185177000
2,COGS,2236652,2276993,12959749,19329831,29188108,24088639,45022788,138652000
3,Gross Profit,666204,1100287,7412077,6413781,8653169,8941718,9868066,46525000
4,Gross Profit Ratio,0.2295,0.3258,0.3638,0.2491,0.2287,0.2707,0.1798,0.2512
5,Research and Development Exp.,- -,208161,1008433,465940,671653,1229480,1418898,1826000
6,General and Administrative Exp.,1733010,2942061,7689898,13086120,14978079,15771187,21157284,47270000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1733010,2942061,7689898,13086120,14978079,15771187,21157284,47270000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1733010,3150222,8698331,13552060,15649732,17000667,22576182,49096000
11,COGS and Expenses,3969662,5427215,21658080,32881891,44837840,41089306,67598970,187748000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,841788,1793610,2814908,3382000
14,Depreciation and Amortization,- -,- -,353386,747208,885699,908985,1626000,- -
15,EBITDA,-1086893,-2259114,-1708597,-6549901,-5450396,-6699483,-12532813,-7110000
16,EBITDA ratio,-0.3744,-0.6689,-0.0839,-0.2544,-0.1440,-0.2028,-0.2283,-0.0384
17,Operating Income,1066806,2049935,1286254,- -,-6996563,-8058949,-12708000,-2571000
18,Operating Income ratio,0.3675,0.6070,0.0631,- -,-0.1849,-0.2440,-0.2315,-0.0139
19,Total Other Income Expenses (Gains),-2153699,-4309049,-3348237,-158830,-181320,-1343129,-4265721,-7921000
20,Income Before Tax,-1086893,-2259114,-2061983,-7297109,-7177883,-9402078,-16973721,-10492000
21,Income Before Tax Ratio,-0.3744,-0.6689,-0.1012,-0.2835,-0.1897,-0.2846,-0.3092,-0.0567
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-821175,3310000
23,Net Income,-1086893,-2259114,-2061983,-7297109,-7177883,-9402078,-16152546,-13802000
24,Net Income ratio,-0.3744,-0.6689,-0.1012,-0.2835,-0.1897,-0.2846,-0.2943,-0.0745
