,https://roic.ai/company/CNTG,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,27669000,31689000,40478000,48780000,128381000,189923000
2,COGS,12856000,14939000,19941000,26005000,86378000,161765000
3,Gross Profit,14813000,16750000,20537000,22775000,42003000,28158000
4,Gross Profit Ratio,0.5354,0.5286,0.5074,0.4669,0.3272,0.1483
5,Research and Development Exp.,5885000,6396000,6300000,9590000,14935000,19297000
6,General and Administrative Exp.,8888000,9498000,18610000,23160000,37665000,44790000
7,Selling and Marketing Exp.,5364000,5897000,7474000,9254000,7580000,9860000
8,"Selling, General and Administrative Exp.",14252000,15395000,26084000,32414000,45245000,54650000
9,Other Expenses,-923000,-511000,-2136000,109000,-2219000,-970000
10,Operating Expenses,19214000,21280000,30248000,42113000,57961000,72977000
11,COGS and Expenses,32070000,36219000,50189000,68118000,144339000,234742000
12,Interest Income ,26000,14000,33000,16000,6000,3000
13,Interest Expense (Gain),829000,1021000,1075000,2029000,1038000,851000
14,Depreciation and Amortization,2085000,3237000,5175000,6579000,15128000,21291000
15,EBITDA,-2853000,-1204000,-5398000,-12089000,-4931000,-24734000
16,EBITDA ratio,-0.1031,-0.0380,-0.1334,-0.2478,-0.0384,-0.1302
17,Operating Income,-4937000,-4455000,-10606000,-18684000,-19703000,-46028000
18,Operating Income ratio,-0.1784,-0.1406,-0.2620,-0.3830,-0.1535,-0.2424
19,Total Other Income Expenses (Gains),-830000,-1007000,-1042000,-2013000,-1394000,-848000
20,Income Before Tax,-5767000,-5462000,-11648000,-20697000,-21097000,-46876000
21,Income Before Tax Ratio,-0.2084,-0.1724,-0.2878,-0.4243,-0.1643,-0.2468
22,Income Tax expense (Gain),-408000,14000,-310000,158000,281000,-24000
23,Net Income,-5359000,-5476000,-11338000,-20855000,-21378000,-46852000
24,Net Income ratio,-0.1937,-0.1728,-0.2801,-0.4275,-0.1665,-0.2467
25,EPS,-0.27,-0.28,-0.57,-1.30,-1.02,-2.06
26,EPS Diluted,-0.27,-0.28,-0.57,-1.30,-1.02,-2.06
27,Weighted Average Shares Outstanding,19861340,19861340,19861340,16409285,20909673,22437301
28,Weighted Average Shares Outstanding Diluted,19861340,19861340,19861340,16409285,20909673,22437301
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,3157000,9222000,41095000,48156000,13380000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3157000,9222000,41095000,48156000,13380000
34,Net Receivables,- -,6992000,13071000,19359000,29199000,24337000
35,Inventory,- -,779000,1346000,1809000,11405000,3869000
36,Other Current Assets,- -,2512000,5125000,5846000,8286000,9891000
37,Total Current Assets,- -,13440000,28764000,68109000,97046000,51477000
38,PP&E,- -,33837000,39115000,33308000,38710000,27051000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,7480000,8795000,14145000,12407000,9194000
41,Intangible Assets,- -,7480000,8795000,14145000,12407000,9194000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,729000,- -,1948000,1967000,2972000
45,Total Non-Current Assets,- -,42046000,47910000,49401000,53084000,39217000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,55486000,76674000,117510000,150130000,90694000
48,Accounts Payable,- -,5289000,5429000,8554000,31736000,11252000
49,Short-Term Debt,- -,15490000,5052000,7323000,6020000,7224000
50,Tax Payable,- -,86000,10000,- -,58000,178000
51,Deferred Revenue,- -,- -,- -,- -,1342000,1368000
52,Other Current Liabilities,- -,3029000,13802000,13123000,18020000,19652000
53,Total Current Liabilities,- -,23808000,24283000,29000000,57118000,39496000
54,Long-Term Debt,- -,3851000,14627000,19647000,18078000,15588000
55,Deferred Revenue,- -,- -,- -,- -,8950000,8028000
56,Deferred Tax Liabilities,- -,397000,- -,- -,207000,79000
57,Other Non-Current Liabilities,- -,11076000,11240000,9941000,- -,- -
58,Total Non-Current Liabilities,- -,15324000,25867000,29588000,27235000,23695000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,3504000,3062000,21704000,21205000,18997000
61,Total Liabilities,- -,39132000,50150000,58588000,84353000,63191000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,262000,322000,2383000,2654000,2708000
64,Retained Earnings,- -,-8993000,-19964000,-40622000,-62888000,-109295000
65,Other Comprehensive Income/Loss,- -,25467000,46923000,98099000,125916000,133897000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,16736000,27281000,59860000,65682000,27310000
68,Total Liabilities And Stockholders Equity,- -,55868000,77431000,118448000,150035000,90501000
69,Minority Interest,- -,-382000,-757000,-938000,95000,193000
70,Total Liabilities & Equity,- -,55486000,76674000,117510000,150130000,90694000
71,SEC Link,undefined,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-5359000,-5476000,-11338000,-20855000,-21378000,-46876000
74,Depreciation and Amortization,2085000,3237000,5175000,6579000,15128000,21291000
75,Deferred Income Tax,- -,- -,- -,1200000,- -,- -
76,Stock Based Compensation,964000,894000,5521000,6418000,5658000,8035000
77,Change in Working Capital,3868000,-3920000,-3701000,-900000,4556000,-7092000
78,Accounts Receivable,1161000,-2430000,-3909000,-5692000,- -,- -
79,Inventory,340000,-412000,-567000,-463000,-9596000,5741000
80,Accounts Payable,2041000,-728000,140000,3125000,23996000,-20484000
81,Other Working Capital,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-168000,929000,-234000,-217000,4498000,2903000
83,Cash Provided by Operating Activities,1390000,-4336000,-4577000,-7775000,8462000,-21739000
84,CAPEX,-11467000,-18035000,-11769000,-7576000,-16547000,-5702000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-948000,4410000,16000,14471000,-6261000,-2445000
89,Cash Used for Investing Activites,-8687000,-11154000,-8694000,14175000,-16151000,-5360000
90,Debt Repayment,-2146000,-10329000,-3293000,-15118000,-7778000,-4708000
91,Common Stock Issued,2214000,19034000,20073000,41899000,22430000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7799000,8977000,2556000,-1308000,190000,1505000
95,Cash Used/Provided by Financing Activities,7867000,17682000,19336000,25473000,14842000,-3203000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-92000,-36000
97,Net Change In Cash,570000,2192000,6065000,31873000,7061000,-30338000
98,Cash at the End of Period,965000,3157000,9222000,41095000,48156000,17818000
99,Cash at the Beginning of Period,395000,965000,3157000,9222000,41095000,48156000
100,Free Cash Flow,-10077000,-22371000,-16346000,-15351000,-8085000,-27441000
101,SEC Link,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
