,https://roic.ai/company/PROF,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,3900239,1910588,4231569,7304000,6873000
2,COGS,- -,- -,- -,2411299,1305772,1808053,3830000,3921000
3,Gross Profit,- -,- -,- -,1488940,604816,2423516,3474000,2952000
4,Gross Profit Ratio,- -,- -,- -,0.3818,0.3166,0.5727,0.4756,0.4295
5,Research and Development Exp.,2306683,3701726,7431510,7664565,7536830,9543317,9912000,15277000
6,General and Administrative Exp.,1949678,4385741,4204837,4719853,4887354,5878319,7565000,10314000
7,Selling and Marketing Exp.,- -,- -,- -,3121912,3003860,2135119,4860000,7652000
8,"Selling, General and Administrative Exp.",1949678,4385741,4204837,7841765,7891214,8013438,12425000,17966000
9,Other Expenses,82396,0,1570,3646,3755,- -,- -,- -
10,Operating Expenses,4338757,8087467,11637917,15509975,15431799,17556755,22337000,33243000
11,COGS and Expenses,4338757,8087467,11637917,17921274,16737571,19364808,26167000,37164000
12,Interest Income ,8527,99237,117252,101576,355196,368461,692000,205000
13,Interest Expense (Gain),143014,4053684,615869,1071829,755375,1048733,543000,67000
14,Depreciation and Amortization,84896,85772,139133,693311,1229369,1541659,1538000,1879000
15,EBITDA,-6180707,-9385667,-11381533,-13143981,-13089964,-12719135,-19496000,-28648000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-3.3700,-6.8513,-3.0058,-2.6692,-4.1682
17,Operating Income,-4338757,-11222897,-15640414,-17626867,-14826983,15133240,-18863000,-30291000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-4.5194,-7.7604,3.5763,-2.5826,-4.4072
19,Total Other Income Expenses (Gains),-3598259,-1101046,3503880,2717747,-247725,-30442767,-2714000,-303000
20,Income Before Tax,-7937016,-12323943,-12136534,-14909120,-15074708,-15309527,-21577000,-30594000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-3.8226,-7.8901,-3.6179,-2.9541,-4.4513
22,Income Tax expense (Gain),- -,-523223,10456,58945,169441,148418,45000,105000
23,Net Income,-8204409,-11800720,-12146990,-14968065,-15244150,-15457945,-21622000,-30699000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-3.8377,-7.9788,-3.6530,-2.9603,-4.4666
25,EPS,-37.90,-4.97,-2.90,-2.47,-1.54,-1.39,-1.25,-1.50
26,EPS Diluted,-37.90,-4.97,-2.90,-2.47,-1.54,-1.39,-1.25,-1.50
27,Weighted Average Shares Outstanding,216676,2368382,4151014,6140414,10039564,11094643,17294653,20466000
28,Weighted Average Shares Outstanding Diluted,216676,2368382,4151014,6140414,10039564,11094643,17294653,20466000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1628808/000110465920028531/0001104659-20-028531-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,1470903,7582760,15499636,8829601,22530475,14715331,83913000,67152000
32,Short-Term Investments,- -,7206220,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1470903,14788980,15499636,8829601,22530475,14715331,83913000,67152000
34,Net Receivables,1375539,191310,394566,3571895,2324554,3290389,7431000,1412000
35,Inventory,- -,- -,310113,1138097,2666331,3647376,5331000,7413000
36,Other Current Assets,-1375539,100386,518495,458074,319282,1022469,1067000,1148000
37,Total Current Assets,1470903,15080677,16722810,13997667,27840642,22675564,97742000,77125000
38,PP&E,178628,165103,709046,1372684,886439,2207889,2283000,1904000
39,Goodwill,- -,- -,- -,2711066,2503003,2609847,2678000,2689000
40,Intangible Assets,35000,23420,195436,4089064,2946749,2395232,1898000,1435000
41,Intangible Assets,35000,23420,195436,6800130,5449752,5005079,4576000,4124000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-0,0,- -,0,- -,3622000
45,Total Non-Current Assets,- -,188523,904482,8172814,6336192,7212968,6859000,9650000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1470903,15269200,17627292,22170480,34176833,29888532,104601000,86775000
48,Accounts Payable,9183,- -,- -,4041117,2872440,3010950,3382000,3180000
49,Short-Term Debt,830050,206602,2140503,3738540,983519,4136316,5144461,250000
50,Tax Payable,- -,- -,- -,57876,218316,12067,- -,- -
51,Deferred Revenue,- -,- -,192912,191901,229480,501246,358000,477000
52,Other Current Liabilities,-736501,706410,1347209,557423,1699573,530018,-4075461,248000
53,Total Current Liabilities,102732,913012,3680624,8528981,5785012,8178530,4809000,4155000
54,Long-Term Debt,1949422,4007144,2798025,352982,7794000,6771798,- -,1127000
55,Deferred Revenue,- -,- -,- -,- -,278293,635232,1078000,875000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,286674,110604,2043079,770520,14549,1364000,- -
58,Total Non-Current Liabilities,1949422,4293818,2908630,2396061,8842814,7421579,2442000,2002000
59,Other Liabilities,- -,8587636,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,1825471,1676000,1377000
61,Total Liabilities,102732,5206830,6589254,10925042,14627826,15600109,7251000,6157000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1543942,48341359,61954228,78223276,88788356,99724314,211527000,219579000
64,Retained Earnings,-453150,-39721812,-53157005,-71785823,-81520716,-100335683,-129994000,-160693000
65,Other Comprehensive Income/Loss,-355596,-340221,8419,-46067,-21074,-89712,-2016000,4746000
66,Other Total Stockholders Equity,632977,1783043,2232396,4854052,12302441,14989503,17833000,16986000
67,Total Stockholders Equity,1368172,10062370,11038038,11245439,19549007,14288423,97350000,80618000
68,Total Liabilities And Stockholders Equity,1470903,15269200,17627292,22170480,34176833,29888532,104601000,86775000
69,Minority Interest,0,- -,-0,0,- -,0,- -,- -
70,Total Liabilities & Equity,1470903,15269200,17627292,22170480,34176833,29888532,104601000,86775000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1628808/000110465920028531/0001104659-20-028531-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-8204409,-11800720,-12146990,-14968065,-15244150,-15457945,-21622000,-30699000
74,Depreciation and Amortization,84896,85772,139133,693311,1229369,1541659,1538000,1879000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,190333,464609,745151,1064278,797485,1283689,3018000,7205000
77,Change in Working Capital,- -,311390,-151931,-309707,-660232,-3128351,-5576000,-877000
78,Accounts Receivable,- -,- -,- -,-3169242,1149421,-1050337,-4028000,1996000
79,Inventory,- -,- -,-310113,-806627,-1615578,-867229,-2141000,-2491000
80,Accounts Payable,- -,-65161,577175,2678867,-857056,-18497,102000,-356000
81,Other Working Capital,- -,- -,192912,814207,570670,-310128,328000,65000
82,Other Non-Cash Items,5050031,5995330,625063,1707491,445637,426873,2068000,132000
83,Cash Provided by Operating Activities,-2879149,-4943619,-10789574,-11812692,-13431890,-15334076,-20574000,-22360000
84,CAPEX,-61283,-120350,-808842,-369502,- -,-191385,-350000,-593000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-7206220,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,834145,7273883,-450783,- -,-191385,-350000,-561000
89,Cash Used for Investing Activites,-61283,-6492426,6631080,-793183,- -,-191385,-350000,-593000
90,Debt Repayment,-500000,-556500,-213303,-2287913,-4296153,-1263151,-9606000,-386000
91,Common Stock Issued,- -,17301291,12946953,7952286,25329839,8803694,85523000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3241031,1981085,-904195,-795944,6776713,-791973,11516000,6334000
95,Cash Used/Provided by Financing Activities,2741031,18725875,11829456,4868429,27810398,6748570,87433000,5948000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,2604000,244000
97,Net Change In Cash,- -,7289831,7670963,-7737446,14378509,-8776890,69113000,-16761000
98,Cash at the End of Period,- -,7582760,15499636,8829601,22530475,14715331,83913000,67152000
99,Cash at the Beginning of Period,605896,292929,7828673,16567047,8151967,23492221,14800000,83913000
100,Free Cash Flow,-2940432,-5063970,-11598416,-12182194,-13431890,-15525460,-20924000,-22953000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1628808/000110465920028531/0001104659-20-028531-index.html,- -,- -
102,false,,,,,,,,
