,https://roic.ai/company/SKVI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,12269,200000,37629,55800,183690,193988,519972,850280,691452,777685,767600,287269,229175,180185,270298,66696,54923,174635,108890,629027,69347,43166,275556,663426
2,COGS,4001,- -,-59408,8285,50131,136125,96781,140399,77465,140875,23122,51462,19461,1680,4627,2173,26485,56898,37055,42313,20701,17551,-122923,21239
3,Gross Profit,8268,- -,97037,47515,133559,57863,423191,709881,613987,636810,744478,235807,209714,178505,265671,64523,28438,117737,71835,586714,48646,25615,398479,642187
4,Gross Profit Ratio,0.6739,- -,2.5788,0.8515,0.7271,0.2983,0.8139,0.8349,0.8880,0.8189,0.9699,0.8209,0.9151,0.9907,0.9829,0.9674,0.5178,0.6742,0.6597,0.9327,0.7015,0.5934,1.4461,0.9680
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1983779,2070494,1608036,968019,1350420,1537808,786852,1154252,1140276,855891,896450,607609,525776,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,1983779,2070494,1608036,968019,1350420,1537808,786852,1154252,1140276,855891,896450,607609,525776,- -,454107
9,Other Expenses,1265440,3000000,1978577,1606207,989215,1456087,1228163,1743139,2711783,18176,17537,25755,41936,56313,51842,37198,40421,58008,57648,54423,38972,39616,529221,17939
10,Operating Expenses,1265440,3000000,1978577,1606207,989215,1456087,1228163,1743139,2711783,2001955,2088031,1633791,1009955,1406733,1589650,824050,1194673,1198284,913539,950873,646581,565392,529221,472046
11,COGS and Expenses,1269441,3000000,1919169,1614492,1039346,1592212,1324944,1883538,2789248,2142830,2111153,1685253,1029416,1408413,1594277,826223,1221158,1255182,950594,993186,667282,582943,529221,493285
12,Interest Income ,- -,- -,- -,- -,- -,20,- -,- -,- -,- -,- -,17,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
