,https://roic.ai/company/JOAN,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , 
1,Revenue,2314300000,2324800000,2241200000,2762300000,2417600000
2,COGS,1130300000,1148300000,1135900000,1396100000,1204900000
3,Gross Profit,1184000000,1176500000,1105300000,1366200000,1212700000
4,Gross Profit Ratio,0.5116,0.5061,0.4932,0.4946,0.5016
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,943400000,951400000,977400000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",943400000,951400000,977400000,- -,1032900000
9,Other Expenses,78800000,76000000,77500000,1212000000,80100000
10,Operating Expenses,1022200000,1027400000,1054900000,1212000000,1113000000
11,COGS and Expenses,2152500000,2175700000,2190800000,2608100000,2317900000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),95400000,101100000,101900000,69000000,51200000
14,Depreciation and Amortization,78800000,76000000,77500000,80000000,80000
15,EBITDA,239700000,222700000,-355100000,389300000,120980000
16,EBITDA ratio,0.1036,0.0958,-0.1584,0.1409,0.0500
17,Operating Income,161800000,149100000,-436400000,154200000,99700000
18,Operating Income ratio,0.0699,0.0641,-0.1947,0.0558,0.0412
19,Total Other Income Expenses (Gains),-96300000,-103500000,-98100000,86100000,-30000000
20,Income Before Tax,65500000,45600000,-534500000,240300000,69700000
21,Income Before Tax Ratio,0.0283,0.0196,-0.2385,0.0870,0.0288
22,Income Tax expense (Gain),-31000000,10300000,12100000,28000000,13000000
23,Net Income,96500000,35300000,-546600000,212300000,56700000
24,Net Income ratio,0.0417,0.0152,-0.2439,0.0769,0.0235
25,EPS,2.39,0.87,-13.54,5.26,0.00
26,EPS Diluted,2.39,0.87,-13.54,5.26,0.00
27,Weighted Average Shares Outstanding,40371130,40371130,40371130,40371130,41744842
28,Weighted Average Shares Outstanding Diluted,40371130,40371130,40371130,40371130,43080708
