,https://roic.ai/company/MJNE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,2722,- -,- -,- -,108871,625864,9039,- -,8150,897696,822845
2,COGS,- -,- -,- -,- -,72859,123589,- -,- -,10000,1187723,1206960
3,Gross Profit,2722,- -,- -,- -,36012,502275,- -,- -,-1850,-290027,-384115
4,Gross Profit Ratio,1.0000,- -,- -,- -,0.3308,0.8025,- -,- -,-0.2270,-0.3231,-0.4668
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,25970,- -,13608,24958,1058569,257318,92600,270267,4194751,6758630,2979348
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,486018,15967,7900
8,"Selling, General and Administrative Exp.",25970,20058,13608,24958,1058569,257318,92600,270267,4680769,6774597,2987248
9,Other Expenses,- -,- -,- -,- -,38173,102526,- -,- -,123256,387479,453887
10,Operating Expenses,25970,- -,- -,- -,1096742,359844,- -,- -,4804025,7162076,3441135
11,COGS and Expenses,25970,20058,13608,24958,1169601,483433,93267,270267,4814025,9537522,4648095
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,598,10540,18345
13,Interest Expense (Gain),1622,2942,4249,4200,104350,254212,- -,64521,15151,127656,167188
14,Depreciation and Amortization,2193,1659,2084,1427,38173,102526,667,- -,123256,150007,668981
15,EBITDA,-21055,-18399,-11524,-23531,-1022557,244957,95216,-270267,-4869521,-7994189,-3128446
16,EBITDA ratio,-7.7351,-Infinity,-Infinity,-Infinity,-9.3924,0.3914,10.5339,-Infinity,-597.4872,-8.9052,-3.8020
17,Operating Income,-23248,-20058,-13608,-24958,-1060730,142431,-84228,-270267,-4805875,-7452103,-3825250
18,Operating Income ratio,-8.5408,-Infinity,-Infinity,-Infinity,-9.7430,0.2276,-9.3183,-Infinity,-589.6779,-8.3014,-4.6488
19,Total Other Income Expenses (Gains),- -,- -,-4249,-7988,-104350,-254212,95,-64521,-202053,-819749,-147878
20,Income Before Tax,- -,- -,-17857,-32946,-1165080,-111781,-84133,-334788,-5007928,-8271852,-3973128
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-10.7015,-0.1786,-9.3078,-Infinity,-614.4697,-9.2145,-4.8285
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-24870,-23000,-17857,-32946,-1165080,-111781,94549,-334788,-5007928,-8271852,-3964615
24,Net Income ratio,-9.1367,-Infinity,-Infinity,-Infinity,-10.7015,-0.1786,10.4601,-Infinity,-614.4697,-9.2145,-4.8182
25,EPS,0.00,0.00,-0.00,-0.00,-0.09,-0.01,0.01,-0.01,-0.12,-0.14,-0.06
26,EPS Diluted,0.00,0.00,-0.00,-0.00,-0.09,-0.01,0.01,-0.01,-0.12,-0.14,-0.06
27,Weighted Average Shares Outstanding,12193315,12193315,12196551,12218315,13457822,13958592,14027939,53149168,64677529,57640807,65882993
28,Weighted Average Shares Outstanding Diluted,12193315,12193315,12196551,12218315,13457822,13958592,14027939,53149168,64677529,57640807,65882993
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1456857/000149315220023268/0001493152-20-023268-index.htm,https://www.sec.gov/Archives/edgar/data/1456857/000149315221008836/0001493152-21-008836-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,412,290,299,478,175792,303368,463773,2513863,56656,22932,117536
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,150000
33,Cash and Short-Term Investments,412,290,299,478,175792,303368,463773,2513863,56656,172932,267536
34,Net Receivables,1080,- -,- -,- -,- -,- -,30187,- -,- -,11675,9461
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,1587852,- -,- -
36,Other Current Assets,303,282,259,- -,73377,17450,61281,5500,818776,632971,713782
37,Total Current Assets,1795,572,558,478,249169,320818,555241,2519363,2463284,817578,990779
38,PP&E,1905,5524,4956,- -,2955266,3749883,1222,17535,2628951,4574082,6134856
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,300000,- -,300000,300000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,300000,300000,300000,300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,150000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,209481,212127,3807782,42967,138634,150000,64817
45,Total Non-Current Assets,1905,5524,4956,- -,3164747,3962010,3809004,360502,3217585,5024082,6499673
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3700,6096,5514,478,3413916,4282828,4364245,2879865,5680869,5841660,7490452
48,Accounts Payable,6331,8834,6865,7665,- -,- -,130889,70382,- -,1076145,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1249561,1727144
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,386416,- -,538921
52,Other Current Liabilities,- -,- -,- -,43673,195582,118983,2724997,900000,932107,678604,3711217
53,Total Current Liabilities,6331,8834,6865,51338,195582,118983,2855886,970382,1318523,3004310,5977282
54,Long-Term Debt,27838,50931,68925,52362,1800000,2725000,- -,- -,1036101,- -,2811298
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,102045,95203,70168,104565,204026,3060568,- -
58,Total Non-Current Liabilities,27838,50931,68925,52362,1902045,2820203,70168,104565,1240127,3060568,2811298
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,2368646,2131041
61,Total Liabilities,34169,59765,75790,103700,2097627,2939186,2926054,1074947,2558650,6064878,8788580
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,12193,12193,12218,12218,13879,14028,14028,62675,70894,65436,68613
64,Retained Earnings,-98627,-121827,-139684,-172630,-1337710,-1449491,-1354942,-362521,-7870449,- -,-20002960
65,Other Comprehensive Income/Loss,- -,-20308,-22238,- -,-38173,-140699,-778,- -,-123256,- -,- -
66,Other Total Stockholders Equity,55965,76273,79428,57190,2678293,2919804,2779883,2104764,11045030,2149397,18748688
67,Total Stockholders Equity,-30469,-53669,-70276,-103222,1316289,1343642,1438191,1804918,3122219,2214833,-1185659
68,Total Liabilities And Stockholders Equity,3700,6096,5514,478,3413916,4282828,4364245,2879865,5680869,8279711,7602921
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2438051,-112469
70,Total Liabilities & Equity,3700,6096,5514,478,3413916,4282828,4364245,2879865,5680869,5841660,7490452
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1456857/000149315220023268/0001493152-20-023268-index.htm,https://www.sec.gov/Archives/edgar/data/1456857/000149315221008836/0001493152-21-008836-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-24870,-23000,-17857,-32946,-1165080,-111781,94549,-334788,-5007928,-8271852,-3964615
74,Depreciation and Amortization,2193,1659,2084,1427,38173,102526,667,- -,123256,150007,668981
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,862476,139134,- -,- -,- -,- -,41122
77,Change in Working Capital,4317,-3726,1955,-44553,104447,148248,-2502480,3849626,-404220,-3331493,-2799771
78,Accounts Receivable,54,1080,- -,- -,- -,- -,- -,- -,- -,160356,-16131
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-1587852,1271402,- -
80,Accounts Payable,2663,5245,-1968,800,- -,- -,- -,66132,- -,446224,- -
81,Other Working Capital,-4536,-8262,-6307,-50860,53587,201835,-2300645,1548981,1144761,-2186732,-4986503
82,Other Non-Cash Items,- -,10051,-3923,53341,-67311,-167774,2571643,-3637291,-503650,11712619,5867918
83,Cash Provided by Operating Activities,-18360,-15016,-17741,-22731,-227295,110353,164379,-122453,-5792542,259281,-186365
84,CAPEX,-2202,-5256,-1494,- -,- -,-2000,- -,-317535,-2734672,-1116643,-35477
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -
