,https://roic.ai/company/RSKIA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13100000,13485000,13914000,13831000,12895000,12783000,13113000,14254000,13419000,11444000,8822000,7821000,8858000,10285000,10510000,11025000,11903000,11240000,10904000,11931000,14126000,14809000,18505000
2,COGS,6700000,6634000,7321000,6626000,6327000,6190000,6230000,6788000,6506000,5755000,4646000,4324000,4667000,4760000,5089000,4902000,5466000,4977000,5224000,6316000,7326000,7404000,9176000
3,Gross Profit,6400000,6851000,6593000,7205000,6568000,6593000,6883000,7466000,6913000,5689000,4176000,3497000,4191000,5525000,5421000,6123000,6437000,6263000,5680000,5615000,6800000,7405000,9329000
4,Gross Profit Ratio,0.4885,0.5080,0.4738,0.5209,0.5093,0.5158,0.5249,0.5238,0.5152,0.4971,0.4734,0.4471,0.4731,0.5372,0.5158,0.5554,0.5408,0.5572,0.5209,0.4706,0.4814,0.5000,0.5041
5,Research and Development Exp.,100000,163000,93000,73000,62000,71000,75000,79000,69000,72000,- -,- -,- -,54000,71000,56000,- -,92000,73000,90000,74000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,878000,828000,874000,822000,831000,747000,923000,872000,932000,1235000,1327000,1397000,1544000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1813000,1575000,1552000,1612000,1821000,1806000,1960000,1937000,1892000,1888000,2167000,2278000,2479000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2691000,2403000,2426000,2434000,2652000,2553000,2883000,2809000,2824000,3123000,3494000,3675000,4023000
9,Other Expenses,3400000,3467000,3385000,3363000,3147000,3093000,3171000,3288000,3185000,2804000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90000,-74000,- -,- -
10,Operating Expenses,3500000,3630000,3478000,3436000,3209000,3164000,3246000,3367000,3254000,2876000,2691000,2403000,2426000,2488000,2723000,2609000,2883000,2901000,2897000,3123000,3494000,3675000,4023000
11,COGS and Expenses,10200000,10264000,10799000,10062000,9536000,9354000,9476000,10155000,9760000,8631000,7337000,6727000,7093000,7248000,7812000,7511000,8349000,7878000,8121000,9439000,10820000,11079000,13199000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,768000,712000,666000,735000,789000,668000,820000,867000,774000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -,- -,- -,3000,8000,3000,- -,- -,- -,1000,1000,- -
14,Depreciation and Amortization,200000,208000,265000,261000,263000,235000,206000,184000,180000,170000,173000,167000,153000,160000,174000,156000,149000,182000,187000,257000,354000,373000,401000
15,EBITDA,3500000,3759000,3809000,3249000,3876000,4131000,4113000,4400000,4723000,3707000,1110000,2399000,2761000,4014000,4125000,4733000,4837000,4499000,3715000,3803000,4703000,3039000,14847000
16,EBITDA ratio,0.2672,0.2788,0.2738,0.2349,0.3006,0.3232,0.3137,0.3087,0.3520,0.3239,0.1258,0.3067,0.3117,0.3903,0.3925,0.4293,0.4064,0.4003,0.3407,0.3187,0.3329,0.2052,0.8023
17,Operating Income,2900000,3221000,3115000,2769000,3359000,3429000,3637000,4099000,3659000,2813000,1485000,1094000,1765000,3037000,2698000,3514000,3554000,3362000,2783000,2492000,3306000,3730000,5306000
18,Operating Income ratio,0.2214,0.2389,0.2239,0.2002,0.2605,0.2682,0.2774,0.2876,0.2727,0.2458,0.1683,0.1399,0.1993,0.2953,0.2567,0.3187,0.2986,0.2991,0.2552,0.2089,0.2340,0.2519,0.2867
19,Total Other Income Expenses (Gains),400000,330000,429000,219000,254000,467000,270000,117000,884000,724000,-550000,1138000,843000,817000,1250000,1055000,1131000,955000,745000,1054000,1042000,-1065000,9140000
20,Income Before Tax,3300000,3551000,3544000,2988000,3613000,3896000,3907000,4216000,4543000,3537000,935000,2232000,2608000,3854000,3948000,4569000,4685000,4317000,3528000,3546000,4348000,2665000,14446000
21,Income Before Tax Ratio,0.2519,0.2633,0.2547,0.2160,0.2802,0.3048,0.2979,0.2958,0.3385,0.3091,0.1060,0.2854,0.2944,0.3747,0.3756,0.4144,0.3936,0.3841,0.3236,0.2972,0.3078,0.1800,0.7807
