,https://roic.ai/company/THST,2011,2012,2013,2014,2015,2016,2017,2018
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,5402045,12693395,17162000,22057000,26626000,25783000,5960000,6471000
2,COGS,3900942,9618065,11526000,14628000,17885000,17496000,2153000,2502000
3,Gross Profit,1501103,3075330,5636000,7429000,8741000,8287000,3807000,3969000
4,Gross Profit Ratio,0.2779,0.2423,0.3284,0.3368,0.3283,0.3214,0.6388,0.6134
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1435908,1194353,2272000,3169000,3432000,3062000,2985000,2338000
7,Selling and Marketing Exp.,595226,1387321,3435000,5012000,7035000,5286000,4986000,1509000
8,"Selling, General and Administrative Exp.",2031134,2581674,5707000,8181000,10467000,8348000,7971000,3847000
9,Other Expenses,- -,- -,- -,490000,- -,- -,- -,- -
10,Operating Expenses,2031134,2581674,5707000,8671000,10467000,8348000,7971000,3847000
11,COGS and Expenses,5932076,12199739,17233000,23296000,28837000,25861000,22347000,6365000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),401134,463339,356000,170000,286000,317000,331000,102000
14,Depreciation and Amortization,86092,108492,479000,540000,685000,707000,824000,929000
15,EBITDA,-332789,599093,408000,1000,-388000,782000,1106000,385000
16,EBITDA ratio,-0.0616,0.0472,0.0238,0.0000,-0.0146,0.0303,0.1856,0.0595
17,Operating Income,-418881,500601,-373000,-1239000,-2211000,-78000,-811000,106000
18,Operating Income ratio,-0.0775,0.0394,-0.0217,-0.0562,-0.0830,-0.0030,-0.1361,0.0164
19,Total Other Income Expenses (Gains),-401134,-473339,-246000,-226000,-397000,-468000,2026000,1864000
20,Income Before Tax,-820015,27262,-619000,-1465000,-2608000,-546000,1215000,1970000
21,Income Before Tax Ratio,-0.1518,0.0021,-0.0361,-0.0664,-0.0979,-0.0212,0.2039,0.3044
22,Income Tax expense (Gain),800,800,2000,-181000,2000,2000,2000,2000
23,Net Income,-820815,26462,- -,-528000,-1361000,-244000,-51000,-648000
24,Net Income ratio,-0.1519,0.0021,- -,-0.0239,-0.0511,-0.0095,-0.0086,-0.1001
25,EPS,-0.30,0.00,- -,-0.15,-0.35,-0.06,-0.01,-0.14
26,EPS Diluted,-0.30,0.00,- -,-0.15,-0.35,-0.06,-0.01,-0.14
27,Weighted Average Shares Outstanding,2700000,2700000,2700010,3621455,3862214,4155151,4377994,4470185
28,Weighted Average Shares Outstanding Diluted,2700000,2700000,2700010,3621455,3862214,4155151,4377994,4470185
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1564709/000114420414058406/0001144204-14-058406-index.html,https://www.sec.gov/Archives/edgar/data/1564709/000114420415056869/0001144204-15-056869-index.html,https://www.sec.gov/Archives/edgar/data/1564709/000114420416125710/0001144204-16-125710-index.html,https://www.sec.gov/Archives/edgar/data/1564709/000156459017019472/thst-10k_20170630.htm,https://www.sec.gov/Archives/edgar/data/1564709/000156459018024252/thst-10k_20180630.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,274422,167309,11367000,5567000,1578000,4043000,783000,278000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,274422,167309,11367000,5567000,1578000,4043000,783000,278000
34,Net Receivables,939086,1257697,2816000,3300000,2783000,2678000,- -,- -
35,Inventory,3567140,6852391,13222000,17179000,22080000,19918000,6277000,5826000
36,Other Current Assets,5350,344507,245000,1585000,829000,396000,16769000,18647000
37,Total Current Assets,4785998,8621904,27650000,27631000,27270000,27035000,23829000,24751000
38,PP&E,4388460,4400790,4700000,5553000,5743000,5583000,5353000,6320000
39,Goodwill,- -,- -,134000,134000,- -,- -,- -,- -
40,Intangible Assets,202842,316682,923000,722000,477000,887000,38000,38000
41,Intangible Assets,202842,316682,1057000,856000,477000,887000,38000,38000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,127000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,722573,743241,598000,288000,413000,- -,818000,73000
45,Total Non-Current Assets,5313875,5460713,6482000,6697000,6633000,6470000,6209000,6431000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10099873,14082617,34132000,34328000,33903000,33505000,30038000,31182000
48,Accounts Payable,904568,1512308,2123000,2746000,2969000,1351000,606000,409000
49,Short-Term Debt,3303113,3023594,7207000,9085000,9402000,10786000,7792000,11304000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,350262,1455261,1877000,504000,1885000,1958000,2429000,3977000
53,Total Current Liabilities,4557943,5991163,11207000,12335000,14256000,14095000,10827000,15690000
54,Long-Term Debt,2799168,2774629,3521000,3527000,3272000,3189000,3065000,52000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,127000,- -,363000,529000,63000,52000
57,Other Non-Current Liabilities,6283387,5943723,53000,- -,- -,- -,-63000,3183000
58,Total Non-Current Liabilities,9082555,8718352,3701000,3527000,3635000,3718000,3065000,3287000
59,Other Liabilities,- -,- -,- -,15454000,14016000,12930000,11841000,8547000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,74000,63000
61,Total Liabilities,13640498,14709515,14908000,24262000,24637000,23307000,19603000,20950000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2279399,3000,4000,4000,4000,4000,4000
64,Retained Earnings,-2897232,-2870770,-3467000,-3995000,-5356000,-5600000,-5651000,-6299000
65,Other Comprehensive Income/Loss,-519816,-759553,174000,-1386000,-1819000,-2142000,-2550000,-3376000
66,Other Total Stockholders Equity,- -,724026,10803000,15443000,16437000,17936000,18632000,19903000
67,Total Stockholders Equity,-3540625,-626898,7513000,10066000,9266000,10198000,10435000,10232000
68,Total Liabilities And Stockholders Equity,10099873,14082617,22421000,34328000,33903000,33505000,30038000,31182000
69,Minority Interest,- -,- -,11711000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10099873,14082617,34132000,34328000,33903000,33505000,30038000,31182000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1564709/000114420414058406/0001144204-14-058406-index.html,https://www.sec.gov/Archives/edgar/data/1564709/000114420415056869/0001144204-15-056869-index.html,https://www.sec.gov/Archives/edgar/data/1564709/000114420416125710/0001144204-16-125710-index.html,https://www.sec.gov/Archives/edgar/data/1564709/000156459017019472/thst-10k_20170630.htm,https://www.sec.gov/Archives/edgar/data/1564709/000156459018024252/thst-10k_20180630.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-820815,26462,- -,-528000,-1361000,-244000,-51000,-648000
74,Depreciation and Amortization,86092,108492,479000,540000,685000,707000,824000,929000
75,Deferred Income Tax,- -,- -,- -,-184000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,174000,436000,561000,375000,129000,375000
77,Change in Working Capital,-1274384,-2711693,-5701000,-6464000,-2684000,954000,-197000,307000
78,Accounts Receivable,-829206,-310511,-1558000,-484000,503000,-86000,746000,- -
79,Inventory,-1216967,-2779269,-6369000,-3957000,-5571000,2162000,-691000,402000
80,Accounts Payable,765877,607740,610000,-639000,982000,-1538000,643000,-197000
81,Other Working Capital,-30455,-102733,-124000,15296000,13028000,12965000,13002000,9061000
82,Other Non-Cash Items,268586,265891,-685000,-716000,-117000,-67000,-54000,-2148000
83,Cash Provided by Operating Activities,-1740521,-2310848,-5733000,-6916000,-2916000,1725000,651000,-1185000
84,CAPEX,-390106,-307846,-889000,-547000,-681000,-428000,-674000,-1910000
85,Acquisitions Net,- -,- -,-349000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,111150,-35121,-215000,-207000,-318000,-133000,-45000,2092000
89,Cash Used for Investing Activites,-278956,-300901,-1201000,-754000,-999000,-561000,-719000,182000
90,Debt Repayment,-1277539,-940163,-4430000,21000,-333000,-476000,-558000,-585000
91,Common Stock Issued,- -,- -,15146000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,1000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3520563,3444799,7418000,1848000,360000,1777000,-2634000,1085000
95,Cash Used/Provided by Financing Activities,2243024,2504636,18134000,1870000,27000,1301000,-3192000,500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,223547,-107113,11200000,-5800000,-3888000,2465000,-3260000,-503000
98,Cash at the End of Period,274422,167309,11367000,5570000,1679000,4043000,783000,280000
99,Cash at the Beginning of Period,50875,274422,167000,11370000,5567000,1578000,4043000,783000
100,Free Cash Flow,-2130627,-2618694,-6622000,-7672000,-3918000,1160000,-63000,-3109000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1564709/000114420414058406/0001144204-14-058406-index.html,https://www.sec.gov/Archives/edgar/data/1564709/000114420415056869/0001144204-15-056869-index.html,https://www.sec.gov/Archives/edgar/data/1564709/000114420416125710/0001144204-16-125710-index.html,https://www.sec.gov/Archives/edgar/data/1564709/000156459017019472/thst-10k_20170630.htm,https://www.sec.gov/Archives/edgar/data/1564709/000156459018024252/thst-10k_20180630.htm
102,false,,,,,,,,
