,https://roic.ai/company/BR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,1933300000,2137900000,2207500000,2149300000,2209200000,2166900000,2303500000,2430800000,2558000000,2694200000,2897000000,4142600000,4329900000,4362200000,4529000000,4993700000
2,COGS,1433000000,1588100000,1606400000,1574100000,1616400000,1617100000,1715100000,1767800000,1761400000,1828200000,1975900000,3109600000,3169600000,3131900000,3265100000,3570800000
3,Gross Profit,500300000,549800000,601100000,575200000,592800000,549800000,588400000,663000000,796600000,866000000,921100000,1033000000,1160300000,1230300000,1263900000,1422900000
4,Gross Profit Ratio,0.2588,0.2572,0.2723,0.2676,0.2683,0.2537,0.2554,0.2727,0.3114,0.3214,0.3179,0.2494,0.2680,0.2820,0.2791,0.2849
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,195900000,216700000,244300000,224900000,241600000,270000000,299900000,323600000,376000000,396800000,420900000,501400000,565400000,577500000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",195900000,216700000,244300000,224900000,241600000,270000000,299900000,323600000,376000000,396800000,420900000,501400000,565400000,577500000,- -,- -
9,Other Expenses,1700000,12300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,639000000,744300000
10,Operating Expenses,197600000,229000000,244300000,224900000,241600000,270000000,299900000,323600000,376000000,396800000,420900000,501400000,565400000,577500000,639000000,744300000
11,COGS and Expenses,1630600000,1817100000,1850700000,1799000000,1858000000,1887100000,2015000000,2091400000,2137400000,2225000000,2396800000,3611000000,3735000000,3709400000,3904100000,4315100000
12,Interest Income ,- -,- -,2000000,800000,700000,- -,1800000,1500000,1800000,2800000,2600000,2000000,3800000,4200000,3700000,2200000
13,Interest Expense (Gain),- -,24800000,57900000,19900000,9800000,10100000,13300000,13700000,23700000,25400000,28400000,44700000,42400000,45900000,62500000,57500000
14,Depreciation and Amortization,48200000,62500000,51500000,56300000,57000000,57400000,73200000,69400000,69400000,74600000,84400000,141200000,163500000,172600000,196700000,221100000
15,EBITDA,337100000,408100000,435300000,422500000,373800000,335000000,286000000,406300000,488600000,538900000,581700000,674100000,766900000,825800000,838700000,974800000
16,EBITDA ratio,0.1744,0.1909,0.1972,0.1966,0.1692,0.1546,0.1242,0.1671,0.1910,0.2000,0.2008,0.1627,0.1771,0.1893,0.1852,0.1952
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500300000,531600000,594900000,652700000,624900000,678700000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1727,0.1283,0.1374,0.1496,0.1380,0.1359
19,Total Other Income Expenses (Gains),- -,- -,-30900000,-4000000,-9100000,-10100000,-87600000,-16200000,-25100000,-30300000,-31400000,-43500000,-33900000,-45400000,-45400000,17500000
20,Income Before Tax,302700000,320800000,325900000,346300000,342100000,269700000,200900000,323200000,395500000,438900000,468900000,488100000,561000000,607300000,579500000,696200000
21,Income Before Tax Ratio,0.1566,0.1501,0.1476,0.1611,0.1549,0.1245,0.0872,0.1330,0.1546,0.1629,0.1619,0.1178,0.1296,0.1392,0.1280,0.1394
22,Income Tax expense (Gain),122200000,123700000,133700000,123000000,117000000,97900000,75900000,111100000,132500000,151800000,161400000,161400000,133100000,125200000,117000000,148700000
23,Net Income,166700000,197100000,192200000,223300000,190000000,169600000,123600000,212100000,263000000,287100000,307500000,326800000,427900000,482100000,462500000,547500000
24,Net Income ratio,0.0862,0.0922,0.0871,0.1039,0.0860,0.0783,0.0537,0.0873,0.1028,0.1066,0.1061,0.0789,0.0988,0.1105,0.1021,0.1096
25,EPS,1.20,1.42,1.38,1.60,1.40,1.36,1.00,1.74,2.20,2.39,2.60,2.77,3.66,4.16,4.03,4.73
26,EPS Diluted,1.20,1.42,1.36,1.58,1.37,1.32,0.97,1.69,2.12,2.32,2.53,2.70,3.56,4.06,3.95,4.65
27,Weighted Average Shares Outstanding,138800000,138800000,139600000,140000000,135900000,124800000,124100000,121900000,119600000,119900000,118300000,118000000,116800000,115900000,114700000,115700000
28,Weighted Average Shares Outstanding Diluted,138800000,139000000,141000000,141600000,139100000,128300000,127500000,125400000,124100000,124000000,121600000,120800000,120400000,118800000,117000000,117800000
