,https://roic.ai/company/OMAB,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,1426264000,1626182000,1897353000,1988476000,2537269000,2651449000,2789711000,3141338000,3418058000,3729687000,4492659000,5550269000,7129827000,7907054000,8527101000,5367466000,8720010000
2,COGS,374943000,383065000,1169432000,458820000,1088560000,1180658000,1099147000,1471506000,1690569000,1655857000,1806994000,2028633000,3169097000,3038962000,2980178000,3046904000,3570893000
3,Gross Profit,1051321000,1243117000,727921000,1529656000,1448709000,1470791000,1690564000,1669832000,1727489000,2073830000,2685665000,3521636000,3960730000,4868092000,5546923000,2320562000,5149117000
4,Gross Profit Ratio,0.7371,0.7644,0.3837,0.7693,0.5710,0.5547,0.6060,0.5316,0.5054,0.5560,0.5978,0.6345,0.5555,0.6157,0.6505,0.4323,0.5905
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,382679000,426881000,432340000,452217000,501233000,536034000,562055000,642345000,587917000,563151000,542664000,518059000,586542000
7,Selling and Marketing Exp.,235842000,228872000,256730000,318323000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",235842000,228872000,256730000,318323000,382679000,426881000,432340000,452217000,501233000,536034000,562055000,642345000,587917000,563151000,542664000,518059000,586542000
9,Other Expenses,328129000,410829000,- -,523965000,506646000,572739000,338956000,56130000,47828000,67156000,87195000,117987000,135034000,172610000,150108000,81164000,453464000
10,Operating Expenses,563971000,639701000,- -,842288000,889325000,999620000,771296000,508347000,549061000,603190000,649250000,760332000,722951000,735761000,692772000,599223000,1040006000
11,COGS and Expenses,938914000,1022766000,1169432000,1301108000,1977885000,2180278000,1870443000,1979853000,2239630000,2259047000,2456244000,2788965000,3892048000,3774723000,3672950000,3646127000,4610899000
12,Interest Income ,- -,- -,- -,- -,- -,- -,16079000,27764000,72650000,77147000,80740000,199600000,127290000,194091000,171236000,111889000,129479000
13,Interest Expense (Gain),- -,- -,- -,- -,26195000,69900000,98431000,103846000,209359000,264368000,334764000,330694000,352822000,325557000,376008000,420499000,516676000
14,Depreciation and Amortization,219552000,281514000,336202000,366719000,411890000,469672000,165088000,186803000,201226000,223982000,238809000,276634000,299192000,351745000,415252000,435344000,487230000
15,EBITDA,582443000,625053000,180146000,728018000,985394000,939315000,1061669000,1389019000,1475345000,1745389000,2319455000,3224297000,3592663000,4650527000,5383280000,2344702000,4833350000
16,EBITDA ratio,0.4084,0.3844,0.0949,0.3661,0.3884,0.3543,0.3806,0.4422,0.4316,0.4680,0.5163,0.5809,0.5039,0.5881,0.6313,0.4368,0.5543
17,Operating Income,487350000,603416000,727921000,687368000,559384000,471171000,919268000,1160174000,1209395000,1468989000,2036555000,2783554000,3239119000,4132536000,4855306000,1721468000,4110389000
18,Operating Income ratio,0.3417,0.3711,0.3837,0.3457,0.2205,0.1777,0.3295,0.3693,0.3538,0.3939,0.4533,0.5015,0.4543,0.5226,0.5694,0.3207,0.4714
19,Total Other Income Expenses (Gains),33722000,78193000,88634000,93341000,-12075000,-71428000,-121118000,-52914000,-142907000,-209684000,-287808000,-160271000,-288604000,-146954000,-255650000,-229088000,-274580000
20,Income Before Tax,521072000,681609000,816555000,780709000,547309000,399743000,798150000,1107260000,1066488000,1259305000,1748747000,2623283000,2950515000,3985582000,4599656000,1492380000,3835809000
21,Income Before Tax Ratio,0.3653,0.4191,0.4304,0.3926,0.2157,0.1508,0.2861,0.3525,0.3120,0.3376,0.3892,0.4726,0.4138,0.5041,0.5394,0.2780,0.4399
22,Income Tax expense (Gain),-4408000,-108698000,-187248000,-180504000,77785000,-152232000,182070000,288172000,-134876000,232345000,512110000,746782000,813073000,1121403000,1372222000,394501000,972179000
23,Net Income,367299000,452237000,31192000,541803000,469524000,551975000,616080000,810198000,1199636000,1024694000,1233772000,1870187000,2127576000,2851822000,3219798000,1094358000,2857265000
24,Net Income ratio,0.2575,0.2781,0.0164,0.2725,0.1851,0.2082,0.2208,0.2579,0.3510,0.2747,0.2746,0.3370,0.2984,0.3607,0.3776,0.2039,0.3277
25,EPS,7.50,9.16,0.62,10.94,72.00,40.00,12.35,16.24,24.05,20.68,25.06,38.09,43.20,57.99,65.60,22.40,58.56
26,EPS Diluted,7.50,9.16,0.62,10.94,72.00,40.00,12.35,16.24,24.05,20.68,25.06,38.09,43.20,57.99,65.60,22.40,58.56
27,Weighted Average Shares Outstanding,49000000,49396625,49951375,49535539,49366857,49870970,49879904,49882519,49881544,49561636,49228283,49098040,49207611,49180808,49092103,48789246,48789246
28,Weighted Average Shares Outstanding Diluted,49000000,49396625,49951375,49535539,49366857,49870970,49879904,49882519,49881544,49561636,49228283,49098040,49207611,49180808,49092103,48789246,48789246
