,https://roic.ai/company/CARR,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,17814000000,18914000000,18608000000,17456000000,20613000000
2,COGS,12629000000,13345000000,13189000000,12347000000,14633000000
3,Gross Profit,5185000000,5569000000,5419000000,5109000000,5980000000
4,Gross Profit Ratio,0.2911,0.2944,0.2912,0.2927,0.2901
5,Research and Development Exp.,364000000,400000000,401000000,419000000,503000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,3120000000
9,Other Expenses,2584000000,2689000000,2761000000,2820000000,- -
10,Operating Expenses,2948000000,3089000000,3162000000,3239000000,3623000000
11,COGS and Expenses,15577000000,16434000000,16351000000,15586000000,18256000000
12,Interest Income ,104000000,121000000,102000000,10000000,13000000
13,Interest Expense (Gain),219000000,84000000,75000000,298000000,319000000
14,Depreciation and Amortization,372000000,357000000,335000000,336000000,338000000
15,EBITDA,3605000000,4248000000,3043000000,3465000000,3020000000
16,EBITDA ratio,0.2024,0.2246,0.1635,0.1985,0.1465
17,Operating Income,3030000000,3637000000,2491000000,3083000000,2645000000
18,Operating Income ratio,0.1701,0.1923,0.1339,0.1766,0.1283
19,Total Other Income Expenses (Gains),24000000,205000000,181000000,-228000000,-245000000
20,Income Before Tax,3054000000,3842000000,2672000000,2855000000,2400000000
21,Income Before Tax Ratio,0.1714,0.2031,0.1436,0.1636,0.1164
22,Income Tax expense (Gain),1787000000,1073000000,517000000,849000000,699000000
23,Net Income,1227000000,2734000000,2116000000,1982000000,1664000000
24,Net Income ratio,0.0689,0.1445,0.1137,0.1135,0.0807
25,EPS,1.42,3.16,2.05,2.29,1.92
26,EPS Diluted,1.41,3.13,2.03,2.25,1.87
27,Weighted Average Shares Outstanding,866200000,866200000,866200000,866500000,867700000
28,Weighted Average Shares Outstanding Diluted,872800000,872800000,872800000,880200000,890300000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1783180/000178318021000011/0001783180-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1783180/000178318022000010/0001783180-22-000010-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,1129000000,952000000,3115000000,2987000000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1129000000,952000000,3115000000,2987000000
34,Net Receivables,- -,3239000000,3348000000,3437000000,2906000000
35,Inventory,- -,1363000000,1332000000,1629000000,1970000000
36,Other Current Assets,- -,378000000,327000000,343000000,3544000000
37,Total Current Assets,- -,6109000000,5959000000,8524000000,11407000000
38,PP&E,- -,1653000000,2495000000,2598000000,2466000000
39,Goodwill,- -,9849000000,9884000000,10139000000,9349000000
40,Intangible Assets,- -,1214000000,1083000000,1037000000,509000000
41,Intangible Assets,- -,11063000000,10967000000,11176000000,9858000000
42,Investments,- -,1770000000,1739000000,1513000000,1593000000
43,Tax Assets,- -,398000000,500000000,449000000,563000000
44,Other Non-Current Assets,- -,744000000,746000000,833000000,285000000
45,Total Non-Current Assets,- -,15628000000,16447000000,16569000000,14765000000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,21737000000,22406000000,25093000000,26172000000
48,Accounts Payable,- -,1944000000,1701000000,1936000000,2334000000
49,Short-Term Debt,- -,- -,- -,352000000,183000000
50,Tax Payable,- -,325000000,318000000,234000000,- -
51,Deferred Revenue,- -,472000000,469000000,512000000,415000000
52,Other Current Liabilities,- -,2050000000,2299000000,2310000000,3695000000
53,Total Current Liabilities,- -,4466000000,4469000000,5110000000,6627000000
54,Long-Term Debt,- -,- -,- -,10678000000,10040000000
55,Deferred Revenue,- -,- -,- -,- -,- -
