,https://roic.ai/company/CTLT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1531800000,1694800000,1800300000,1827700000,1830800000,1848100000,2075400000,2463400000,2518000000,3094300000,3998000000
2,COGS,1029700000,1136200000,1231700000,1229100000,1215500000,1260500000,1420800000,1710800000,1712900000,2111000000,2646000000
3,Gross Profit,502100000,558600000,568600000,598600000,615300000,587600000,654600000,752600000,805100000,983300000,1352000000
4,Gross Profit Ratio,0.3278,0.3296,0.3158,0.3275,0.3361,0.3179,0.3154,0.3055,0.3197,0.3178,0.3382
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,299900000,339300000,340600000,334800000,337300000,358100000,402600000,462600000,512000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",299900000,339300000,340600000,334800000,337300000,358100000,402600000,462600000,512000000,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,577900000,706000000
10,Operating Expenses,299900000,339300000,340600000,334800000,337300000,358100000,402600000,462600000,512000000,577900000,706000000
11,COGS and Expenses,1329600000,1475500000,1572300000,1563900000,1552800000,1618600000,1823400000,2173400000,2224900000,2688900000,3352000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),165500000,183200000,203200000,163100000,105000000,88500000,90100000,111400000,110900000,126100000,110000000
14,Depreciation and Amortization,115500000,129700000,152200000,142900000,140800000,140600000,146500000,190100000,228600000,253700000,289000000
15,EBITDA,250700000,289000000,332800000,371700000,360300000,374300000,372200000,453500000,494400000,640200000,1114000000
16,EBITDA ratio,0.1637,0.1705,0.1849,0.2034,0.1968,0.2025,0.1793,0.1841,0.1963,0.2069,0.2786
17,Operating Income,186100000,198000000,204400000,240900000,259900000,217800000,234200000,271100000,273900000,394400000,828000000
18,Operating Income ratio,0.1215,0.1168,0.1135,0.1318,0.1420,0.1179,0.1128,0.1101,0.1088,0.1275,0.2071
19,Total Other Income Expenses (Gains),-191500000,-179400000,-228300000,-173500000,-147400000,-72900000,-98600000,-119100000,-113600000,-134000000,-113000000
20,Income Before Tax,-5400000,18600000,-23900000,67400000,112500000,144900000,135600000,152000000,160300000,260400000,715000000
21,Income Before Tax Ratio,-0.0035,0.0110,-0.0133,0.0369,0.0614,0.0784,0.0653,0.0617,0.0637,0.0842,0.1788
22,Income Tax expense (Gain),23700000,500000,24100000,49500000,-97700000,33700000,25800000,68400000,22900000,39700000,130000000
23,Net Income,-54000000,-24400000,-46700000,16200000,212200000,111500000,109800000,83600000,132000000,220700000,585000000
24,Net Income ratio,-0.0353,-0.0144,-0.0259,0.0089,0.1159,0.0603,0.0529,0.0339,0.0524,0.0713,0.1463
25,EPS,-0.46,-0.21,-0.40,0.14,1.77,0.89,0.88,0.64,0.92,1.16,3.15
26,EPS Diluted,-0.46,-0.21,-0.40,0.14,1.75,0.89,0.87,0.63,0.90,1.14,3.11
27,Weighted Average Shares Outstanding,117321337,117321337,117321337,117301370,119887006,124800000,125000000,131200000,144200000,149800000,168000000
28,Weighted Average Shares Outstanding Diluted,117321337,117321337,117321337,117301370,121300000,125900000,126700000,133200000,146000000,152300000,170000000
