,https://roic.ai/company/SNDX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,627000,1220000,2108000,1517000,1517000,1517000,139709000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,627000,- -,- -,- -,- -,1517000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,5240000,3208000,10175000,9549000,31665000,48201000,60106000,42994000,50435000,88248000
6,General and Administrative Exp.,3494000,5363000,11157000,11591000,13321000,15861000,17287000,16062000,22505000,25241000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3494000,5363000,11157000,11591000,13321000,15861000,17287000,16062000,22505000,25241000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,8734000,8571000,21332000,21140000,44986000,64062000,77393000,59056000,72940000,113489000
11,COGS and Expenses,8734000,8571000,21332000,21140000,44986000,64062000,77393000,59056000,72940000,113489000
12,Interest Income ,- -,- -,- -,161000,- -,- -,- -,- -,841000,403000
13,Interest Expense (Gain),- -,- -,- -,1575000,- -,- -,- -,- -,2357000,- -
14,Depreciation and Amortization,34000,13000,15000,21000,89000,76000,78000,92000,89000,43000
15,EBITDA,-12143000,-6743000,-23106000,-22523000,-44383000,-60726000,-73883000,-55955000,-70712000,24969000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-35.9219,-36.3795,-28.8074,-48.7034,-36.8853,-46.6131,0.1787
17,Operating Income,-8734000,-8571000,-21332000,-20513000,-43766000,-61954000,-75876000,-57539000,-71423000,26220000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-32.7161,-35.8738,-29.3899,-50.0171,-37.9295,-47.0817,0.1877
19,Total Other Income Expenses (Gains),-1231000,-5600000,1504000,-3606000,-706000,1152000,1915000,1492000,-1735000,-1294000
20,Income Before Tax,-9965000,-14171000,-19828000,-24119000,-44472000,-60802000,-73961000,-56047000,-73158000,24926000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-38.4673,-36.4525,-28.8435,-48.7548,-36.9459,-48.2254,0.1784
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-9965000,-14171000,-19828000,-24119000,-44472000,-60802000,-73961000,-56047000,-73158000,24926000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-38.4673,-36.4525,-28.8435,-48.7548,-36.9459,-48.2254,0.1784
25,EPS,-0.14,-0.13,-2.69,-2.28,-3.22,-2.90,-2.92,-1.84,-1.87,0.48
26,EPS Diluted,-0.14,-0.13,-2.69,-2.28,-3.22,-2.90,-2.92,-1.84,-1.87,0.48
27,Weighted Average Shares Outstanding,70284263,70284263,8007439,9597519,14619716,20997211,25371511,30490783,41308242,51962320
28,Weighted Average Shares Outstanding Diluted,70284263,70284263,8007439,9597519,14619716,20997211,25371511,30490783,41308242,51962320
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1395937/000119312517081863/0001193125-17-081863-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459018004911/0001564590-18-004911-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459019006772/0001564590-19-006772-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459020009016/0001564590-20-009016-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459021012607/0001564590-21-012607-index.htm,https://www.sec.gov/Archives/edgar/data/1395937/000156459022008112/0001564590-22-008112-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,537000,10104000,10009000,23179000,23844000,35168000,33769000,24609000,115243000,221965000
32,Short-Term Investments,91000,4160000,2199000,64115000,81486000,94806000,47142000,35166000,177822000,- -
33,Cash and Short-Term Investments,628000,14264000,12208000,87294000,105330000,129974000,80911000,59775000,293065000,221965000
34,Net Receivables,- -,- -,35000,258000,306000,377000,253000,116000,175000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,107000,280000,201000,455000,2874000,3091000,2182000,2440000,5624000,- -
37,Total Current Assets,735000,14544000,12444000,88007000,108510000,133442000,83346000,62331000,298864000,- -
38,PP&E,20000,40000,33000,88000,260000,267000,373000,997000,482000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,3246000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,755000,2477000,339000,1808000,243000,231000,219000,197000,1267000,- -
45,Total Non-Current Assets,775000,2517000,372000,1896000,503000,3744000,592000,1194000,1749000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,449657000
47,Total Assets,1510000,17061000,12816000,89903000,109013000,137186000,83938000,63525000,300613000,449657000
