,https://roic.ai/company/TCNNF,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,102816631,252818591,521533000,938385000
2,COGS,- -,- -,-2746040,-109466303,135116000,372255000
3,Gross Profit,- -,- -,105562671,362284894,386417000,566130000
4,Gross Profit Ratio,- -,- -,1.0267,1.4330,0.7409,0.6033
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,35647,35788,4136193,14070939,36056000,100573000
7,Selling and Marketing Exp.,- -,- -,25050227,53935916,119395000,215144000
8,"Selling, General and Administrative Exp.",35647,35788,29186420,68006855,155451000,315717000
9,Other Expenses,41450,-33,1137675,8397765,12600000,- -
10,Operating Expenses,77097,35756,30324095,76404620,168051000,315717000
11,COGS and Expenses,77097,35756,27578055,-33061683,303167000,687972000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,2183653,12816465,20237000,34787000
14,Depreciation and Amortization,- -,- -,3105142,17186400,30187000,54147000
15,EBITDA,-146869,-35159,77015805,302472926,207874000,252440000
16,EBITDA ratio,-Infinity,-Infinity,0.7491,1.1964,0.3986,0.2690
17,Operating Income,- -,- -,75238576,285880274,218367000,196946000
18,Operating Income ratio,- -,- -,0.7318,1.1308,0.4187,0.2099
19,Total Other Income Expenses (Gains),69772,-596,-3511566,-13410213,-60917000,-33440000
20,Income Before Tax,-7325,-36352,71727010,272470061,157450000,163506000
21,Income Before Tax Ratio,-Infinity,-Infinity,0.6976,1.0777,0.3019,0.1742
22,Income Tax expense (Gain),- -,- -,28759218,94437298,94451000,146061000
23,Net Income,-7325,-36352,42967792,178032763,62999000,17445000
24,Net Income ratio,-Infinity,-Infinity,0.4179,0.7042,0.1208,0.0186
25,EPS,-0.00,-0.00,0.42,1.62,0.55,0.15
26,EPS Diluted,-0.00,-0.00,0.42,1.54,0.53,0.15
27,Weighted Average Shares Outstanding,109811000,109811000,101697002,110206103,113572379,113572379
28,Weighted Average Shares Outstanding Diluted,109811000,109811000,101911180,115317942,118325724,118325724
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1754195/000156459021014684/0001564590-21-014684-index.htm,https://www.sec.gov/Archives/edgar/data/1754195/000095017022004989/0000950170-22-004989-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,38848,20917,24430108,91812821,146713000,230646000
32,Short-Term Investments,61751,65408,- -,- -,- -,- -
33,Cash and Short-Term Investments,100600,86324,24430108,91812821,146713000,230646000
34,Net Receivables,3102,3045,- -,- -,308000,8854000
35,Inventory,- -,- -,53907113,271190791,98312000,212188000
36,Other Current Assets,-0,0,2453239,6871683,19815000,72732000
37,Total Current Assets,103702,89369,80790460,369875295,265148000,524420000
38,PP&E,- -,- -,70789888,189248416,382776000,905889000
39,Goodwill,- -,- -,- -,7315885,74100000,765358000
40,Intangible Assets,- -,- -,9396347,23504446,90144000,1117982000
41,Intangible Assets,- -,- -,9396347,30820331,164244000,1883340000
