,https://roic.ai/company/EXPI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,10701280,13368905,22866787,54179511,156104544,500147681,979937241,1798285000,3771170000
2,COGS,- -,- -,- -,- -,8905114,11099750,19456409,46726533,139603970,459715836,895881750,1638674000,3475139000
3,Gross Profit,- -,- -,- -,- -,1796166,2269155,3410378,7452978,16500574,40431845,84055491,159611000,296031000
4,Gross Profit Ratio,- -,- -,- -,- -,0.1678,0.1697,0.1491,0.1376,0.1057,0.0808,0.0858,0.0888,0.0785
5,Research and Development Exp.,- -,12604,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,19979,50191,33718,2854577,2159704,7697724,32882525,36960187,59854742,89035059,122801000,249699000
7,Selling and Marketing Exp.,- -,- -,- -,- -,60197,76019,211456,570844,1572041,2961618,3798516,5223000,12180000
8,"Selling, General and Administrative Exp.",- -,19979,50191,33718,2914774,2235723,7909180,33453369,38532228,62816360,92833575,128024000,261879000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,32583,- -,33718,2914774,2235723,7909180,33453369,38532228,62816360,92833575,128024000,261879000
11,COGS and Expenses,- -,32583,50191,33718,11819888,13335473,27365589,80179902,178136198,522532196,988715325,1766698000,3737018000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,53155,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,2034,942,1127,370,2077,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,4442,14493,26304,58374,353229,893988,2383743,3989000,6248000
15,EBITDA,- -,-32583,-50191,-33718,-1110842,47925,-4450949,-25912201,-21678425,-21458568,-6646990,35533000,39981000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-0.1038,0.0036,-0.1946,-0.4783,-0.1389,-0.0429,-0.0068,0.0198,0.0106
17,Operating Income,- -,- -,- -,-33718,-1118608,33432,-4498802,-26000391,-22031654,-22384515,-8778084,31587000,34152000
18,Operating Income ratio,- -,- -,- -,-Infinity,-0.1045,0.0025,-0.1967,-0.4799,-0.1411,-0.0448,-0.0090,0.0176,0.0091
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,1290,-942,-1104,-355,-2077,31959,-281555,-184000,-480000
20,Income Before Tax,- -,- -,- -,-33718,-1117318,32490,-4499906,-26000746,-22033731,-22352556,-9059639,31403000,33672000
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-0.1044,0.0024,-0.1968,-0.4799,-0.1411,-0.0447,-0.0092,0.0175,0.0089
22,Income Tax expense (Gain),- -,- -,- -,- -,1543,-71353,103069,42528,97234,77800,496981,413000,-47487000
23,Net Income,- -,-32583,-50191,-33718,-1118861,103843,-4581449,-26013473,-22130965,-22430356,-9527714,31131000,81220000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-0.1046,0.0078,-0.2004,-0.4801,-0.1418,-0.0448,-0.0097,0.0173,0.0215
25,EPS,- -,-0.00,-0.00,-0.00,-0.00,0.00,-0.04,-0.26,-0.21,-0.20,-0.07,0.22,0.55
