,https://roic.ai/company/BABB,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,14940901,13568112,10516852000,8550256,7157590,5708046,5125095,3917391,3994899,3777810,3172905,2913741,3023276,2674822,2450194,2534590,2215780,2386167,2220893,2173331,3069692,2371533,3072138
2,COGS,- -,8475545,2193420000,4462926,3482903,2221500,1649223,631644,592824,626057,592086,134957,397148,- -,- -,- -,- -,- -,- -,- -,987943,671659,980630
3,Gross Profit,- -,5092567,8323432000,4087330,3674687,3486546,3475872,3285747,3402075,3151753,2580819,2778784,2626128,2674822,2450194,2534590,2215780,- -,- -,- -,2081749,1699874,2091508
4,Gross Profit Ratio,- -,0.3753,0.7914,0.4780,0.5134,0.6108,0.6782,0.8388,0.8516,0.8343,0.8134,0.9537,0.8686,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,0.6782,0.7168,0.6808
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5294527,4049937,4469023000,2784718,2560762,1910223,1907218,1944423,2542619,1908751,1690577,2269510,1706850,1797437,1744411,1658173,1836879,1865644,1725726,1620378,1543724,1437705,1521688
7,Selling and Marketing Exp.,435719,246169,- -,198921,189725,149033,149648,110055,122937,139127,73549,69356,72862,59951,60547,37951,57491,40650,24065,14027,62487,25216,22980
8,"Selling, General and Administrative Exp.",5730246,4296106,4469023000,2983639,2750487,2059256,2056866,2054478,2665556,2047878,1764126,2338866,1779712,1857388,1804958,1696124,1894370,1906294,1749791,1634405,1606211,1462921,1544668
9,Other Expenses,12598387,922235,6828955000,716436,225008,717798,692023,541768,44812,499250,2430288,28404,26389,18924,17493,17983,17145,20152,11536,1210,2057,3562,5116
10,Operating Expenses,18328633,5218341,11297978000,3700075,2975495,2777054,2748889,2596246,2710368,2547128,4194414,2367270,1806101,1876312,1822451,1714107,1911515,1926446,1761327,1635615,1608268,1466483,1549784
11,COGS and Expenses,18328633,13693886,11297978000,8163001,6458398,4998554,4398112,3227890,3303192,3173185,4786500,2502227,2203249,1876312,1822451,1714107,1911515,1926446,1761327,1635615,2596211,2138142,2530414
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,30520,14739,7521,3703,2542,968,673,1705,502,107,159,612,378,417
