,https://roic.ai/company/SSRM,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,399886,73001,69931,65392,68925,1000,- -,- -,- -,- -,- -,- -,- -,- -,5442000,112256000,147845000,241120000,174686000,300122000,375322000,490986000,448773000,420675000,606850000,853089000,1474199000
2,COGS,- -,- -,- -,- -,-65392,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7965000,102298000,95926000,195008000,169502000,263922000,356482000,336980000,335510000,343830000,435967000,544447000,899333000
3,Gross Profit,- -,- -,73001,69931,130784,68925,1000,- -,- -,- -,- -,- -,- -,- -,- -,-2523000,9958000,51919000,46112000,5184000,36200000,18840000,154006000,113263000,76845000,170883000,308642000,574866000
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,2.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,-0.4636,0.0887,0.3512,0.1912,0.0297,0.1206,0.0502,0.3137,0.2524,0.1827,0.2816,0.3618,0.3900
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5703000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16411668,16972000,29721000,21997000,23489000,23066000,21497000,22032000,21829000,20105000,32747000,30469000,33126000,56594000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,1313025,838175,715291,621325,1150153,1063913,1348573,1962883,4547526,6578632,17016623,23749087,16411668,16972000,29721000,21997000,23489000,23066000,21497000,22032000,21829000,20105000,32747000,30469000,33126000,56594000
9,Other Expenses,- -,- -,146003,419587,260563,275701,131018,82994,- -,- -,- -,- -,- -,- -,- -,459000,4069000,286000,12875000,4393000,21555000,19450000,14815000,16183000,14203000,18076000,55877000,42382000
