,https://roic.ai/company/ASDN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,11445,- -,- -,- -,- -,3401929,4214558,5218876,5097018,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,2464229,3094364,4052827,3908065,- -,- -,- -
3,Gross Profit,11445,- -,- -,- -,- -,937700,1120194,1166049,1188953,- -,- -,- -
4,Gross Profit Ratio,1.0000,- -,- -,- -,- -,0.2756,0.2658,0.2234,0.2333,- -,- -,- -
5,Research and Development Exp.,1934,- -,- -,- -,- -,- -,- -,- -,- -,901857,545639,146469
6,General and Administrative Exp.,32481,- -,- -,- -,- -,635951,737982,837578,1004514,188789,369538,296279
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,66461,49712,64199,41428,60487,232084,115833
8,"Selling, General and Administrative Exp.",32481,- -,- -,- -,- -,702412,787694,901777,1045942,249276,601622,412112
9,Other Expenses,50448,- -,- -,- -,- -,57708,75580,101820,143145,- -,- -,- -
10,Operating Expenses,84863,- -,- -,- -,- -,760120,863274,1003597,1189087,1151133,1147261,558581
11,COGS and Expenses,84863,- -,- -,- -,- -,3224349,3957638,5056424,5097152,1151133,1147261,558581
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),5701,- -,- -,- -,- -,24313,29110,40161,35903,318038,1316407,617189
14,Depreciation and Amortization,- -,- -,- -,- -,- -,57708,75580,101820,143145,- -,- -,- -
15,EBITDA,-73418,- -,- -,- -,- -,240763,333462,341080,168470,-1164280,-988666,-568657
16,EBITDA ratio,-6.4149,- -,- -,- -,- -,0.0708,0.0791,0.0654,0.0331,-Infinity,-Infinity,-Infinity
17,Operating Income,-73418,- -,- -,- -,- -,177580,256920,162452,-134,-7436347,-1147261,-558581
18,Operating Income ratio,-6.4149,- -,- -,- -,- -,0.0522,0.0610,0.0311,-0.0000,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-18838,-28148,36647,-10444,-331185,-1157812,-627265
20,Income Before Tax,- -,- -,- -,- -,- -,158742,228772,199099,-10578,-7767532,-2305073,-1185846
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.0467,0.0543,0.0381,-0.0021,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,42117,91218,65901,-26490,- -,- -,- -
23,Net Income,-79119,- -,- -,- -,- -,116625,137554,133198,15912,-7626599,-2305073,-1185846
24,Net Income ratio,-6.9130,- -,- -,- -,- -,0.0343,0.0326,0.0255,0.0031,-Infinity,-Infinity,-Infinity
25,EPS,-0.00,- -,- -,- -,- -,0.02,0.03,0.02,0.00,-1.65,-0.45,-0.22
26,EPS Diluted,-0.00,- -,- -,- -,- -,0.02,0.03,0.02,0.00,-1.65,-0.45,-0.22
27,Weighted Average Shares Outstanding,16590800,16590800,16590800,- -,- -,4801672,5442654,5536222,5529291,4918139,4753175,5324433
28,Weighted Average Shares Outstanding Diluted,16590800,16590800,16590800,- -,- -,4801672,5442654,5706509,5702749,4918139,4753175,5324433
29,SEC Link,- -,- -,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1425203/000101489716000490/0001014897-16-000490-index.html,https://www.sec.gov/Archives/edgar/data/1425203/000101489717000042/0001014897-17-000042-index.html,https://www.sec.gov/Archives/edgar/data/1425203/000101489718000020/0001014897-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/1425203/000101489719000047/0001014897-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1425203/000101489720000030/0001014897-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1425203/000101489721000012/0001014897-21-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,248,- -,- -,- -,- -,557920,427978,430064,217422,55129,1159,38517
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,248,- -,- -,- -,- -,557920,427978,430064,217422,55129,1159,38517
34,Net Receivables,2100,- -,- -,- -,- -,91846,157517,132379,285127,32657,60517,75781
35,Inventory,- -,- -,- -,- -,- -,62525,47054,93975,125998,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,3000,2348,5912,27278,19190,623,- -
37,Total Current Assets,2348,- -,- -,- -,- -,715291,634897,662330,655825,106976,62299,114298
38,PP&E,194791,210000,210000,- -,- -,317326,955983,962946,934343,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,26934,38054,158736,109465,871000,871000,871000
41,Intangible Assets,- -,- -,- -,- -,- -,26934,38054,158736,109465,871000,871000,871000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,41831,23373,- -,- -,- -,- -,- -
