,https://roic.ai/company/ZDPY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,163500,- -,- -,- -,467914,1395294,1853708,2113864,1236930,1260421,1215442,1820485
2,COGS,13600,1500,- -,- -,- -,- -,- -,- -,- -,138516,207211,190287,203376,129032,87119,- -,- -
3,Gross Profit,-13600,-1500,- -,- -,- -,163500,- -,- -,- -,329398,1188083,1663421,1910488,1107898,1173302,1215442,- -
4,Gross Profit Ratio,-Infinity,-Infinity,- -,- -,- -,1.0000,- -,- -,- -,0.7040,0.8515,0.8973,0.9038,0.8957,0.9309,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,59000,109601,28487,250000,340000,5034524,2116781,1666263,967602,939177,810647,729182,397877
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",73631,348555,1335955,2749533,59000,109601,28487,250000,340000,5034524,2116781,1666263,967602,939177,810647,729182,397877
9,Other Expenses,- -,1924,6654,7389,- -,- -,- -,-40000,- -,99822,150368,181899,225220,276665,361940,448527,1377908
10,Operating Expenses,73631,350479,1342609,2756922,59000,109601,28487,210000,340000,5134346,2267149,1848162,1192822,1215842,1172587,1177709,1775785
11,COGS and Expenses,87231,351979,1342609,2756922,59000,109601,28487,210000,340000,5272862,2474360,2038449,1396198,1344874,1259706,1177709,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439,- -,8504,5405,- -,5129,12127
13,Interest Expense (Gain),- -,3182,- -,- -,- -,- -,- -,- -,- -,301438,228448,227492,172271,121200,121200,121200,-120000
14,Depreciation and Amortization,- -,1924,6654,7389,- -,- -,- -,- -,- -,99821,150369,181899,225220,276665,361940,362833,386643
15,EBITDA,-88540,-348789,-1335955,-2749533,-59000,-1064101,-1048487,-210000,-390000,-5339107,-993213,-92185,1775393,-1629413,470859,405695,100824
